Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
trust in experiments,"Trust is the willingness to make oneself vulnerable to another person’s actions, based on beliefs about that person’s trustworthiness.",Search,2010,24,Iris  Bohnet,,,10.1057/9780230280786_32,https://doi.org/10.1057/9780230280786_32,https://semanticscholar.org/paper/c99a2762b52bee642f0206124f3b002261a65306,,"Trust is the willingness to make oneself vulnerable to another person’s actions, based on beliefs about that person’s trustworthiness.",,
"A characterization of trust, and its consequences","Trust is understood in terms of acceptance of dependency, the absence of information about the other’s reliability, and the creation of an outcome otherwise unavailable.",Search,2009,189,Jack  Barbalet,,,10.1007/S11186-009-9087-3,https://doi.org/10.1007/S11186-009-9087-3,https://semanticscholar.org/paper/c83be23f8b62b977f66e46b960303de38fcb4f9a,,"Trust is understood in terms of a) acceptance of dependency in b) the absence of information about the other’s reliability in order to c) create an outcome otherwise unavailable. The first of these is the cost of trust; the second, the situation of uncertainty it faces and may overcome; the third, its purchase. This account permits: distinction between trust and similar relations with which it is frequently confused; discovery of the basis of trust in the emotional apprehension of confidence; and demonstration of the relationship between trust and both social capital and rationality, with counter-intuitive results.",,
Some correlates of trust.,"A trusted person is someone who is highly influential, has an internal locus of control, a low need to control others, high self-esteem, and is open to being influenced by others.",Search,1978,161,"T  Frost, D V Stimpson, M R Maughan",The Journal of psychology,,10.1080/00223980.1978.9921447,https://doi.org/10.1080/00223980.1978.9921447,https://semanticscholar.org/paper/4896929ac91f4525c58584e1f925fb951a9a6911,,"Trust has been variously defined by behavioral scientists and not very thoroughly investigated. In this study trust was defined as an expectancy held by an individual that the behavior of another person or a group would be altruistic and personally beneficial. An attempt was made, using this conceptual definition, to identify some personality and behavioral correlates of trust. Seven interpersonal relations groups with approximately 10 male and female undergraduates per group were studied with use of the Janis and Field self-esteem inventory, Schutz's FIRO-B scale, and the Rotter internal-external scale. It was discovered that a trusted person is one who is highly influential, has an internal locus of control, a low need to control others, high self-esteem, and is open to being influenced by others.",,
The Moral Foundations of Trust,Trusting societies are more likely to redistribute resources from the rich to the poor.,Search,2002,2215,Eric M. Uslaner,,,10.2139/ssrn.824504,https://doi.org/10.2139/ssrn.824504,https://semanticscholar.org/paper/8bd8a8a7d55ff05beb1ddc07e993a9e466ae90c0,,"The Moral Foundations of Trust seeks to explain why people place their faith in strangers, and why doing so matters. Trust is a moral value that does not depend upon personal experience or on interacting with people in civic groups or informal socializing. Instead, we learn to trust from our parents, and trust is stable over long periods of time. Trust depends on an optimistic world view: the world is a good place and we can make it better. Trusting people are more likely to give through charity and volunteering. Trusting societies are more likely to redistribute resources from the rich to the poor. Trust has been in decline in the United States for over 30 years. The roots of this decline are traceable to declining optimism and increasing economic inequality, which Uslaner supports by aggregate time series in the United States and cross-sectional data across market economies.",,
Trust,Surgery and trust are synonymous with each other.,Search,2006,1192,Luis H. Toledo-Pereyra,,,10.1080/08941930600588381,https://doi.org/10.1080/08941930600588381,https://semanticscholar.org/paper/716acf44fa8feec844a505805f8042a8556a7ff6,,"Imagine you were in the middle of the Pacific Ocean, there was not a soul you could depend on, and your life could only be saved by one person, a person you knew from college as a deceiving and untrustworthy human being. The reality and importance of this situation is evidently clear when considering trust in the life of a person, society, or the world, even if this story is fictional. Now, imagine you were airborne in a commercial airliner, negotiating altitude at the eye of a heavy storm. And, image your life depended on the knowledge and ability of the plane’s captain, who had suffered a mild stroke and was unable to perform optimally. The co-captain, with less experience, immediately took over control of the faltering plane although with less predictable results. When considering this possibility, trust, again, represents the essence of continuing survival. Imagine once more that your welfare relied on the dedication and participation of poorly prepared health professionals and that you were not sure you were receiving the best health care. Imagine you could not accept their care if your life depended on it. Your future, suddenly and dramatically, becomes threatened and purposeless. Trust is missing! The previous examples reflect very clearly the far-reaching dimensions and overwhelming, encompassing effects of trust. Trust means to believe in the integrity and reliance of another. According to Webster’s Dictionary, trust is “to have confidence in; to expect with assurance; to believe in someone in whom confidence is placed” [1]. Confidence, at the same time, is to have “certainty in the trustworthiness of another” [1]. Trust and confidence come from the same tree and represent the same family. They are basically the same word with a different wrapping. Confidence is “the assurance that someone will keep a secret” [1, 2]. How is it then that surgeons utilize trust in the evolving and changing relationships of their profession? How is it that surgeons cannot proceed further without the enduring presence of trust? How is it that surgeons cannot practice their art or science under trustless circumstances? The response is so evidently clear that an explanation appears to be hardly required and mostly redundant. Surgery and trust are synonymous with",,
The contribution of studies of source credibility to a theory of interpersonal trust in the communication process.,"The term ""trust"" is used to indicate one's attitude toward such things as paper money, dogs, line fences, and women.",Search,1967,836,K  Giffin,Psychological bulletin,,10.1037/H0024833,https://doi.org/10.1037/H0024833,https://semanticscholar.org/paper/9d4e23b5084c86ef411fac3347777b76e861794f,,"Interpersonal trust in the communication process is denned as reliance upon the communication of another person in order to achieve a desired but uncertain objective in a risky situation. A theory of the dimensions of interpersonal trust in communication is presented. Experimental studies of ethos and factor-analytic studies of source credibility support the hypothesis that interpersonal trust is based upon a listener's perceptions of a speaker's expertness, reliability, intentions, activeness, personal attractiveness, and the majority opinion of the listener's associates. The word ""trust"" has been prominent in our vocabulary for years; however, the concept is somewhat similar to Mark Twain's notion of the weather: Everybody knows about trust, but few people have studied it. The term is used to indicate one's attitude toward such things as paper money, dogs, line fences, and women.",,
On the concept of trust,"Some beliefs form the core of the trusting attitude, namely the rule-belief and the conformity-belief.",Search,2002,126,Andrew J. I. Jones,Decis. Support Syst.,,10.1016/S0167-9236(02)00013-1,https://doi.org/10.1016/S0167-9236(02)00013-1,https://semanticscholar.org/paper/b098d3b7952624cffab20b855cf1db1d10db64a5,,"Considerable diversity is exhibited by current definitions of the concept of trust. This paper argues that there may nevertheless be an identifiable core to the concept. On the basis of an analysis of five scenarios in which some agent x trusts some other agent y, it is suggested that two beliefs--here called the 'rule-belief' and the 'conformity-belief'--form the core of the trusting attitude. The informal account of trust presented here identifies the kinds of modalities that would figure in a modal-logical specification of the conditions under which one agent can be said to trust another.",,
Does Trust Improve Business Performance,Trust is an essential component in making partnerships between firms successful.,Search,2002,460,Mari  Sako,,,,,https://semanticscholar.org/paper/bef40674ea4ef95e4fd1edb8ad7a2f7833a72869,,"Forthcoming In Ctuistel Lane and Rclnhard Backmann (eds.) Trust Within and Between Orgmi:anotu Oxford Univcrsl ty I%css. Does Trust improve Business Performance? hlarl sako Dots trust buslncss \vhcre Lhc. mpro~c business performance? And f so, how can trust be created In rc IS none? These are [he two quest]ons \vhich this chapter addresses. The mam aim of the chapter Mto e~'aluatevarious theories which touch on the causes and outcomes of trust, and to pro~idc cmplncal tests of those theories using a large scale sumey of automot]jc parts suppllcrs In [he United States, Europe and Japan, A growing Interest In bulldlng trust betu "" een orgamsatlons stems from the belief that [rust cnhanccs buslncss perforrnancc. For Instance, trust has been identified as an important component tvhich makes partncrsh]ps, strategic alliances, and nehvorks of small Ilrrns SUCCCSS1 "" U1 (Brusco !985, Pouch 1996, Smltka 1991), Trust ]s also of great releiance today beeausc the maintenance of consistently high quall~, }vhich is an imprtant source of competltlvcncss, Measier in a h]gh-trust production system than in a low-trust one (Sako 199-). In a slmllar \cln, Fukuyama (1995) attnbutcs national Industnal competitiveness to trust as a soclctal-lctcl cultural norm and a soaal capital. According to him, people's capacity to Instltut]onallzc trust In the realm of tvork and business awoun~ for the industnal success In Japan and Germany. By contrast, the 'missing middle', namely the absence of Intermediate sccml groups in the area betw'centhe family and Iargc, centralised organisations hke the church or [hc sta[c, accounts for the rclau~c economic backwardness of Latin Catholic countnes (like Italy, France and Span) and Chinese soelctlcs (Fukuyama 1995, p. 55-56). In Fukuyanm's (1995) study, as In others, the Ilnk betfveen trust and business performance is plausibic but not proven. Ncvcrthelcss, [he idea is so appealing that at the pracu[ioncr ICVCI, an increasing number of studies exhort business to create trust as an essential component in making partnerships bet~vccnfirms successful (SMMT & DTI 1994, Ingersoll Engineers 1995). [n business strategy, recent ~vorkon trust between organizations focuses on the possibility of using it to create and malntaln competitive advantage (Barney and Hansen 1994, Jarillo 1988). While thcorctieal explorations on the link behveen trust and performance abound, empirical studies in this ara are rare (exceptIons include Mohr and Spekman 1994). This chapter presents evidcncc ~vhlchfills this lacuna. The second, re]a[ed, question ~vhlchthis paper addresses-how can trust be created ! vhen there is none? -has …",,
Trust: nature and dynamics,"Trust is a multi-role relation between an agent and another agent, a process or a technology.",Search,2011,6,Cristiano  Castelfranchi,CHItaly,,10.1145/2037296.2037302,https://doi.org/10.1145/2037296.2037302,https://semanticscholar.org/paper/3145cddfb0aefed58c65e385a4cc12bb6a178e39,,"Trust is a complex notion -- with various components and dimensions-, and a multi-role relation: Trust (x y t G c); x trusts y as for action/task t useful for goal G, in context c.

It is an attitude, a disposition towards another agent (natural, technical, or social) on which our ""welfare"", that is, the realization of some goal of us, depends. This attitude makes us disposed to expose ourselves to failure or damage by relying on y for satisfying our goal.

This attitude towards y can be based just on feelings of safety and perceived benevolence, or on feelings due to the analogical evocation of previous or similar positive experiences; or it is more ""rational"", or better ""reason-based"", grounded on some specific beliefs, evaluations, and expectations about y, that justify our reliance. On the basis of this positive expectation and evaluation we decide to depend on y.

Thus, trust also is a decision and an act: the act of trusting y as for t, of exposing ourselves to dependence. And it also becomes a specific relation between x and y. Trust in y (on the basis of the strength of our beliefs or feelings) can be sufficient or insufficient for our decision to delegate; depending on the perceived risk and possible harm.

The evaluation of y, on which the expectation is based, has two basic components: (i) y's ""competence"", efficacy, expertise: ""Is y really able and in condition to perform the expected 'action' and produce the desired outcome?"" (ii) y's ""willingness"": ""Will y actually perform the needed action?"", ""Is y predictable, reliable?"", ""Is y really willing to do the expected action?"". Clearly these two kinds of evaluation are rather independent: y can be very well disposed but not really skilled; or y can be really able but not credible.

Moreover, trust as judgment implies the 'internal attribution' to y of skills, qualities, 'virtues'; but it also imply some evaluation about the 'external' favorable or adverse contextual conditions for y's action. This is why not necessarily y's failure entails a decreasing of y's trustworthiness; it might not be his fault, but just due to 'external' interferences.

Trust in not only 'social', addressed towards other persons; it can be also towards some process or mechanism (I can trust or not a given elevator), and technology: how much effective and good is it as for its service; how much reliable and predictable; how much accessible and friendly;...? The opposite (but complementary) side of trust is the perceived risk and the perceived unreliability or unmanageability of the technology.

Trust dynamics is a very important and complex issue, with many aspects.

On the one side, there is the problem of trust transitivity: if x trust y, and y trust z, will x trust z? Not automatically: it depends on the specific object of those trust relations. If x trust y ""as good evaluator of t performances"" and y trust z as for t, then x will trust z as for t.

On the other side, there is the general problem of trust transfer:

(a) If x trust y as for t, will x trust y also for another task t'? It depends: do the qualities, skills, needed for successfully performing t overlapping with the quality needed for t'? If ""Yes"", the trustworthiness of y as for t is a good predictor of y's trustworthiness also for t'.

(b) If x trusts y as for t, will x trust z for t? It depends on the similarity between y and z: does z have the same qualities of y necessary for t?

Another important dynamics is trust as self-fulfilling prophecy. Trust is an expectation, but this expectation can affect the expected outcome, both its probability and quality. In fact, on the one side x's positive evaluation of y can increase y's commitment, effort, self-esteem, etc. and influence the quality of y's performance. On the other side, the fact that x is or becomes dependent on y can increase y's 'benevolence' or responsibility towards x. In general, it is well known that trust can induce trust and reciprocation, while diffidence elicits diffidence.

Finally, those dynamics can be taken into account even in x's evaluation and decision to trust: perhaps x's trust in y would not be sufficient, but x predicts that his act of trusting y will increase y's reliability and performance, thus trust becomes enough and x decides to trust/rely on y.

Trust technology. Trust is a very dialectic and dynamic phenomenon, and it should acquire the same level of quality with technology. There are two different (but not independent) perspectives on that:

(i) A technology really able to support social trust relations and to create new trust dimensions among humans.

(ii) A trustworthy technology deserving and eliciting trust disposition, which is not at all just a matter of ""security"", like engineers currently believes.",,
Trust: towards conceptual clarification,Trust is universally regarded as a ‘good thing’ at both the interpersonal level and as a means of bringing stability to social institutions and markets.,Search,2004,51,Bob  Hudson,,,10.1080/1036114042000205650,https://doi.org/10.1080/1036114042000205650,https://semanticscholar.org/paper/50ecd1577e66a5712cbbb91e8c0208cf8a399489,,"Trust is universally regarded as a ‘good thing’ at both the interpersonal level and as a means of bringing stability to social institutions and markets. However, the concept is often treated in a homogeneous and unhelpful way, and academic reflection is spread across many disciplines that frequently fail to interconnect. This article pulls together the key perspectives and ideas from these different academic traditions. It outlines the main components of trust, and goes on to identify three different types of trust, each of which is associated with a different type of trusting. It concludes that it is now time to move beyond conceptual clarification to more empirical application.",,
