Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Drivers’ trust in an autonomous system,Body movements are not sensitive to individual differences in reported trust.,Search,2016,5,"Timothy J. Wright, William J. Horrey, Mary F. Lesch, Mahmudur  Rahman",,,10.1177/1541931213601308,https://doi.org/10.1177/1541931213601308,https://semanticscholar.org/paper/f15b7a99a951c67e35a3725bb2bc0916982852c3,,"Drivers’ trust in automation will likely determine the extent that autonomous and semi-autonomous vehicles are adopted, and once adopted, used properly. Unfortunately, previous studies have typically utilized overt subjective measures in determining an individual’s level of trust in automation. The current study aims to evaluate a covert behavioral measure of trust based on drivers’ body (head, hand, and foot) movements as they experience a simulated autonomous system. Videos of drivers interacting with an autonomous driving system in a driving simulator were coded. Body movement counts and average durations were derived from this coding and these data were compared across quartile rankings (based on self-reported trust) to examine body movements’ sensitivity to drivers’ level of trust. Results suggest body movements are not sensitive to individual differences in reported trust. Future work should further examine the utility of this covert behavioral metric by further examining situational differences.",,
Trust in vehicle technology,Driver trust has potentially important implications for how vehicle technology is used and interacted with.,Search,2016,43,"Guy H. Walker, Neville A. Stanton, Paul M. Salmon",,,10.1504/IJVD.2016.074419,https://doi.org/10.1504/IJVD.2016.074419,https://semanticscholar.org/paper/cb3538fb73362a15e9ac17578eb2d59a69edb937,https://eprints.soton.ac.uk/390014/1/__soton.ac.uk_ude_personalfiles_users_jr1d11_mydesktop_ePrints_Update_Trust%2520in%2520vehicle%2520technology%2520%255Bauthor%2520draft%255D.pdf,"Driver trust has potentially important implications for how vehicle technology is used and interacted with. In this paper, it will be seen how driver trust functions and how it can be understood and manipulated by insightful vehicle design. It will review the theoretical literature to define steps that can be taken to establish trust in vehicle technology in the first place, maintain trust in the long term, and even re-establish trust that has been lost along the way. The paper presents a synthesis of the wider trust literature, integrates key trust parameters, describes practically how to measure trust, and presents a set of principles for vehicle designers to use in assessing existing design decisions and justify new ones.",,Review
An investigation into sharing economy enabled ridesharing drivers' trust: A qualitative study,"The key factors influencing trust-in-passenger are driving expenses, social interactions, enjoyment, cancelling the order, paying on time, politeness, appearance, rating and online reviews.",Search,2020,16,"Xusen  Cheng, Linlin  Su, Bo  Yang",Electron. Commer. Res. Appl.,,10.1016/j.elerap.2020.100956,https://doi.org/10.1016/j.elerap.2020.100956,https://semanticscholar.org/paper/4b783e9d1ba5b77662134e0967a39a217e09da24,,"Abstract The sharing economy enabled ridesharing has received much attention as a means of releasing the traffic pressure and maximizing car resource utilization. There is a lack of drivers sharing cars due to a trust issue in ridesharing. In order to understand the drivers’ trust and sharing intention in ridesharing, this study used a qualitative research method regarding uncertainty reduction theory (URT) as the main theoretical framework. By conducting and analysing interviews with the ridesharing drivers in China, this paper demonstrates that the key factors influencing trust-in-passenger are driving expenses, social interactions, enjoyment, cancelling the order, paying on time, politeness, appearance, rating and online reviews. We have also proposed a trust traffic-light model (TLM) of ridesharing as well as a ridesharing drivers’ trust (RDT) onion model to understand the importance of each factor and to exhibit them all. Meanwhile, trust-in-passenger influences the drivers’ sharing intention. This paper contributes to the field of ridesharing and trust.",,Review
"Trusting a Virtual Driver That Looks, Acts, and Thinks Like You",Similarity between a human driver and a virtual driver in a self-driving car could increase the trust in the virtual driver.,Search,2015,46,"Frank M. F. Verberne, Jaap  Ham, Cees J. H. Midden",Hum. Factors,,10.1177/0018720815580749,https://doi.org/10.1177/0018720815580749,https://semanticscholar.org/paper/77439404c0d5879a0be8a6c0ce7bbb469f57f8f8,,"Objective: We examined whether participants would trust an agent that was similar to them more than an agent that was dissimilar to them. Background: Trust is an important psychological factor determining the acceptance of smart systems. Because smart systems tend to be treated like humans, and similarity has been shown to increase trust in humans, we expected that similarity would increase trust in a virtual agent. Methods: In a driving simulator experiment, participants (N = 111) were presented with a virtual agent that was either similar to them or not. This agent functioned as their virtual driver in a driving simulator, and trust in this agent was measured. Furthermore, we measured how trust changed with experience. Results: Prior to experiencing the agent, the similar agent was trusted more than the dissimilar agent. This effect was mediated by perceived similarity. After experiencing the agent, the similar agent was still trusted more than the dissimilar agent. Conclusion: Just as similarity between humans increases trust in another human, similarity also increases trust in a virtual agent. When such an agent is presented as a virtual driver in a self-driving car, it could possibly enhance the trust people have in such a car. Application: Displaying a virtual driver that is similar to the human driver might increase trust in a self-driving car.",,
Who do Taxi Drivers Trust?,Driving a taxi is dangerous.,Search,2006,3,"Heather  Hamill, Diego  Gambetta",,,10.1525/CTX.2006.5.3.29,https://doi.org/10.1525/CTX.2006.5.3.29,https://semanticscholar.org/paper/41105e65bd025f24655446118b284007169a073d,,"Driving a taxi is dangerous, and picking up the wrong fare can be devastating. Yet drivers only have a moment to make a choice.",,
Will passengers trust driverless vehicles? Removing the steering wheel and pedals,People tend to intervene more often with the traditional control interface on driverless vehicles.,Search,2016,27,"Kristin E. Schaefer, Edward R. Straub",2016 IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support (CogSIMA),,10.1109/COGSIMA.2016.7497804,https://doi.org/10.1109/COGSIMA.2016.7497804,https://semanticscholar.org/paper/3cf0e3925fe616171f4757d1ffa4c67ed26b433f,https://zenodo.org/record/1266609/files/article.pdf,"Driverless passenger vehicles are an emerging technology and a near-term eventuality. As such, the role of someone onboard the vehicle will change from the active role of a driver to the passive role of a passenger. The goal of this work is to provide an initial assessment of this interaction, with a specific focus on the impact of different available control interfaces on trust, usability, and performance. Participants interacted with two simulated driverless passenger vehicles that were designed to mirror a real-world prototype vehicle for Soldier transit on a U.S. military installation. Vehicle 1 had a traditional wheel and pedal control interface, as well as two buttons to disengage or re-engage the vehicle's automation system. Vehicle 2 only had the button system available with which to disengage the automation and bring the vehicle to a safe stop in the simulation and then re-engage. Both vehicles were designed to function optimally throughout the virtual environment. Findings suggested equal trust and usability ratings between the two vehicles. However, participants tended to intervene more often with the traditional control interface. Individual differences and preference ratings are reported.",,
Real-Time Estimation of Drivers' Trust in Automated Driving Systems,Trust miscalibration issues hinder the interaction between drivers and self-driving vehicles.,Search,2021,15,"Hebert  Azevedo-Sa, Suresh Kumaar Jayaraman, Connor T. Esterwood, Xi Jessie Yang, Lionel P. Robert, Dawn M. Tilbury",Int. J. Soc. Robotics,,10.1007/S12369-020-00694-1,https://doi.org/10.1007/S12369-020-00694-1,https://semanticscholar.org/paper/b8413782b0fef7b1bcb355c74ea5335e9c30b51c,https://link.springer.com/content/pdf/10.1007/s12369-020-00694-1.pdf,"Trust miscalibration issues, represented by undertrust and overtrust, hinder the interaction between drivers and self-driving vehicles. A modern challenge for automotive engineers is to avoid these trust miscalibration issues through the development of techniques for measuring drivers’ trust in the automated driving system during real-time applications execution. One possible approach for measuring trust is through modeling its dynamics and subsequently applying classical state estimation methods. This paper proposes a framework for modeling the dynamics of drivers’ trust in automated driving systems and also for estimating these varying trust levels. The estimation method integrates sensed behaviors (from the driver) through a Kalman filter-based approach. The sensed behaviors include eye-tracking signals, the usage time of the system, and drivers’ performance on a non-driving-related task. We conducted a study ($$n=80$$n=80) with a simulated SAE level 3 automated driving system, and analyzed the factors that impacted drivers’ trust in the system. Data from the user study were also used for the identification of the trust model parameters. Results show that the proposed approach was successful in computing trust estimates over successive interactions between the driver and the automated driving system. These results encourage the use of strategies for modeling and estimating trust in automated driving systems. Such trust measurement technique paves a path for the design of trust-aware automated driving systems capable of changing their behaviors to control drivers’ trust levels to mitigate both undertrust and overtrust.",,
Designer driving: drivers' conceptual models and level of trust in adaptive cruise control,Drivers hold inappropriate levels of self-reported trust in Adaptive Cruise Control systems.,Search,2007,58,"Tarannum Ayesha Kazi, Neville A. Stanton, Guy H. Walker, Mark S. Young",,,10.1504/IJVD.2007.014909,https://doi.org/10.1504/IJVD.2007.014909,https://semanticscholar.org/paper/ae38569a14037f495f632e9fb878f8b6670e68bb,http://bura.brunel.ac.uk/bitstream/2438/1629/1/Designer_Driving_Kazi_et_al_%28postprint%29.pdf,"A driving simulator study was completed in order to examine drivers' level of trust and the type of Conceptual Model (CM) they held of an Adaptive Cruise Control system (ACC). Fifteen drivers participated in a ten days study where they were allocated to varying percentage of ACC reliability conditions (100%, 50%, 0%). Results demonstrated inappropriate levels of self-reported trust in relation to the corresponding level of reliability. In addition the DCMs were consolidated over a short period of time, but they did not match that of designers' model of ACC, thus better design solutions may be warranted.",,
Supporting Trust in Autonomous Driving,A driver interface that visualizes the car’s interpretation of the current situation and its corresponding actions can increase trust in autonomous driving.,Search,2017,42,"Renate  Haeuslschmid, Max von Buelow, Bastian  Pfleging, Andreas  Butz",,,,,https://semanticscholar.org/paper/5ded2cf1ed785dcdd392274075b78dfdf77fa4e0,,"Autonomous cars will likely hit the market soon, but trust into such a technology is one of the big discussion points in the public debate. Drivers who have always been in complete control of their car are expected to willingly hand over control and blindly trust a technology that could kill them. We argue that trust in autonomous driving can be increased by means of a driver interface that visualizes the car’s interpretation of the current situation and its corresponding actions. To verify this, we compared different visualizations in a user study, overlaid to a driving scene: (1) a chauffeur avatar, (2) a world in miniature, and (3) a display of the car’s indicators as the baseline. The world in miniature visualization increased trust the most. The human-like chauffeur avatar can also increase trust, however, we did not find a significant difference between the chauffeur and the baseline. ACM Classification",,
The Influence of Risk on Driver's Trust in Semi-Autonomous Driving,"The US Army Tank Automotive Research, Development, and Engineering Center funded the Automotive Research Center at the University of Michigan.",Search,2018,8,"Luke  Petersen, Huajing  Zhao, Dawn M. Tilbury, X. Jessie Yang, Lionel Jr Robert",,,,,https://semanticscholar.org/paper/9b76d141f6ed6baf8adf425b7eb76528e5721187,,"Automotive Research Center (ARC) at the University of Michigan, with funding from government contract DoD-DoA W56HZV-14-2- 0001 through the US Army Tank Automotive Research, Development, and Engineering Center.",,
