Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Trust framework for social networks,A new trust framework for social networks can increase the trust view and reduce the errors in trust evaluation.,Search,2012,,Arjan  Durresi,,,,,https://semanticscholar.org/paper/f13e823c8bf9e6eb1c13c27495d767a08b90258c,,"We are developing a trust framework for social networks. The framework includes new metrics for trust evaluation and its confidence. We consider trust assessments similar to physical measurements. Therefore, we apply measurement theory of errors in trust evaluation. We have tested our framework with real datasets from social networks. Our results confirm the validity of our approach. Furthermore, we show some great advantages of our framework, for example the trust view in an experiment was increased more than 2000 times. Our framework can be used to build security mechanisms for social networks, including filters against DDoS and untrusted information, detection of cliques of attackers and much more.",,
Trust management framework for social networks,"A new system of trust metrics, composed by impression and confidence, captures human trust level and its uncertainty.",Search,2012,25,"Ping  Zhang, Arjan  Durresi",2012 IEEE International Conference on Communications (ICC),,10.1109/ICC.2012.6364031,https://doi.org/10.1109/ICC.2012.6364031,https://semanticscholar.org/paper/849d7b05678289ae1a54669e18935c6ec9a5e758,,"Inspired by the similarities between human trust and physical measurements, we propose a new system of trust metrics, composed by impression and confidence, which captures both human trust level and its uncertainty, while being intuitive and user friendly. Furthermore, based on measurement error propagation theory, we propose an evaluation framework to compute confidence according to impression transitivity and aggregation operations. Our framework can be used in all applications where human trust is involved, including various types of social networks. Experiments on a real social network validate our framework, as well as the enormous potential of our trust framework in various social network applications. For example, in an experiment on real data we increased 2250 times the “trust view,” while keeping the same level of confidence.",,
A trust management framework for service-oriented environments,A reputation management system can provide each entity in a system with the flexibility to apply different scoring functions over the same feedback data for customized trust evaluations.,Search,2009,122,"William  Conner, Arun  Iyengar, Thomas A. Mikalsen, Isabelle  Rouvellou, Klara  Nahrstedt",WWW '09,,10.1145/1526709.1526829,https://doi.org/10.1145/1526709.1526829,https://semanticscholar.org/paper/9be7956b32e3a89c08757b51d75474e7ea392e1f,,"Many reputation management systems have been developed under the assumption that each entity in the system will use a variant of the same scoring function. Much of the previous work in reputation management has focused on providing robustness and improving performance for a given reputation scheme. In this paper, we present a reputation-based trust management framework that supports the synthesis of trust-related feedback from many different entities while also providing each entity with the flexibility to apply different scoring functions over the same feedback data for customized trust evaluations. We also propose a novel scheme to cache trust values based on recent client activity. To evaluate our approach, we implemented our trust management service and tested it on a realistic application scenario in both LAN and WAN distributed environments. Our results indicate that our trust management service can effectively support multiple scoring functions with low overhead and high availability.",,
Trust Framework for IAAS—A Tool Based on Security Checks Through Standards and Certifications,"A ""trust framework"" calculates a cloud provider's trustworthiness based on security coverage through standards and certification.",Search,2018,1,"Archana B. Saxena, Meenu  Dawe",Information and Communication Technology for Intelligent Systems,,10.1007/978-981-13-1747-7_35,https://doi.org/10.1007/978-981-13-1747-7_35,https://semanticscholar.org/paper/af17dbc60a3ab35e48c04bbb552128f6a0f675e6,,"The admiration and acceptance of cloud computing by masses has fuelled the concern to look into the critical issues faced by technology to make it a seamless and trusty solution of information systems, communication, and information security. Two challenges that are hampering the success of this technology are: security and trust. When security is assured, trust will forte and security lapse will definitely have a negative impact on trust. In this paper, we introduce a novel trust model that is based on security coverage through standards and certifications. To address these issues, author has kept a twofold aim for this paper: firstly logged all the factors that are considered imperative for IAAS security and verify how provider is assuring security related to these factors. Second is to present a “trust framework” that will calculate trustworthiness of cloud provider on the basis of security coverage of above-mentioned factors through standards and certification attained by cloud provider. The proposed solution can calculate two types of trust factors: overall trust factor (OTF) and service-specific trust factor (SSTF). This framework can assist cloud consumer in electing cloud provider for IAAS.",,
A framework for trust establishment and assessment on the web of data,A model to represent the trust in concrete pieces of web data is proposed.,Search,2010,5,"Qi  Gao, Geert-Jan  Houben",WWW '10,,10.1145/1772690.1772822,https://doi.org/10.1145/1772690.1772822,https://semanticscholar.org/paper/89c754145c22d78cb12a271b8e8670d24e576b8c,,"With the enormous and still growing amount of data and user interaction on the Web, it becomes more and more necessary for data consumers to be able to assess the trustworthiness of data on the Web. In this paper, we present a framework for trust establishment and assessment on the Web of Data. Different from many approaches that build trust metrics within networks of people, we propose a model to represent the trust in concrete pieces of web data for a specific consumer, in which also the context is considered. Further more, we provide three strategies for trust assessment based on the principles of Linked Data, to overcome the shortcomings of the conventional web of documents: i.e. the lack of semantics and interlinking.",,
Trust-X: A Peer-to-Peer Framework for Trust Establishment,"A peer-to-peer trust negotiation framework takes into account all aspects related to negotiations, from the specification of the profiles and policies of the involved parties to the selection of the best strategy to succeed in the negotiation.",Search,2004,258,"Elisa  Bertino, Elena  Ferrari, Anna Cinzia Squicciarini",IEEE Trans. Knowl. Data Eng.,,10.1109/TKDE.2004.1318565,https://doi.org/10.1109/TKDE.2004.1318565,https://semanticscholar.org/paper/b3445da3b7d61cf09d2a640bc8b639884448c498,http://www.cerias.purdue.edu/ssl/techreports-ssl/2004-66.pdf,"—In this paper, we present

, a comprehensive XML-based [

] framework for trust negotiations, specifically conceived for a peer-to-peer environment. Trust negotiation is a promising approach for establishing trust in open systems like the Internet, where sensitive interactions may often occur between entities at first contact, with no prior knowledge of each other. The framework we propose takes into account all aspects related to negotiations, from the specification of the profiles and policies of the involved parties to the selection of the best strategy to succeed in the negotiation. presents a number of innovative features, such as the support for protection of sensitive policies, the use of trust tickets to speed up the negotiation, and the support of different strategies to carry on a negotiation. In this paper, besides presenting the language to encode security information, we present the system architecture and algorithms according to which negotiations can take place.",,
The mechanics of trust: A framework for research and design,A systemic perspective is essential for enabling well-placed trust and trustworthy behavior in technology-mediated interactions.,Search,2005,427,"Jens  Riegelsberger, M. Angela Sasse, John D. McCarthy",Int. J. Hum. Comput. Stud.,,10.1016/j.ijhcs.2005.01.001,https://doi.org/10.1016/j.ijhcs.2005.01.001,https://semanticscholar.org/paper/c5d2139441fbc3b1b0ad310ef828f9663328bb53,http://discovery.ucl.ac.uk/13434/1/The_mechanics_of_trust.pdf,"With an increasing number of technologies supporting transactions over distance and replacing traditional forms of interaction, designing for trust in mediated interactions has become a key concern for researchers in human computer interaction (HCI). While much of this research focuses on increasing users' trust, we present a framework that shifts the perspective towards factors that support trustworthy behavior. In a second step, we analyze how the presence of these factors can be signalled. We argue that it is essential to take a systemic perspective for enabling well-placed trust and trustworthy behavior in the long term. For our analysis we draw on relevant research from sociology, economics, and psychology, as well as HCI. We identify contextual properties (motivation based on temporal, social, and institutional embeddedness) and the actor's intrinsic properties (ability, and motivation based on internalized norms and benevolence) that form the basis of trustworthy behavior. Our analysis provides a frame of reference for the design of studies on trust in technology-mediated interactions, as well as a guide for identifying trust requirements in design processes. We demonstrate the application of the framework in three scenarios: call centre interactions, B2C e-commerce, and voice-enabled on-line gaming.",,
A Requirements-Driven Trust Framework for Secure Interoperation in Open Environments,A requirements-driven trust framework is essential to facilitate trust negotiation based on the service requirements of partner domains.,Search,2006,9,"Suroop Mohan Chandran, Korporn  Panyim, James B. D. Joshi",iTrust,,10.1007/11755593_4,https://doi.org/10.1007/11755593_4,https://semanticscholar.org/paper/22bc347abe1a2b0520fff33a2d68ba39b8132170,,"A key challenge in emerging multi-domain open environments is the need to establish trust-based, loosely coupled partnerships between previously unknown domains. An efficient trust framework is essential to facilitate trust negotiation based on the service requirements of the partner domains. While several trust mechanisms have been proposed, none address the issue of integrating the trust mechanisms with the process of integrating access control policies of partner domains to facilitate secure interoperation. In this paper, we propose a requirements-driven trust framework for secure interoperation in open environments. Our framework tightly integrates game-theory based trust negotiation with service negotiation, and policy mapping to ensure secure interoperation.",,
A Trust Framework for Peer-to-Peer Interaction in Ad Hoc Networks,A trust framework is the logical solution to provide ways to distinguish the most trustworthy neighbors.,Search,2009,4,Javesh  Boodnah,"2009 Computation World: Future Computing, Service Computation, Cognitive, Adaptive, Content, Patterns",,10.1109/COMPUTATIONWORLD.2009.62,https://doi.org/10.1109/COMPUTATIONWORLD.2009.62,https://semanticscholar.org/paper/c6270dd35f69e580ee2f2cd18628adb393339153,,"As smarter mobile devices are increasingly adopted by the wider public, to access more diverse applications, the question of who to trust while on the move becomes a crucial one. When operating within ad-hoc type mobile networks, a trust framework is the logical solution to provide ways to distinguish the most trustworthy neighbours. This promotes reliable information transfer, promotes the use of local services and encourages content and resource sharing. This paper proposes a scheme to set up such a trust framework, based upon aggregating trust, based upon a trust decision process and upon the most trustworthy nodes. Furthermore, the impact of the trust framework is analysed by observing the evolution of trust over time, the overhead such a framework generates, and its effectiveness in limiting non-cooperation and malicious intent.",,
A framework for trust in construction contracting,A trust framework in construction contracting can enhance trust-building.,Search,2008,179,"Wei Kei Wong, Sai On Cheung, Tak Wing Yiu, Hoi Yan Pang",,,10.1016/J.IJPROMAN.2007.11.004,https://doi.org/10.1016/J.IJPROMAN.2007.11.004,https://semanticscholar.org/paper/cc4275b67f674318edbfa9b2a3aeda04f224f4d6,,"Abstract How trust establishes and sustains relationship has been widely studied in the fields of social science, economics, business and management. It has been suggested that trust helps to reinforce individuals’ affirmative willingness, confidence, expectation, belief, behavior and to overcome risk/uncertainty. However, trust building has been considered as impossibility due to the divergent interests of the contracting parties. As such, implementing trust in construction contracting has gained limited progress. This study aims to first conceptualize trust in construction by categorizing trust types according to their development bases. Based on a review on previous studies on trust, three major types of trust are identified; system-based, cognition-based and affect-based. To enhance trust-building, these trust conceptions were further reduced to trusting behaviors. In this respect, a trust framework in construction contracting was developed and tested empirically by the technique of structural equation modeling. The correlations of these three forms of trust in construction contracting are significant and close, with the coefficients of 0.99, 0.97 and 0.94 for cognition-based, system-based and affect-based, respectively. These support the statistical fit of the proposed trust framework in construction contracting. The empirical results suggested that all three forms are of almost equal importance in trust building. This reinforces the conventional wise down that trust building is easy to say than do. The three facets of trust co-exist and in factual are mutually dependent. A system is only as good as its weakest point, hence a trust building project manager must be able to install robust system, care for the stakeholders and team members. The trust framework thus enhances our outstanding how trust building can be practiced in construction contracting.",,Review
