Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Princípios TRUST como ferramenta de avaliação de repositórios de dados,"The TRUST Principles act as a useful certification tool for data repositories, as they focus on very specific aspects of the repositories.",Search,2021,,"Lucas Henrique Alves da Silva, André Luiz de França Madeiro, Guilherme Ataíde Dias, Izabel França de Lima",,,10.36311/1981-1640.2021.V15.E02107,https://doi.org/10.36311/1981-1640.2021.V15.E02107,https://semanticscholar.org/paper/ea7bc6f82932a0608d6905b43edd2fc04bbf095c,https://revistas.marilia.unesp.br/index.php/bjis/article/download/11283/7184,"Scientific data repositories act as important tools to support data storage, preservation and sharing. In this sense, the TRUST Principles emerge as a set of guidelines that seek to guarantee the reliability of digital data repositories. This research aims to verify the applicability of TRUST Principles as an assessment tool for data repositories, based on the analysis of the “Covid-19 Data Sharing / BR” repository. For this, two instruments were used: first, a set of criteria was developed to assess the repository's adherence to each of the TRUST Principles; second, a scoring system capable of assessing the repository's adherence to each criterion, on a scale graded from one to five, was formulated, the average score obtained in each principle was named trustworthiness degree. The scoring system was modeled using a software developed in the PHP programming language. It was observed that the principle with the highest value in the repository was Responsibility, while a low adherence to the Technology principle was noted. The research found that the TRUST Principles can be used as a useful certification tool for data repositories, as they direct their focus to very specific aspects of the repositories.",,
The Moral Foundations of Trust,The moral value of trust depends on an optimistic world view and the belief that we can make it better.,Search,2002,2215,Eric M. Uslaner,,,10.2139/ssrn.824504,https://doi.org/10.2139/ssrn.824504,https://semanticscholar.org/paper/8bd8a8a7d55ff05beb1ddc07e993a9e466ae90c0,,"The Moral Foundations of Trust seeks to explain why people place their faith in strangers, and why doing so matters. Trust is a moral value that does not depend upon personal experience or on interacting with people in civic groups or informal socializing. Instead, we learn to trust from our parents, and trust is stable over long periods of time. Trust depends on an optimistic world view: the world is a good place and we can make it better. Trusting people are more likely to give through charity and volunteering. Trusting societies are more likely to redistribute resources from the rich to the poor. Trust has been in decline in the United States for over 30 years. The roots of this decline are traceable to declining optimism and increasing economic inequality, which Uslaner supports by aggregate time series in the United States and cross-sectional data across market economies.",,
"A characterization of trust, and its consequences","Trust is understood in terms of acceptance of dependency, the absence of information about the other’s reliability, and the creation of an outcome otherwise unavailable.",Search,2009,189,Jack  Barbalet,,,10.1007/S11186-009-9087-3,https://doi.org/10.1007/S11186-009-9087-3,https://semanticscholar.org/paper/c83be23f8b62b977f66e46b960303de38fcb4f9a,,"Trust is understood in terms of a) acceptance of dependency in b) the absence of information about the other’s reliability in order to c) create an outcome otherwise unavailable. The first of these is the cost of trust; the second, the situation of uncertainty it faces and may overcome; the third, its purchase. This account permits: distinction between trust and similar relations with which it is frequently confused; discovery of the basis of trust in the emotional apprehension of confidence; and demonstration of the relationship between trust and both social capital and rationality, with counter-intuitive results.",,
TRUST: THE CONNECTING LINK BETWEEN ORGANIZATIONAL THEORY AND PHILOSOPHICAL ETHICS,"Trust is essential for understanding interpersonal and group behavior, managerial effectiveness, economic exchange and political stability.",Search,1995,2233,LaRue Tone Hosmer,,,10.5465/AMR.1995.9507312923,https://doi.org/10.5465/AMR.1995.9507312923,https://semanticscholar.org/paper/ca66c1ec2ef52c0f2fa67ce22e866f3b8b51ccb7,,"Numerous researchers have proposed that trust is essential for understanding interpersonal and group behavior, managerial effectiveness, economic exchange and social or political stability, yet according to a majority of these scholars, this concept has never been precisely defined. This article reviews definitions from various approaches within organizational theory, examines the consistencies and differences, and proposes that trust is based upon an underlying assumption of an implicit moral duty. This moral duty—an anomaly in much of organizational theory—has made a precise definition problematic. Trust also is examined from philosophical ethics, and a synthesis of the organizational and philosophical definitions that emphasizes an explicit sense of moral duty and is based upon accepted ethical principles of analysis is proposed. This new definition has the potential to combine research from the two fields of study in important areas of inquiry.",,Review
Elements of trust: Risk and perspective-taking,The egocentric costs and benefits of the trustor and the probability of reciprocity of the trustee affect trust decisions.,Search,2011,86,"Anthony M. Evans, Joachim I. Krueger",,,10.1016/J.JESP.2010.08.007,https://doi.org/10.1016/J.JESP.2010.08.007,https://semanticscholar.org/paper/7a71280a7b830ff977abc1021fdd57e36cdcd2c0,,"Trust is essential to personal well-being and economic success, but it cannot occur without accepting the possibility of betrayal. In the experimental trust game, game-theoretic rationality prescribes that trust decisions should depend on the potential risk (egocentric costs and benefits) and the probability of reciprocity (derived from the trustee's temptation to defect). The current work tests the relative weights of these elements. Experiment 1 shows that trust increases when costs decrease and benefits increase. The latter finding is critical because increasing the trustor's benefit also means increasing the trustee's temptation to defect. Hence, this finding suggests that egocentrism prevails over perspective-taking. Experiment 2 shows that the trustee's temptation to defect (negatively) affects trust, but only when the trustor's cost and benefit are favorable. Results are interpreted as reflecting a boundedly rational decision process.",,
Conceptualising Trust : A Literature Review (NIRSA) Working Paper Series. No. 40,The issue of trust is related to the issue of “risk in modern societies”.,Search,2008,3,"Stefano De Paoli, Aphra  Kerr",,,,,https://semanticscholar.org/paper/8f9338bc3ae8efe3696befb8a4bc6338ca23d810,,"In this paper we lay some theoretical foundations for examining governance, users

and trust in online environments. Trust has been a central concern in the social

sciences since, at least, the pioneering work of Georg Simmel's “The Philosophy of

Money”, in which the author described trust as fundamental for the integration of

the society. Later sociologists – like Niklas Luhmann and Anthony Giddens -, have

attended to the problem of trust, clearly relating the concept to the issue of “risk in

modern societies”. The goal of this paper is not to provide an exhaustive survey of

3

the sociological literature in this area but rather to begin to explore different

disciplinary conceptions of trust. The PRTLI funded project from which this paper

has emerged is an interdisciplinary team of mathematicians, computer scientists,

engineers, designers and sociologists and it emerged early on that people had

different understandings of the key challenges facing the internet, particularly as

they related to security and trust. Of particular concern to the authors is the extent to

which we can delegate security maintenance and governance to technology, what

decisions get coded into these solutions and what the implications might be for end

users.",,Review
"Economics, values, and organization: Trust: beliefs and morality","Trust is necessary for organizations to function well, both internally and in their relations with other organizations.",Search,1998,15,Jonathan  Baron,,,10.1017/CBO9781139174855.017,https://doi.org/10.1017/CBO9781139174855.017,https://semanticscholar.org/paper/c25251b430a607afb9b6bba0a95326bb7d3293b6,,"Trust is necessary for organizations to function well, both internally and in their relations with each other. Trust has been considered a form of human capital, a public good. Few if any social scientists or political leaders complain about there being too much trust. Many contributors to this volume are concerned with trust as a good. Trust is important in the functioning of firms and institutions. One of the qualities of good academic departments, for example, is that people do their work for real, without pretending or excessive complaining. Trust is also important in relations between citizens and government. Giving power to the government requires believing, or acting as if one believed, that the government officials involved will use the power correctly. Ultimately, this involves trust in one’s fellow citizens. They must not only be trusted to do their jobs when they are government employees, but they must also be trusted to be recognize and correct future errors of policy. Without such trust, change becomes difficult. People are afraid to risk giving power to the government for fear of some error that will not be corrected, so they attached to the status-quo. Breyer (1993) has described a vicious circle resulting from mistrust of government: simplistic laws that tie the hands of government, government abuses as a result of trying to ∗Citation: Baron, J. (1998). Trust: beliefs and morality. In A. Ben-Ner & L. Putterman (Eds.), Economics, values, and organization, pp. 408–418. Cambridge University Press.",,
Theoretical considerations over trust: relevant aspects for organizational behaviour,The earlier work on trust has not been wasted because each definition provided new information.,Search,1999,9,Ana Cristina Costa,,,10.17575/RPSICOL.V13I1/2.561,https://doi.org/10.17575/RPSICOL.V13I1/2.561,https://semanticscholar.org/paper/8f441b2d3ac5718e3638464af7f3fefb9e61084b,https://revista.appsicologia.org/index.php/rpsicologia/article/download/561/307,"The concept of trust has been studied by a large number of scholars from various scientific backgrounds. Trust has showed to play a major role in social relations, organizations, political systems, economic transactions and even in human-computer interaction. Many scholars appear united with respect to the importance of trust as a “public good”, necessary for the success of many economic transactions. Lewis and Weigert (1985, p.968) suggest that “trust is indispensable in social relationships”. Zucker (1986, p.56) followed with the statement that trust is “vital for the maintenance of cooperation in society and necessary as grounds for even the most routine, everyday interaction.” Luhmann (1980, p.4) goes further by arguing that trust is necessary to reduce complexity in the social systems, “absence of trust would prevent him (individual) from getting up in the morning”. Although the importance of trust has been acknowledged, its study remains problematic for several reasons. Since trust is a basic factor for the understanding of human conduct, its study is not restricted to a particular level of analysis. In the literature we find trust related to individuals, interpersonal relations, organizational structures, economic transactions and societies as a whole. In these contexts, several definitions have been proposed causing considerable confusion among researchers. However the earlier work has not been wasted. Each definition proposed, even with the limitations of its own approach, provides new information, adds insight and understanding to the meaning of trust. The fact that trust can be studied at different levels (individuals, groups and societies) and in different contexts, points out the relevancy of a multilevel analysis as well a simultaneous consideration of the context, in order to develop a meaningful framework for the study of trust (Rousseau, Stikin, Burt and Carmer, 1998). DOI:  http://dx.doi.org/10.17575/rpsicol.v13i1/2.561",,
Trust and Stakeholder Theory: Trustworthiness in the Organisation–Stakeholder Relationship,Stakeholders must rely on the trustworthiness of the organization to fulfill obligations in accordance to Phillips’ principle of fairness.,Search,2010,196,"Michelle  Greenwood, Harry J. Buren III",,,10.1007/S10551-010-0414-4,https://doi.org/10.1007/S10551-010-0414-4,https://semanticscholar.org/paper/7efca319d03e872333b9a7d7e0c60c6527b02522,,"Trust is a fundamental aspect of the moral treatment of stakeholders within the organization–stakeholder relationship. Stakeholders trust the organization to return benefit or protections from harm commensurate with their contributions or stakes. However, in many situations, the firm holds greater power than the stakeholder and therefore cannot necessarily be trusted to return the aforementioned duty to the stakeholder. Stakeholders must therefore rely on the trustworthiness of the organization to fulfill obligations in accordance to Phillips’ principle of fairness (Business Ethics Quarterly7(1), 1997, 51–66), particularly where low-power stakeholders may not be fully consenting (Van Buren III, Business Ethics Quarterly11(3), 2001, 481–499). The construct of organizational trustworthiness developed herewith is presented as a possible solution to the problem of unfairness in organization–stakeholder relations. While organizational trustworthiness does not create an ethical obligation where none existed before, stakeholders who lack power will likely be treated fairly when organizational trustworthiness is present.",,
Trust: nature and dynamics,"Trust is a disposition towards another agent (natural, technical, or social) on which our ""welfare"", that is, the realization of some goal of us, depends.",Search,2011,6,Cristiano  Castelfranchi,CHItaly,,10.1145/2037296.2037302,https://doi.org/10.1145/2037296.2037302,https://semanticscholar.org/paper/3145cddfb0aefed58c65e385a4cc12bb6a178e39,,"Trust is a complex notion -- with various components and dimensions-, and a multi-role relation: Trust (x y t G c); x trusts y as for action/task t useful for goal G, in context c.

It is an attitude, a disposition towards another agent (natural, technical, or social) on which our ""welfare"", that is, the realization of some goal of us, depends. This attitude makes us disposed to expose ourselves to failure or damage by relying on y for satisfying our goal.

This attitude towards y can be based just on feelings of safety and perceived benevolence, or on feelings due to the analogical evocation of previous or similar positive experiences; or it is more ""rational"", or better ""reason-based"", grounded on some specific beliefs, evaluations, and expectations about y, that justify our reliance. On the basis of this positive expectation and evaluation we decide to depend on y.

Thus, trust also is a decision and an act: the act of trusting y as for t, of exposing ourselves to dependence. And it also becomes a specific relation between x and y. Trust in y (on the basis of the strength of our beliefs or feelings) can be sufficient or insufficient for our decision to delegate; depending on the perceived risk and possible harm.

The evaluation of y, on which the expectation is based, has two basic components: (i) y's ""competence"", efficacy, expertise: ""Is y really able and in condition to perform the expected 'action' and produce the desired outcome?"" (ii) y's ""willingness"": ""Will y actually perform the needed action?"", ""Is y predictable, reliable?"", ""Is y really willing to do the expected action?"". Clearly these two kinds of evaluation are rather independent: y can be very well disposed but not really skilled; or y can be really able but not credible.

Moreover, trust as judgment implies the 'internal attribution' to y of skills, qualities, 'virtues'; but it also imply some evaluation about the 'external' favorable or adverse contextual conditions for y's action. This is why not necessarily y's failure entails a decreasing of y's trustworthiness; it might not be his fault, but just due to 'external' interferences.

Trust in not only 'social', addressed towards other persons; it can be also towards some process or mechanism (I can trust or not a given elevator), and technology: how much effective and good is it as for its service; how much reliable and predictable; how much accessible and friendly;...? The opposite (but complementary) side of trust is the perceived risk and the perceived unreliability or unmanageability of the technology.

Trust dynamics is a very important and complex issue, with many aspects.

On the one side, there is the problem of trust transitivity: if x trust y, and y trust z, will x trust z? Not automatically: it depends on the specific object of those trust relations. If x trust y ""as good evaluator of t performances"" and y trust z as for t, then x will trust z as for t.

On the other side, there is the general problem of trust transfer:

(a) If x trust y as for t, will x trust y also for another task t'? It depends: do the qualities, skills, needed for successfully performing t overlapping with the quality needed for t'? If ""Yes"", the trustworthiness of y as for t is a good predictor of y's trustworthiness also for t'.

(b) If x trusts y as for t, will x trust z for t? It depends on the similarity between y and z: does z have the same qualities of y necessary for t?

Another important dynamics is trust as self-fulfilling prophecy. Trust is an expectation, but this expectation can affect the expected outcome, both its probability and quality. In fact, on the one side x's positive evaluation of y can increase y's commitment, effort, self-esteem, etc. and influence the quality of y's performance. On the other side, the fact that x is or becomes dependent on y can increase y's 'benevolence' or responsibility towards x. In general, it is well known that trust can induce trust and reciprocation, while diffidence elicits diffidence.

Finally, those dynamics can be taken into account even in x's evaluation and decision to trust: perhaps x's trust in y would not be sufficient, but x predicts that his act of trusting y will increase y's reliability and performance, thus trust becomes enough and x decides to trust/rely on y.

Trust technology. Trust is a very dialectic and dynamic phenomenon, and it should acquire the same level of quality with technology. There are two different (but not independent) perspectives on that:

(i) A technology really able to support social trust relations and to create new trust dimensions among humans.

(ii) A trustworthy technology deserving and eliciting trust disposition, which is not at all just a matter of ""security"", like engineers currently believes.",,
