Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Trustworthiness,"Trustworthiness is a matter of avoiding unfulfilled commitments, which requires both caution in incurring new commitments and diligence in fulfilling existing commitments.",Search,2019,1,Katherine  Hawley,How To Be Trustworthy,,10.1093/oso/9780198843900.003.0004,https://doi.org/10.1093/oso/9780198843900.003.0004,https://semanticscholar.org/paper/6083a97b5fc6e72b366fb1c2dd0e8349cd301045,,"This chapter explains the account of trustworthiness and untrustworthiness which fits the commitment account of trust and distrust. Trustworthiness is a matter of avoiding unfulfilled commitments, which requires both caution in incurring new commitments and diligence in fulfilling existing commitments. On this view, one can be trustworthy regardless of one’s motives for fulfilling one’s commitments. This is a negative account of trustworthiness, which means that one can be trustworthy whilst avoiding commitments as far as possible. In practice, through friendship, work and other social engagements we take on meta-commitments—commitments to incur future commitments. These can make it a matter of trustworthiness to take on certain new commitments. Untrustworthiness can arise from insincerity or bad intentions, but it can also arise from enthusiasm and becoming over-committed. A trustworthy person must not allow her commitments to outstrip her competence.",,
Trustworthiness,Trustworthiness is an epistemic desideratum.,Search,2008,130,Catherine Z. Elgin,,,10.1080/05568640809485227,https://doi.org/10.1080/05568640809485227,https://semanticscholar.org/paper/a777c01c67d56793abe6406549dbf3f4ac2003c1,,"Abstract I argue that trustworthiness is an epistemic desideratum. It does not reduce to justified or reliable true belief, but figures in the reason why justified or reliable true beliefs are often valuable. Such beliefs can be precarious. If a belief's being justified requires that the evidence be just as we take it to be, then if we are off even by a little, the belief is unwarranted. Similarly for reliability. Although it satisfies the definition of knowledge, such a belief is not trustworthy. We ought not use it as a basis for inference or action and ought not give others to believe it. The trustworthiness of a belief, I urge, depends on its being backed by reasons—considerations that other members of the appropriate epistemic community cannot reasonably reject. Trustworthiness is intersubjective. It both depends on and contributes to the evolving cognitive values of an epistemic community.",,
Trustworthiness*,B is trustworthy with A if she is competent with the domain and would take A's counting on her as a reason to act.,Search,2012,39,Karen  Jones,Ethics,,10.1086/667838,https://doi.org/10.1086/667838,https://semanticscholar.org/paper/b6351a82a769a94b73cdf7e1d86bd37d84536943,,"I present and defend an account of three-place trustworthiness according to which B is trustworthy with respect to A in domain of interaction D, if and only if she is competent with respect to that domain, and she would take the fact that A is counting on her, were A to do so in this domain, to be a compelling reason for acting as counted on. This is not the whole story of trustworthiness, however, for we want those we can count on to identify themselves so that we can place our trust wisely.",,
Trustworthiness and Economic Performance,Intrinsically trustworthy agents never cheat.,Search,2010,10,"Janice Boucher Breuer, John  McDermott",,,10.2139/ssrn.1314844,https://doi.org/10.2139/ssrn.1314844,https://semanticscholar.org/paper/6027e995bf2a790d6e4f917957ff60124fe80146,http://mpra.ub.uni-muenchen.de/16777/1/MPRA_paper_16777.pdf,Intrinsically trustworthy agents never cheat. A society's willingness to trust and the quality of its institutions have their origins in the intrinsic trustworthiness of its citizens. Trustworthiness is the basis for maximizing output in economic exchange and in explaining differences in standards of living around the world. We measure intrinsic trustworthiness with a question from the World Values Survey and estimate its effect using a sample of 60 countries. We find that trustworthiness is important for output per capita and that the effect of trust is likely to come from trustworthiness.,,
Trustworthiness and trust: influences and implications,"Trustworthiness impacts both the cognitive and affecting dimensions of trust, with the impact being greatest on cognitive trust.",Search,2014,109,"Harjit  Sekhon, Christine  Ennew, Husni  Kharouf, James F. Devlin",,,10.1080/0267257X.2013.842609,https://doi.org/10.1080/0267257X.2013.842609,https://semanticscholar.org/paper/ac383f2d7029896ecd9d1d2575efc94ea723c0d8,,"Abstract This paper frames trustworthiness as the key upstream construct of trust and recognises that trust operates at two levels in services relationships, with a number of key drivers that are mediated by trustworthiness. Our findings are supported by survey data from customers of UK financial services, with the data points captured over a number of years which allow for fluctuations in trust level. Empirically we find that trustworthiness impacts both the cognitive and affecting dimensions of trust, with the impact being greatest on cognitive trust. As a result of our findings it is possible for practitioner to implement policies to not only build trust but also deal with issues where there is a need to rebuild it, as in the case of our research setting.",,
Trust and Stakeholder Theory: Trustworthiness in the Organisation–Stakeholder Relationship,Organizational trustworthiness may make low-power stakeholders in organizations fairly treated.,Search,2010,196,"Michelle  Greenwood, Harry J. Buren III",,,10.1007/S10551-010-0414-4,https://doi.org/10.1007/S10551-010-0414-4,https://semanticscholar.org/paper/7efca319d03e872333b9a7d7e0c60c6527b02522,,"Trust is a fundamental aspect of the moral treatment of stakeholders within the organization–stakeholder relationship. Stakeholders trust the organization to return benefit or protections from harm commensurate with their contributions or stakes. However, in many situations, the firm holds greater power than the stakeholder and therefore cannot necessarily be trusted to return the aforementioned duty to the stakeholder. Stakeholders must therefore rely on the trustworthiness of the organization to fulfill obligations in accordance to Phillips’ principle of fairness (Business Ethics Quarterly7(1), 1997, 51–66), particularly where low-power stakeholders may not be fully consenting (Van Buren III, Business Ethics Quarterly11(3), 2001, 481–499). The construct of organizational trustworthiness developed herewith is presented as a possible solution to the problem of unfairness in organization–stakeholder relations. While organizational trustworthiness does not create an ethical obligation where none existed before, stakeholders who lack power will likely be treated fairly when organizational trustworthiness is present.",,
Trustworthiness by Default,An agent's lattice of degrees of trustworthiness can be applied to the problem of forming the right opinion.,Search,2005,8,"Johan W. Klüwer, Arild  Waaler",CLIMA,,10.1007/11750734_6,https://doi.org/10.1007/11750734_6,https://semanticscholar.org/paper/7055588833212a8eae40da1581b130ac495a2cf6,http://clima.deis.unibo.it/papers/24-kluwer.pdf,"We present a framework for reasoning about information sources, with application to conflict resolution and belief formation at various degrees of reliability. On the basis of an assignment of relative trustworthiness to sets of information sources, a lattice of degrees of trustworthiness is constructed; from this, a priority structure is derived and applied to the problem of forming the right opinion. Consolidated with an unquestioned knowledge base, this provides an unambiguous account of what an agent should believe, conditionally on which information sources are trusted. Applications in multi-agent doxastic logic are sketched.",,
Trustworthiness criteria for supporting users to assess the credibility of web information,Web users need credibility criteria and tools to help them assess the trustworthiness of Web information.,Search,2013,21,"Jarutas  Pattanaphanchai, Kieron  O'Hara, Wendy  Hall",WWW '13 Companion,,10.1145/2487788.2488132,https://doi.org/10.1145/2487788.2488132,https://semanticscholar.org/paper/9adf6b120bcb40e317160baed50cbbdb791931af,,"Assessing the quality of information on the Web is a challenging issue for at least two reasons. First, as a decentralized data publishing platform in which anyone can share nearly anything, the Web has no inherent quality control mechanisms to ensure that content published is valid, legitimate, or even just interesting. Second, when assessing the trustworthiness of web pages, users tend to base their judgments upon descriptive criteria such as the visual presentation of the website rather than more robust normative criteria such as the author's reputation and the source's review process. As a result, Web users are liable to make incorrect assessments, particularly when making quick judgments on a large scale. Therefore, Web users need credibility criteria and tools to help them assess the trustworthiness of Web information in order to place trust in it. In this paper, we investigate the criteria that can be used to collect supportive data about a piece of information in order to improve a person's ability to quickly judge the trustworthiness of the information. We propose the normative trustworthiness criteria namely, authority, currency, accuracy and relevance which can be used to support users' assessments of the trustworthiness of Web information. In addition, we validate these criteria using an expert panel. The results show that the proposed criteria are helpful. Moreover, we obtain weighting scores for criteria which can be used to calculate the trustworthiness of information and suggest a piece of information that is more likely to be trustworthy to Web users.",,Review
Trustworthiness,"Leaders who can admit mistakes, acknowledge weakness, applaud strength, and help each other will be capable of building trust.",Search,2002,,Karl  Rihaczek,Datenschutz und Datensicherheit,,10.4018/978-1-7998-8950-2.ch004,https://doi.org/10.4018/978-1-7998-8950-2.ch004,https://semanticscholar.org/paper/ce12be690c737e7aa12884deadba60f6b613f535,,"We can use trustworthiness and trust interchangeably because they both relate to the importance of LMX. Trustworthiness, then, is the quality of a person, or a thing, that inspires reliability. The existence of trustworthiness is shown through qualities like being respectful, honest, consistent, positive, and selfless. Leaders who can admit mistakes, acknowledge weakness, applaud strength, and help each other, and who can promote those qualities in the workforce, will be capable of building trust. Mutual trust is important, and everyone has a lot at stake with trust issues because of the inherent risks. Those risks are about putting one's faith or a pending decision in the hands of someone in whom you have not yet developed confidence in, or in whom there are limits to that confidence. Leaders who follow telework policies developed in response to COVID-19 must build trust with subordinates and superiors alike. Trust can then grow as emotions are shared, real understanding developed, and core issues are addressed professionally.",,
"Trustworthiness, Governance, and Wealth Creation","Trustworthiness is a source of competitive advantage, organizational governance, and wealth creation.",Search,2010,52,"Cam  Caldwell, Mark H. Hansen",,,10.1007/S10551-010-0503-4,https://doi.org/10.1007/S10551-010-0503-4,https://semanticscholar.org/paper/672c2c2b4a7a509fd791f44ef6d5030aae238559,,"Although trustworthiness has been described as a source of competitive advantage, its value extends to organizational governance and wealth creation. We identify the importance of the commitment–compliance continuum in the decision to trust and note that trustworthiness is a subjective perception viewed through each person’s mediating lens. That lens and each person’s interpretation of the social contract impact one’s commitment to cooperate. We suggest five propositions that integrate trustworthiness, governance, and wealth creation.",,
