Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Trustworthy Laboratory Automation,"Sustainability, trust, and authenticity can be ensured in laboratory automation by an automated digital signing process.",Search,2014,2,"Jan  Potthoff, Dominic  Lütjohann, Nicole  Jung",DBKDA 2014,,,,https://semanticscholar.org/paper/905488d862f4dcf4020d728c84b33a0b2f182cc5,,"To ensure the quality of scientific data, the integrity and authenticity of the data has to be guaranteed. Due to the significance of the primary data, the integrity and authenticity of research data have to be ensured with their generation. Special measurement devices offer this possibility by an automated digital signing process. Unfortunately, these devices are rare. Therefore, a generic software application which is shown in this paper has been implemented. Furthermore, the solution has been adjusted to an existing laboratory automation system which is depicted as well. The combination of a new, web-based Laboratory Information and Management System (LIMS) with a new protocol for an authentication of electronic data shows that the establishment of an automated collection of secure data can be realized even without disturbing the researcher. Keywords-integrity and authenticity; sustainability; trustworthy data generation; data management",,
Designing Trustworthy Automation,Safety-critical domains require appropriate calibration of operator trust in automation.,Search,2015,1,Arathi  Sethumadhavan,,,10.1177/1064804615609923,https://doi.org/10.1177/1064804615609923,https://semanticscholar.org/paper/a704b808e1d8db9ea36400f73f576bb1c73ed7a4,,"From self-learning thermostats to agricultural vehicles to baggagescreening systems, automation is becoming an integral part of modern life. In safety-critical domains, automation offers incredible benefits by improving the accuracy of complex tasks. Because automation failures are inevitable, appropriate calibration of operator trust in automation is integral for the optimal performance of human– automation teams. Trust in automation is affected by several factors, such as automation reliability, operator workload and selfconfidence, task difficulty and novelty, consequences of automation misses, and automation display format and content. Trust is therefore a multidimensional concept. So what can be done to appropriately calibrate operator trust level on automation?",,
Trust in Automation A Literature Review,Increasingly complex autonomous systems require the human operator to appropriately calibrate their trust in the automation.,Search,2018,7,"Bronwyn  French, Andreas  Duenser, Andrew  Heathcote",,,,,https://semanticscholar.org/paper/92f07d3d1356307decb6e97382ad884d0f62668d,,"Increasingly complex autonomous systems require the human operator to appropriately calibrate their trust in the automation in order to achieve performance and safety goals. Although humanautomation trust has been shown to be similar in many respects to human-human trust, precisely defining and measuring trust in automation has proved to be one of the greatest challenges facing research in this area. This report reviews literature pertaining to trust in automated systems to provide an integrated summary of the major theoretical and empirical work in the field to date.",,Review
Trust in Automation: Designing for Appropriate Reliance,People rely on automation appropriately if they trust in it.,Search,2004,1655,"John D. Lee, Katrina A. See",Hum. Factors,,10.1518/hfes.46.1.50.30392,https://doi.org/10.1518/hfes.46.1.50.30392,https://semanticscholar.org/paper/7dd86508438657ac7a704a5d952a2a4422808975,http://www.engineering.uiowa.edu/~csl/publications/pdf/leesee04.pdf,"Automation is often problematic because people fail to rely upon it appropriately. Because people respond to technology socially, trust influences reliance on automation. In particular, trust guides reliance when complexity and unanticipated situations make a complete understanding of the automation impractical. This review considers trust from the organizational, sociological, interpersonal, psychological, and neurological perspectives. It considers how the context, automation characteristics, and cognitive processes affect the appropriateness of trust. The context in which the automation is used influences automation performance and provides a goal-oriented perspective to assess automation characteristics along a dimension of attributional abstraction. These characteristics can influence trust through analytic, analogical, and affective processes. The challenges of extrapolating the concept of trust in people to trust in automation are discussed. A conceptual model integrates research regarding trust in automation and describes the dynamics of trust, the role of context, and the influence of display characteristics. Actual or potential applications of this research include improved designs of systems that require people to manage imperfect automation.",,Review
Trust in Automation: Designing for Appropriate Reliance,People rely on automation appropriately if they trust in it.,Search,2004,1361,"John D. Lee, Katrina A. See",,,10.1518/hfes.46.1.50_30392,https://doi.org/10.1518/hfes.46.1.50_30392,https://semanticscholar.org/paper/da7118242082ff14ee89cac4df938bc470c3bfd9,https://journals.sagepub.com/doi/pdf/10.1518/hfes.46.1.50_30392,"Automation is often problematic because people fail to rely upon it appropriately. Because people respond to technology socially, trust influences reliance on automation. In particular, trust guides reliance when complexity and unanticipated situations make a complete understanding of the automation impractical. This review considers trust from the organizational, sociological, interpersonal, psychological, and neurological perspectives. It considers how the context, automation characteristics, and cognitive processes affect the appropriateness of trust. The context in which the automation is used influences automation performance and provides a goal-oriented perspective to assess automation characteristics along a dimension of attributional abstraction. These characteristics can influence trust through analytic, analogical, and affective processes. The challenges of extrapolating the concept of trust in people to trust in automation are discussed. A conceptual model integrates research regarding trust in automation and describes the dynamics of trust, the role of context, and the influence of display characteristics. Actual or potential applications of this research include improved designs of systems that require people to manage imperfect automation.",,Review
Trust in Automation,"dispositional trust, situational trust, and learned trust.",Search,2015,751,"Kevin  Hoff, Masooda  Bashir",Human factors,,10.1177/0018720814547570,https://doi.org/10.1177/0018720814547570,https://semanticscholar.org/paper/95d66e12bb9116c3e98c7d422decd6b5c74769dc,,"Objective: We systematically review recent empirical research on factors that influence trust in automation to present a three-layered trust model that synthesizes existing knowledge. Background: Much of the existing research on factors that guide human-automation interaction is centered around trust, a variable that often determines the willingness of human operators to rely on automation. Studies have utilized a variety of different automated systems in diverse experimental paradigms to identify factors that impact operators’ trust. Method: We performed a systematic review of empirical research on trust in automation from January 2002 to June 2013. Papers were deemed eligible only if they reported the results of a human-subjects experiment in which humans interacted with an automated system in order to achieve a goal. Additionally, a relationship between trust (or a trust-related behavior) and another variable had to be measured. All together, 101 total papers, containing 127 eligible studies, were included in the review. Results: Our analysis revealed three layers of variability in human–automation trust (dispositional trust, situational trust, and learned trust), which we organize into a model. We propose design recommendations for creating trustworthy automation and identify environmental conditions that can affect the strength of the relationship between trust and reliance. Future research directions are also discussed for each layer of trust. Conclusion: Our three-layered trust model provides a new lens for conceptualizing the variability of trust in automation. Its structure can be applied to help guide future research and develop training interventions and design procedures that encourage appropriate trust.",,Systematic Review
Trust4App: Automating Trustworthiness Assessment of Mobile Applications,"Smartphones need to access and utilize potentially sensitive data, which can pose a serious threat to users' security and privacy.",Search,2018,6,"Sheikh Mahbub Habib, Nikolaos  Alexopoulos, Md Monirul Islam, Jens  Heider, Stephen  Marsh, Max  Mühlhäuser","2018 17th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/ 12th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE)",,10.1109/TrustCom/BigDataSE.2018.00029,https://doi.org/10.1109/TrustCom/BigDataSE.2018.00029,https://semanticscholar.org/paper/803c71fb7f234f3772aac69337e6f29d56247311,,"Smartphones have become ubiquitous in our everyday lives, providing diverse functionalities via millions of applications (apps) that are readily available. To achieve these functionalities, apps need to access and utilize potentially sensitive data, stored in the user's device. This can pose a serious threat to users' security and privacy, when considering malicious or underskilled developers. While application marketplaces, like Google Play store and Apple App store, provide factors like ratings, user reviews, and number of downloads to distinguish benign from risky apps, studies have shown that these metrics are not adequately effective. The security and privacy health of an application should also be considered to generate a more reliable and transparent trustworthiness score. In order to automate the trustworthiness assessment of mobile applications, we introduce the Trust4App framework, which not only considers the publicly available factors mentioned above, but also takes into account the Security and Privacy (S&P) health of an application. Additionally, it considers the S&P posture of a user, and provides an holistic personalized trustworthiness score. While existing automatic trustworthiness frameworks only consider trustworthiness indicators (e.g. permission usage, privacy leaks) individually, Trust4App is, to the best of our knowledge, the first framework to combine these indicators. We also implement a proof-of-concept realization of our framework and demonstrate that Trust4App provides a more comprehensive, intuitive and actionable trustworthiness assessment compared to existing approaches.",,Review
The role of trust in automation reliance,"Viewing an automated aid make errors decreases trust in the aid, unless an explanation is provided regarding why the aid might err.",Search,2003,783,"Mary T. Dzindolet, Scott A. Peterson, Regina A. Pomranky, Linda G. Pierce, Hall P. Beck",Int. J. Hum. Comput. Stud.,,10.1016/S1071-5819(03)00038-7,https://doi.org/10.1016/S1071-5819(03)00038-7,https://semanticscholar.org/paper/b0e89da3eb67767b63ca5c23c233238f70263ae7,,"A recent and dramatic increase in the use of automation has not yielded comparable improvements in performance. Researchers have found human operators often underutilize (disuse) and overly rely on (misuse) automated aids (Parasuraman and Riley, 1997). Three studies were performed with Cameron University students to explore the relationship among automation reliability, trust, and reliance. With the assistance of an automated decision aid, participants viewed slides of Fort Sill terrain and indicated the presence or absence of a camouflaged soldier. Results from the three studies indicate that trust is an important factor in understanding automation reliance decisions. Participants initially considered the automated decision aid trustworthy and reliable. After observing the automated aid make errors, participants distrusted even reliable aids, unless an explanation was provided regarding why the aid might err. Knowing why the aid might err increased trust in the decision aid and increased automation reliance, even when the trust was unwarranted. Our studies suggest a need for future research focused on understanding automation use, examining individual differences in automation reliance, and developing valid and reliable self-report measures of trust in automation.",,
Automata-based trustworthiness analysis method for business process,A business process definition method requires a dynamic semantics to enhance the trustworthiness of business processes.,Search,2011,,"Guangzhi  Dong, Junfei  Liu, Jian  Wang, Lanying  Song",2011 International Conference on E-Business and E-Government (ICEE),,10.1109/ICEBEG.2011.5886798,https://doi.org/10.1109/ICEBEG.2011.5886798,https://semanticscholar.org/paper/952084254357de6418c616acc979e625b95b965f,,"For enhancing the trustworthiness of business processes, a business process definition method is given and a kind of dynamic semantics is appointed to this business process definition. The dynamic semantics is expressed as a finite state automata. According to the dynamic semantics, algorithms are proposed to analyze the trustworthiness of the business processes.",,
Automated Trustworthiness Management for Database Software Components,Component trust management functions can monitor the trustworthy operation of components.,Search,2007,1,"Reijo  Savola, Jorma  Palo",2007 4th IEEE Consumer Communications and Networking Conference,,10.1109/CCNC.2007.242,https://doi.org/10.1109/CCNC.2007.242,https://semanticscholar.org/paper/59d06e83f326234d4ca4ca27f7656d79358e7984,,"Component-based software architectures are being used more and more often in industry, creating new kinds of dynamic business relationships between the integrators and their partners in developing the components. In this kind of business it is especially important to ensure that both the components and the co-operation partners are trustworthy. One method of component trust management is to include in the software architecture functions that take care of loading and updating the components, and monitor their trustworthy operation. We introduce a novel trust management framework for the middleware layer and demonstrate its functionality using embedded software components. We explain the functionality of our trust management system and demonstrate its application in managing software components and utilizing database services for both management of component properties and delivery of new components from trusted sources.",,
Trusting Automation: Designing for Responsivity and Resilience.,Automation responsivity and the ability to resolve conflicting goals may be more relevant than reliability and reliance for advancing system design.,Search,2021,8,"Erin K Chiou, John D Lee",Human factors,,10.1177/00187208211009995,https://doi.org/10.1177/00187208211009995,https://semanticscholar.org/paper/9f7511fb851d5cdafbfdf61de06acb09e3a4b2c7,,"OBJECTIVE

This paper reviews recent articles related to human trust in automation to guide research and design for increasingly capable automation in complex work environments.

BACKGROUND

Two recent trends-the development of increasingly capable automation and the flattening of organizational hierarchies-suggest a reframing of trust in automation is needed.

METHOD

Many publications related to human trust and human-automation interaction were integrated in this narrative literature review.

RESULTS

Much research has focused on calibrating human trust to promote appropriate reliance on automation. This approach neglects relational aspects of increasingly capable automation and system-level outcomes, such as cooperation and resilience. To address these limitations, we adopt a relational framing of trust based on the decision situation, semiotics, interaction sequence, and strategy. This relational framework stresses that the goal is not to maximize trust, or to even calibrate trust, but to support a process of trusting through automation responsivity.

CONCLUSION

This framing clarifies why future work on trust in automation should consider not just individual characteristics and how automation influences people, but also how people can influence automation and how interdependent interactions affect trusting automation. In these new technological and organizational contexts that shift human operators to co-operators of automation, automation responsivity and the ability to resolve conflicting goals may be more relevant than reliability and reliance for advancing system design.

APPLICATION

A conceptual model comprising four concepts-situation, semiotics, strategy, and sequence-can guide future trust research and design for automation responsivity and more resilient human-automation systems.",,Review
Automating the Evaluation of Trustworthiness,A potential trustor can use an implementation to evaluate the potential trustee's trustworthiness.,Search,2021,,"Marc  Sel, Chris J. Mitchell",TrustBus,,10.1007/978-3-030-86586-3_2,https://doi.org/10.1007/978-3-030-86586-3_2,https://semanticscholar.org/paper/89b871acca977719e6c49f8f7720af7edfef85f0,,"Digital services have a significant impact on the lives of many people and organisations. Trust influences decisions regarding potential service providers, and continues to do so once a service provider has been selected. There is no globally accepted model to describe trust in the context of digital services, nor to evaluate the trustworthiness of entities. We present a formal framework to partially fill this gap. It is based on four building blocks: a data model, rulebooks, trustworthiness evaluation functions and instance data. An implementation of this framework can be used by a potential trustor to evaluate the trustworthiness of a potential trustee.",,
