Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Assessing the Trustworthiness of Drivers,"Static analysis, static analysis, and dynamic taint analysis cannot help identify code and vulnerabilities.",Search,2012,3,"Shengzhi  Zhang, Peng  Liu",RAID,,10.1007/978-3-642-33338-5_3,https://doi.org/10.1007/978-3-642-33338-5_3,https://semanticscholar.org/paper/7f02b1e54db5827c762e50eaf546c8dbe77fabf5,https://s2.ist.psu.edu/paper/RAID12-shengzhi-final-version.pdf,"Drivers, especially third party drivers, could contain malicious code (e.g., logic bombs) or carefully designed-in vulnerabilities. Generally, it is extremely difficult for static analysis to identify these code and vulnerabilities. Without knowing the exact triggers that cause the execution/exploitation of these code/vulnerabilities, dynamic taint analysis cannot help either. In this paper, we propose a novel cross-brand comparison approach to assess the drivers in a honeypot or testing environment. Through hardware virtualization, we design and deploy diverse-drivers based replicas to compare the runtime behaviour of the drivers developed by different vendors. Whenever the malicious code is executed or vulnerability is exploited, our analysis can capture the evidence of malicious driver behaviour through comparison and difference telling. Evaluation shows that it can faithfully reveal various kernel integrity/confidentiality manipulation and resource starvation attacks launched by compromised drivers, thus to assess the trustworthiness of the evaluated drivers.",,
Drivers of trust and trustworthiness,"Norms play a role in trustworthiness, but they do not drive trust.",Search,2019,8,Jon  Reiersen,International Journal of Social Economics,,10.1108/IJSE-01-2018-0025,https://doi.org/10.1108/IJSE-01-2018-0025,https://semanticscholar.org/paper/da490af7021a58a98307a5acf224ed300a1b32e7,,"Purpose

The purpose of this paper is to contribute to the understanding of why people act trustworthily in anonymous non-repeated meetings where trustworthiness benefits the trustor and runs against the trustee’s material self-interest.

Design/methodology/approach

The paper uses a survey originally developed by Bicchieri et al. (2011). The survey makes it possible to explore whether trustworthiness has a normative element. Is there a norm of trustworthiness that inflicts punishment for disobedience?

Findings

The participants in the experiment strongly believe that most people will punish untrustworthy behavior, lending support to the idea that trustworthiness is norm driven. The data provide little evidence for a parallel norm of trust.

Originality/value

The theory of repeated games explains how trust can emerge among players in ongoing interactions. But why do people choose to trust others who they do not know in non-ongoing interactions? The results offer an explanation. When trustors are aware that trustworthiness is rooted in norms, they have reason to expect trustees to act trustworthily. Then, it makes sense to trust since trustors will benefit from their trusting.",,
What is trustworthiness and what drives it?,Vulnerability-responsiveness is an important determinant of trustworthiness even when the vulnerability of the trustor does not come with a gift for the trustee.,Search,2016,50,"James C. Cox, Rudolf  Kerschbamer, Daniel  Neururer",Games Econ. Behav.,,10.1016/j.geb.2016.05.008,https://doi.org/10.1016/j.geb.2016.05.008,https://semanticscholar.org/paper/28f741f35ae00f76cdea4dd75991e16d44b8f78b,http://excen.gsu.edu/workingpapers/GSU_EXCEN_WP_2014-06.pdf,"This paper reports the results of experiments designed to isolate the impact of various combinations of the following motives on trustworthiness: (i) unconditional other-regarding preferences -- like altruism, inequality aversion, quasi-maximin, etc. ; (ii) deal-responsiveness -- reacting to actions that allow for a mutual improvement by adopting behavior that implies a mutual improvement; (iii) gift-responsiveness -- reacting to choices that allow the trustee to obtain an improvement by adopting actions that benefit the trustor; and (iv) vulnerability-responsiveness -- reacting to the vulnerability of the trustor by adopting actions that do not hurt the trustor. Our results indicate that -- besides unconditional other-regarding preferences -- vulnerability-responsiveness is an important determinant of trustworthiness even in cases where the vulnerability of the trustor does not come together with a gift to the trustee. Motivated by our empirical findings we provide formal definitions of trust and trustworthiness based on revealed willingness to accept vulnerability and the response to it.",,
Are the Drivers and Role of Online Trust the Same for All Web Sites and Consumers? A Large-Scale Exploratory Empirical Study,The influences of the determinants of online trust are different across site categories and consumers.,Search,2005,1024,"Yakov  Bart, Venkatesh  Shankar, Fareena  Sultan, Glen L. Urban",,,10.1509/jmkg.2005.69.4.133,https://doi.org/10.1509/jmkg.2005.69.4.133,https://semanticscholar.org/paper/23987f45c20a05fc2aed8502ad4cad66a06b4070,,"The authors develop a conceptual model that links Web site and consumer characteristics, online trust, and behavioral intent. They estimate this model on data from 6831 consumers across 25 sites from eight Web site categories, using structural equation analysis with a priori and post hoc segmentation. The results show that the influences of the determinants of online trust are different across site categories and consumers. Privacy and order fulfillment are the most influential determinants of trust for sites in which both information risk and involvement are high, such as travel sites. Navigation is strongest for information-intensive sites, such as sports, portal, and community sites. Brand strength is critical for high-involvement categories, such as automobile and financial services sites. Online trust partially mediates the relationships between Web site and consumer characteristics and behavioral intent, and this mediation is strongest (weakest) for sites oriented toward infrequently (frequently) purchased, high-involvement items, such as computers (financial services).",,
Trustworthiness and trust: influences and implications,"Trustworthiness impacts both the cognitive and affecting dimensions of trust, with the impact being greatest on cognitive trust.",Search,2014,109,"Harjit  Sekhon, Christine  Ennew, Husni  Kharouf, James F. Devlin",,,10.1080/0267257X.2013.842609,https://doi.org/10.1080/0267257X.2013.842609,https://semanticscholar.org/paper/ac383f2d7029896ecd9d1d2575efc94ea723c0d8,,"Abstract This paper frames trustworthiness as the key upstream construct of trust and recognises that trust operates at two levels in services relationships, with a number of key drivers that are mediated by trustworthiness. Our findings are supported by survey data from customers of UK financial services, with the data points captured over a number of years which allow for fluctuations in trust level. Empirically we find that trustworthiness impacts both the cognitive and affecting dimensions of trust, with the impact being greatest on cognitive trust. As a result of our findings it is possible for practitioner to implement policies to not only build trust but also deal with issues where there is a need to rebuild it, as in the case of our research setting.",,
Managing images of trustworthiness in organizations,Perceived trustworthiness contributes to a willingness to submit to the actions of others.,Search,2004,49,Kimberly D. Elsbach,,,,,https://semanticscholar.org/paper/30862b8cd95369f737447b6981eb8c618f99d605,,"Author(s): Elsbach, KD | Abstract: To possess an image of interpersonal trustworthiness is to be perceived by others as displaying (now and in the future) competence, benevolence, and integrity in one's behaviors and beliefs (Mayer, Davis, and Schoorman 1995; Mayer and Davis 1999). In this definition, interpersonal trustworthiness is defined as a perception of trustworthiness from and about social interactions. In a corporate context, competence refers to the abilities and skills that allow a manager to have power and influence in the organization, benevolence refers to a manager's desire to do good on behalf of organizational members, and integrity refers to a manager's adherence to principles or ideals that an organization's members find acceptable. This definition is based on recent frameworks which define trust as ""a willingness to be vulnerable to the actions of another party."" (Mayer and Davis 1999, 124). That is, where trust is defined as a willingness or intent to submit to the actions of another, trustworthiness is defined as a perception that a trusted person, a trustee, will exhibit specific behaviors that commonly engender a willingness to submit to that person's actions. These definitions of trust and trustworthiness are supported by recent research that identifies both motivation and ability as bases of trust in organizations (Mishra 1996; Brockner and Siegel 1996), and uses the components of intention and belief to define trust (McKnight, Cummings, and Chervany 1998).1 Such definitions seem particularly appropriate in managerial settings, where trust often means submitting to the direction of leaders with little knowledge about the consequences of those directions. In such risky or ambiguous situations, perceived trustworthiness has been shown to be an important factor in engendering people's willingness to subject themselves to the actions of others (Kramer and Tyler 1996). For example, F. David Schoorman, Roger C. Mayer, and James H. Davis (1996) found that perceived trustworthiness in a staff member contributed significantly to a veterinarian's willingness to delegate to that staff member risky tasks such as administering anesthesia. Similarly, in a fourteenmonth field study of management performance appraisal systems, Mayer and Davis (1999) found that enhancing perceived benevolence, integrity, and competence by means of implementing a new performance appraisal system increased employees ""willingness to let top management have control over"" employee and organizational well-being. Copyright © 2004 by Russell Sage Foundation. All rights reserved.",,
"The Role of Trustworthiness in Reducing Transaction Costs and Improving Performance: Empirical Evidence from the United States, Japan, and Korea",The least trusted automaker spends significantly more time on contracting and haggling compared to the most trusted automaker.,Search,2003,1412,"Jeffrey H. Dyer, Wujin  Chu",,,10.1287/ORSC.14.1.57.12806,https://doi.org/10.1287/ORSC.14.1.57.12806,https://semanticscholar.org/paper/62cdcc84a59d22af3f045679e9a79cef43fc28d1,,"In this paper we investigate the relationship between supplier trust in the buyer and transaction costs and information sharing in a sample of 344 supplier-automaker exchange relationships in the United States, Japan, and Korea. Our findings indicate that perceived trustworthiness reduces transaction costs and is correlated with greater information sharing in supplier-buyer relationships. Moreover, the findings suggest that the value created for transactors, in terms of lower transaction costs, may be substantial. In particular, we found that the least-trusted automaker spent significantly more of its face-to-face interaction time with suppliers on contracting and haggling when compared to the most trusted automaker. This translated into procurement (transaction) costs that were five times higher for the least trusted automaker. Finally, we argue that trust is unique as a governance mechanism because it not only minimizes transaction costs, but also has a mutually causal relationship with information sharing, which also creates value in the exchange relationship. Other governance mechanisms (e.g., contracts, financial hostages) are necessary costs incurred to prevent opportunistic behavior, but do not create value beyond transaction cost minimization. Our findings provide empirical evidence that trustworthiness lowers transaction costs and may be an important source of competitive advantage.",,
Trustworthiness criteria for supporting users to assess the credibility of web information,"The normative trustworthiness criteria, authority, currency, accuracy, and relevance can be used to support users' assessments of the trustworthiness of Web information.",Search,2013,21,"Jarutas  Pattanaphanchai, Kieron  O'Hara, Wendy  Hall",WWW '13 Companion,,10.1145/2487788.2488132,https://doi.org/10.1145/2487788.2488132,https://semanticscholar.org/paper/9adf6b120bcb40e317160baed50cbbdb791931af,,"Assessing the quality of information on the Web is a challenging issue for at least two reasons. First, as a decentralized data publishing platform in which anyone can share nearly anything, the Web has no inherent quality control mechanisms to ensure that content published is valid, legitimate, or even just interesting. Second, when assessing the trustworthiness of web pages, users tend to base their judgments upon descriptive criteria such as the visual presentation of the website rather than more robust normative criteria such as the author's reputation and the source's review process. As a result, Web users are liable to make incorrect assessments, particularly when making quick judgments on a large scale. Therefore, Web users need credibility criteria and tools to help them assess the trustworthiness of Web information in order to place trust in it. In this paper, we investigate the criteria that can be used to collect supportive data about a piece of information in order to improve a person's ability to quickly judge the trustworthiness of the information. We propose the normative trustworthiness criteria namely, authority, currency, accuracy and relevance which can be used to support users' assessments of the trustworthiness of Web information. In addition, we validate these criteria using an expert panel. The results show that the proposed criteria are helpful. Moreover, we obtain weighting scores for criteria which can be used to calculate the trustworthiness of information and suggest a piece of information that is more likely to be trustworthy to Web users.",,Review
Trustworthiness Attributes and Metrics for Engineering Trusted Internet-Based Software Systems,The notion of trustworthiness is subject to individual interpretation and preference.,Search,2013,35,"Nazila Gol Mohammadi, Sachar  Paulus, Mohamed  Bishr, Andreas  Metzger, Holger  Könnecke, Sandro  Hartenstein, Thorsten  Weyer, Klaus  Pohl",CLOSER,,10.1007/978-3-319-11561-0_2,https://doi.org/10.1007/978-3-319-11561-0_2,https://semanticscholar.org/paper/8458fc0ecbc37aa30756cbc4c9d4d708475ccf58,,"Trustworthiness of Internet-based software systems, apps, services and platform is a key success factor for their use and acceptance by organizations and end-users. The notion of trustworthiness, though, is subject to individual interpretation and preference, e.g., organizations require confidence about how their business critical data is handled whereas end-users may be more concerned about usability. As one main contribution, we present an extensive list of software quality attributes that contribute to trustworthiness. Those software quality attributes have been identified by a systematic review of the research literature and by analyzing two real-world use cases. As a second contribution, we sketch an approach for systematically deriving metrics to measure the trustworthiness of software system. Our work thereby contributes to better understanding which software quality attributes should be considered and assured when engineering trustworthy Internet-based software systems.",,Systematic Review
Trustworthiness and Economic Performance,Intrinsically trustworthy agents never cheat and are the basis for maximizing output.,Search,2010,10,"Janice Boucher Breuer, John  McDermott",,,10.2139/ssrn.1314844,https://doi.org/10.2139/ssrn.1314844,https://semanticscholar.org/paper/6027e995bf2a790d6e4f917957ff60124fe80146,http://mpra.ub.uni-muenchen.de/16777/1/MPRA_paper_16777.pdf,Intrinsically trustworthy agents never cheat. A society's willingness to trust and the quality of its institutions have their origins in the intrinsic trustworthiness of its citizens. Trustworthiness is the basis for maximizing output in economic exchange and in explaining differences in standards of living around the world. We measure intrinsic trustworthiness with a question from the World Values Survey and estimate its effect using a sample of 60 countries. We find that trustworthiness is important for output per capita and that the effect of trust is likely to come from trustworthiness.,,
