Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Factors of trust that influence trust worthiness in peer-to-peer (P2P) based e-commerce,Trust between two interacting peers involved in an electronic transaction is one of the problems P2P systems suffer from.,Search,2004,7,"Farookh Khadeer Hussain, Elizabeth  Chang, Tharam S. Dillon",,,,,https://semanticscholar.org/paper/49f6bd371f7dbd663fa6a5da0c3b4235190cec62,,"Peer-to-Peer Systems are becoming popular. They are widely regarded as the nextgeneration of the Internet. As a result, electronic commerce will be carried out over the peer-to-peer systems in the future rather than in a client-server environment. These Peer-to-Peer (P2P) systems suffer from innumerable problems. Trust between two interacting peers involved in an electronic transaction is one of them. In this paper, we propose the factors that can influence the trustworthiness assigned to the trusted peer. Furthermore we catalogue these factors into three classes and discuss the relationship between these factors.",,
Trustworthiness criteria for supporting users to assess the credibility of web information,"Normative criteria such as authority, currency, accuracy, and relevance can be used to assess the trustworthiness of Web information.",Search,2013,21,"Jarutas  Pattanaphanchai, Kieron  O'Hara, Wendy  Hall",WWW '13 Companion,,10.1145/2487788.2488132,https://doi.org/10.1145/2487788.2488132,https://semanticscholar.org/paper/9adf6b120bcb40e317160baed50cbbdb791931af,,"Assessing the quality of information on the Web is a challenging issue for at least two reasons. First, as a decentralized data publishing platform in which anyone can share nearly anything, the Web has no inherent quality control mechanisms to ensure that content published is valid, legitimate, or even just interesting. Second, when assessing the trustworthiness of web pages, users tend to base their judgments upon descriptive criteria such as the visual presentation of the website rather than more robust normative criteria such as the author's reputation and the source's review process. As a result, Web users are liable to make incorrect assessments, particularly when making quick judgments on a large scale. Therefore, Web users need credibility criteria and tools to help them assess the trustworthiness of Web information in order to place trust in it. In this paper, we investigate the criteria that can be used to collect supportive data about a piece of information in order to improve a person's ability to quickly judge the trustworthiness of the information. We propose the normative trustworthiness criteria namely, authority, currency, accuracy and relevance which can be used to support users' assessments of the trustworthiness of Web information. In addition, we validate these criteria using an expert panel. The results show that the proposed criteria are helpful. Moreover, we obtain weighting scores for criteria which can be used to calculate the trustworthiness of information and suggest a piece of information that is more likely to be trustworthy to Web users.",,Review
Trustworthiness Attributes and Metrics for Engineering Trusted Internet-Based Software Systems,"Trustworthiness, though, is subject to individual interpretation and preference.",Search,2013,35,"Nazila Gol Mohammadi, Sachar  Paulus, Mohamed  Bishr, Andreas  Metzger, Holger  Könnecke, Sandro  Hartenstein, Thorsten  Weyer, Klaus  Pohl",CLOSER,,10.1007/978-3-319-11561-0_2,https://doi.org/10.1007/978-3-319-11561-0_2,https://semanticscholar.org/paper/8458fc0ecbc37aa30756cbc4c9d4d708475ccf58,,"Trustworthiness of Internet-based software systems, apps, services and platform is a key success factor for their use and acceptance by organizations and end-users. The notion of trustworthiness, though, is subject to individual interpretation and preference, e.g., organizations require confidence about how their business critical data is handled whereas end-users may be more concerned about usability. As one main contribution, we present an extensive list of software quality attributes that contribute to trustworthiness. Those software quality attributes have been identified by a systematic review of the research literature and by analyzing two real-world use cases. As a second contribution, we sketch an approach for systematically deriving metrics to measure the trustworthiness of software system. Our work thereby contributes to better understanding which software quality attributes should be considered and assured when engineering trustworthy Internet-based software systems.",,Systematic Review
What is trustworthiness and what drives it?,Vulnerability-responsiveness is an important determinant of trustworthiness even when the vulnerability of the trustor does not come with a gift for the trustee.,Search,2016,50,"James C. Cox, Rudolf  Kerschbamer, Daniel  Neururer",Games Econ. Behav.,,10.1016/j.geb.2016.05.008,https://doi.org/10.1016/j.geb.2016.05.008,https://semanticscholar.org/paper/28f741f35ae00f76cdea4dd75991e16d44b8f78b,http://excen.gsu.edu/workingpapers/GSU_EXCEN_WP_2014-06.pdf,"This paper reports the results of experiments designed to isolate the impact of various combinations of the following motives on trustworthiness: (i) unconditional other-regarding preferences -- like altruism, inequality aversion, quasi-maximin, etc. ; (ii) deal-responsiveness -- reacting to actions that allow for a mutual improvement by adopting behavior that implies a mutual improvement; (iii) gift-responsiveness -- reacting to choices that allow the trustee to obtain an improvement by adopting actions that benefit the trustor; and (iv) vulnerability-responsiveness -- reacting to the vulnerability of the trustor by adopting actions that do not hurt the trustor. Our results indicate that -- besides unconditional other-regarding preferences -- vulnerability-responsiveness is an important determinant of trustworthiness even in cases where the vulnerability of the trustor does not come together with a gift to the trustee. Motivated by our empirical findings we provide formal definitions of trust and trustworthiness based on revealed willingness to accept vulnerability and the response to it.",,
"Trusting and trustworthiness: What are they, how to measure them, and what affects them","The amount sent in the trust game is a good, albeit partial and overreaching, measure of one facet of trust.",Search,2010,224,"Avner  Ben-Ner, Freyr  Halldorsson",,,10.1016/J.JOEP.2009.10.001,https://doi.org/10.1016/J.JOEP.2009.10.001,https://semanticscholar.org/paper/3144ee4b3fabbd1ba58b4149bbc0201b7e99f892,,"The study examines trust by investigating potential determinants (factors determined at birth and childhood) and correlates (various views and attitudes) of trusting and trustworthiness. We examine behavioral and survey measures and conclude that the amount sent in the trust game is a good, albeit partial and overreaching, measure of one facet of trust. Common survey measures of trusting capture well other facets of trusting. The proportion sent back in the trust game represents well trustworthiness in the specific context in which it was developed, an investment situation, but falls short in capturing other facets of trustworthiness. The Machiavellian scale appears to be a weak measure of any facets of trustworthiness. Gender is the primary determinant of investment-related facet of trusting, and personality is a strong determinant of other facets. One personality trait - agreeableness - explains investment-related trustworthiness.",,
Trustworthiness and trust: influences and implications,"Trust operates at two levels in services relationships, with a number of key drivers that are mediated by trustworthiness.",Search,2014,109,"Harjit  Sekhon, Christine  Ennew, Husni  Kharouf, James F. Devlin",,,10.1080/0267257X.2013.842609,https://doi.org/10.1080/0267257X.2013.842609,https://semanticscholar.org/paper/ac383f2d7029896ecd9d1d2575efc94ea723c0d8,,"Abstract This paper frames trustworthiness as the key upstream construct of trust and recognises that trust operates at two levels in services relationships, with a number of key drivers that are mediated by trustworthiness. Our findings are supported by survey data from customers of UK financial services, with the data points captured over a number of years which allow for fluctuations in trust level. Empirically we find that trustworthiness impacts both the cognitive and affecting dimensions of trust, with the impact being greatest on cognitive trust. As a result of our findings it is possible for practitioner to implement policies to not only build trust but also deal with issues where there is a need to rebuild it, as in the case of our research setting.",,
Correlates of trustworthiness for celebrities,There is a strong relationship between trust and likeableness.,Search,1978,84,"Hershey H. Friedman, Michael J. Santeramo, Anthony  Traina",,,10.1007/BF02732313,https://doi.org/10.1007/BF02732313,https://semanticscholar.org/paper/9cd251ade667c31d5b13a580bcd93a6bfe2cf985,,"The widespread use of celebrities as product endorsers and company spokesmen stimulated the authors to investigate what factors underlie the credibility of these endorsers. Two studies were conducted in order to determine those attributes of a celebrity which correlate most highly with trust. In Study I, students rated 33 celebrities, who were not product endorsers, on six attributes: awareness, trust, likeableness, similarity, life style, and personal attractiveness. In Study II, members of a civic group rated 20 celebrities, who were endorsing products, on the above-mentioned six attributes plus two additional ones, talent and voting intention. Both studies demonstrated the strong relationship between trust and likeableness.",,
Perceived trustworthiness of knowledge sources: the moderating impact of relationship length.,Relationship length does not directly affect perceived trustworthiness but moderates the association between perceived trustworthiness and the basis on which people decide to trust each other.,Search,2006,292,"Daniel Z Levin, Ellen M Whitener, Rob  Cross",The Journal of applied psychology,,10.1037/0021-9010.91.5.1163,https://doi.org/10.1037/0021-9010.91.5.1163,https://semanticscholar.org/paper/aaccdac1dee04a08c94b8297ee0ecb70336ad638,http://www.levin.rutgers.edu/research/trust-bases-paper.pdf,"Prior meta-analytic evidence has indicated no association between relationship length and perceived trustworthiness. Viewing trustors as information processors, the authors propose a model in which relationship length, although having no direct effect on perceived trustworthiness, moderates the association between perceived trustworthiness and the basis on which people decide to trust each other. Specifically, as trustors learn about others, they base their trust on different kinds of information (demographic similarity, trustworthy behavior, and shared perspective). Hierarchical multiple regression analyses of a field survey of supervisors and subordinates from 3 companies (N = 88) provide evidence consistent with this prediction: Perceived trustworthiness is associated with demographic similarity in newer relationships, with trustworthy behavior in relationships that are neither brand new nor old but in-between, and with shared perspective in older relationships.",,
Alternative Models of Trustworthiness of Service Providers,The various dimensions of trustworthiness are viewable as levers of improving a bank's trustworthiness in the minds of its current and potential customers.,Search,2010,14,"Sanjit Kumar Roy, Vaibhav  Shekhar",,,10.1080/08911762.2010.521111,https://doi.org/10.1080/08911762.2010.521111,https://semanticscholar.org/paper/4f980ef1e853df063f4dd444b19c593963927dee,,"ABSTRACT The structure and dimensionality of the trustworthiness construct are important theoretical and practical issues. Building on the work of Ennew and Sekhon and based on a sample of 625 respondents, this research identifies a six-factor structure of trustworthiness of service providers in the retail banking sector: customer orientation, integrity and honesty, communication and similarity, shared values, expertise, and ability and consistency. After assessing the reliability and validity of this factor structure, the study also compares the five alternative models of trustworthiness. Results indicated that the trustworthiness model with the six first-order factors has the best model fit. Higher order confirmatory factor analysis was used to identify three second-order trustworthiness factors, which are competency, openness, and benevolence. The various dimensions of trustworthiness are viewable as levers of improving a bank's trustworthiness in the minds of its current and potential customers.",,
Managing images of trustworthiness in organizations,Perceived trustworthiness contributes to a willingness to submit to the actions of others.,Search,2004,49,Kimberly D. Elsbach,,,,,https://semanticscholar.org/paper/30862b8cd95369f737447b6981eb8c618f99d605,,"Author(s): Elsbach, KD | Abstract: To possess an image of interpersonal trustworthiness is to be perceived by others as displaying (now and in the future) competence, benevolence, and integrity in one's behaviors and beliefs (Mayer, Davis, and Schoorman 1995; Mayer and Davis 1999). In this definition, interpersonal trustworthiness is defined as a perception of trustworthiness from and about social interactions. In a corporate context, competence refers to the abilities and skills that allow a manager to have power and influence in the organization, benevolence refers to a manager's desire to do good on behalf of organizational members, and integrity refers to a manager's adherence to principles or ideals that an organization's members find acceptable. This definition is based on recent frameworks which define trust as ""a willingness to be vulnerable to the actions of another party."" (Mayer and Davis 1999, 124). That is, where trust is defined as a willingness or intent to submit to the actions of another, trustworthiness is defined as a perception that a trusted person, a trustee, will exhibit specific behaviors that commonly engender a willingness to submit to that person's actions. These definitions of trust and trustworthiness are supported by recent research that identifies both motivation and ability as bases of trust in organizations (Mishra 1996; Brockner and Siegel 1996), and uses the components of intention and belief to define trust (McKnight, Cummings, and Chervany 1998).1 Such definitions seem particularly appropriate in managerial settings, where trust often means submitting to the direction of leaders with little knowledge about the consequences of those directions. In such risky or ambiguous situations, perceived trustworthiness has been shown to be an important factor in engendering people's willingness to subject themselves to the actions of others (Kramer and Tyler 1996). For example, F. David Schoorman, Roger C. Mayer, and James H. Davis (1996) found that perceived trustworthiness in a staff member contributed significantly to a veterinarian's willingness to delegate to that staff member risky tasks such as administering anesthesia. Similarly, in a fourteenmonth field study of management performance appraisal systems, Mayer and Davis (1999) found that enhancing perceived benevolence, integrity, and competence by means of implementing a new performance appraisal system increased employees ""willingness to let top management have control over"" employee and organizational well-being. Copyright © 2004 by Russell Sage Foundation. All rights reserved.",,
