Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
WS-trustworthy: a framework for Web services centered trustworthy computing,A generic framework to control the trustworthiness of computing in the domain of Web services is proposed.,Search,2004,26,"Jia  Zhang, Liang-Jie  Zhang, Jen-Yao  Chung","IEEE International Conference onServices Computing, 2004. (SCC 2004). Proceedings. 2004",,10.1109/SCC.2004.1358006,https://doi.org/10.1109/SCC.2004.1358006,https://semanticscholar.org/paper/3ba6bbf2ca1f06e4906a6c745eba53a8228d31ac,,"The emerging paradigm of Web services has been gaining significant momentum in the recent years since it offers a promising way to facilitate business-to-business (B2B) collaboration. However, it is not clear that this new model of Web services provides any measurable increase in computing trustworthiness. We propose a generic framework to control the trustworthiness of computing in the domain of Web services. A layered model is established to highlight four key elements: resources, policies, validation processes, and management. The robustness of this model exhibits its flexibility and extensibility. Examples utilizing our framework are reported.",,
"Evaluation of website trustworthiness from customer perspective, a framework",The trust evaluative framework reviews commercial websites from the customer perspective.,Search,2004,16,Victor A. Tsygankov,ICEC '04,,10.1145/1052220.1052254,https://doi.org/10.1145/1052220.1052254,https://semanticscholar.org/paper/cd57932031f97d8b5ddda8d0c62e98cd67dd9d6a,,"The current paper was written to explain the theoretical basis of the trust evaluative framework, which would be used to review the commercial websites trustworthiness from the customer perspective. The framework contains 20 evaluation positions, scrutinizing a website for design features, corporate image integrity, business processes transparency, customer support, security features and legal support. The actual testing of proposed method is taking place at the moment. First case studies have shown that the framework is a useful tool for the development of enterprise's commercial on-line activities.",,Review
A Framework for Trustworthiness Assessment based on Fidelity in Cyber and Physical Domains,A method for the assessment of trust for n-open systems based on a measurement of fidelity and a prototypical implementation of a complaint architecture.,Search,2015,8,"Vincenzo De Florio, Giuseppe  Primiero",ANT/SEIT,,10.1016/j.procs.2015.05.092,https://doi.org/10.1016/j.procs.2015.05.092,https://semanticscholar.org/paper/6c64b85659445853a965d0ba3c9590b0d284e92a,https://eprints.mdx.ac.uk/16805/1/1-s2.0-S1877050915008923-main.pdf,We introduce a method for the assessment of trust for n-open systems based on a measurement of fidelity and present a prototypical implementation of a complaint architecture. We construct a MAPE loop which monitors the compliance between corresponding figures of interest in cyber- and physical domains; derive measures of the system's trustworthiness; and use them to plan and execute actions aiming at guaranteeing system safety and resilience. We conclude with a view on our future work.,,
A Trustworthiness Evaluation Framework in Cloud Computing for Service Selection,A trustworthiness evaluation framework for cloud computing can accurately and flexibly measure existing trust records.,Search,2014,9,"Lifeng  Wang, Zhengping  Wu",2014 IEEE 6th International Conference on Cloud Computing Technology and Science,,10.1109/CloudCom.2014.107,https://doi.org/10.1109/CloudCom.2014.107,https://semanticscholar.org/paper/9cc6e96a2e5bd78ff9a4ecc007b3d6353ca50dc0,,"Cloud computing provides many benefits for individuals and enterprises by offering a range of computing services. The service dynamism, elasticity, economy and choices are too attractive to ignore. At the meantime, cloud computing has opened up a new frontier of challenges by introducing trust scenario. The Trustworthiness Evaluation of cloud Services is a paramount concern. In this paper, we present a framework to quantitatively measure and rank the trustworthiness of cloud services. In particular, we address the fundamental understanding of trustworthiness, quantitative trustworthiness metrics, unified scale of trust factors, trust factors categorization, trust coordinate and multi-criteria analysis for trustworthiness decision making. Our comprehensive framework of trustworthiness evaluation contains five basic building blocks. The preprocessing block query and calculate the existent trustworthiness record. Then the trust factors are collected, if there was no match record found. The trust factor management block categorize the trust factors and convert them by using unified scale. The trust factor processing block is for weighting and positioning of trust factors. The trustworthiness decision making block provide calculation of cloud service trustworthiness, and the results are recorded in our trustworthiness record block. The proposed trustworthiness measurement framework is employed in several experiments by using existing trust dataset. The analysis based on the experiment result indicates our trustworthiness evaluation is accurate and flexible.",,
Overview of the Trustworthiness Management Framework,The TW-Man framework contains methods and patterns for enabling trustworthiness in cyber-physical systems.,Search,2019,,Nazila Gol Mohammadi,,,10.1007/978-3-658-27488-7_3,https://doi.org/10.1007/978-3-658-27488-7_3,https://semanticscholar.org/paper/72667e3ac939553c2c219d4cc5444afb15c9070d,,"Enabling trustworthiness in cyber-physical systems is a challenging task, because of heterogeneous and distributed components and very diverse participants and activities. To ease and support the design and development activities, we propose trustworthiness-by-design methods and patterns in this book. Our methods and patterns are gathered in the TrustWorthiness Management (TW-Man) framework.",,Review
Framework Proposal to Evaluate Trustworthiness in an Online Community,A software architecture extends current collaborative systems and the trust model uses information extracted from the artifacts generated by the online community.,Search,2009,4,"Adriana Maria C. M. Figueiredo, Olga  Nabuco, Tatiana  Al-Chueyr, Marcos Antônio Rodrigues",2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology,,10.1109/WI-IAT.2009.354,https://doi.org/10.1109/WI-IAT.2009.354,https://semanticscholar.org/paper/78855e851a61d557e45ff4ecb004d2c59fedda66,,"This work presents a proposal to evaluate members' trustworthiness in online communities. Both members’ interactions and the relevance of their contributions to the community are analyzed as trust evidences. To establish the relevance of a contribution, the community’s vocabulary is studied and its occurrence in each member's interaction is evaluated. We propose a framework that supports both the trust model and the creation of the community’s vocabulary. The software architecture extends current collaborative systems and the trust model uses information extracted from the artifacts generated by the online community. An experiment in the InVesalius community, available at Brazilian Public Software Portal, is presented.",,
Trustworthiness Inference Framework in the Social Internet of Things: A Context-Aware Approach,A context-aware trustworthiness inference framework can establish reliable relationships among smart objects autonomously.,Search,2019,17,"Hui  Xia, Fu  Xiao, San-shun  Zhang, Chunqiang  Hu, Xiuzhen  Cheng",IEEE INFOCOM 2019 - IEEE Conference on Computer Communications,,10.1109/INFOCOM.2019.8737491,https://doi.org/10.1109/INFOCOM.2019.8737491,https://semanticscholar.org/paper/a693926341cc03c35d6b10d71a626401f67f543c,,"The concept of social networking is integrated into Internet of things (IoT) to socialize smart objects by mimicking human behaviors, leading to a new paradigm of Social Internet of Things (SIoT). A crucial problem that needs to be solved is how to establish reliable relationships autonomously among objects, i.e., building trust. This paper focuses on exploring an efficient context-aware trustworthiness inference framework to address this issue. Based on the sociological and psychological principles of trust generation between human beings, the proposed framework divides trust into two types: familiarity trust and similarity trust. The familiarity trust can be calculated by direct trust and recommendation trust, while the similarity trust can be calculated based on external similarity trust and internal similarity trust. We subsequently present concrete methods for the calculation of different trust elements. In particular, we design a kernel-based nonlinear multivariate grey prediction model to predict the direct trust of a specific object, which acts as the core module of the entire framework. Besides, considering the fuzziness and uncertainty in the concept of trust, we introduce the fuzzy logic method to synthesize these trust elements. The experimental results verify the validity of the core module and the resistance to attacks of this framework.",,
A Framework for Systematic Refinement of Trustworthiness Requirements,A user-centered trustworthiness requirement analysis and modeling framework integrates subjective trust concerns into goal models and embeds them into business process models.,Search,2017,9,"Nazila Gol Mohammadi, Maritta  Heisel",Inf.,,10.3390/info8020046,https://doi.org/10.3390/info8020046,https://semanticscholar.org/paper/5f29b7fa8423c0427f863376841b725a9b61ab6b,https://www.mdpi.com/2078-2489/8/2/46/pdf,"The trustworthiness of systems that support complex collaborative business processes is an emergent property. In order to address users’ trust concerns, trustworthiness requirements of software systems must be elicited and satisfied. The aim of this paper is to address the gap that exists between end-users’ trust concerns and the lack of implementation of proper trustworthiness requirements. New technologies like cloud computing bring new capabilities for hosting and offering complex collaborative business operations. However, these advances might bring undesirable side effects, e.g., introducing new vulnerabilities and threats caused by collaboration and data exchange over the Internet. Hence, users become more concerned about trust. Trust is subjective; trustworthiness requirements for addressing trust concerns are difficult to elicit, especially if there are different parties involved in the business process. We propose a user-centered trustworthiness requirement analysis and modeling framework. We integrate the subjective trust concerns into goal models and embed them into business process models as objective trustworthiness requirements. Business process model and notation is extended to enable modeling trustworthiness requirements. This paper focuses on the challenges of elicitation, refinement and modeling trustworthiness requirements. An application example from the healthcare domain is used to demonstrate our approach.",,
Framework for Trustworthy Software Development,"A blockchain enabled governance framework can record, monitor, and analyze activities throughout software development life cycles.",Search,2019,1,"R. P. Jagadeesh Chandra Bose, Kapil  Singi, Vikrant  Kaulgud, Kanchanjot Kaur Phokela, Sanjay  Podder",2019 34th IEEE/ACM International Conference on Automated Software Engineering Workshop (ASEW),,10.1109/ASEW.2019.00027,https://doi.org/10.1109/ASEW.2019.00027,https://semanticscholar.org/paper/e671cc99b00e17b08c2ad7cfa63d9f3c15fc70c1,,"Intelligent software applications are becoming ubiquitous and pervasive affecting various aspects of our lives and livelihoods. At the same time, the risks to which these systems expose the organizations and end users are growing dramatically. Trustworthiness of software applications is becoming a paramount necessity. Trust is to be regarded as a first-class citizen in the total product life cycle and should be addressed across all stages of software development. Trust can be looked at from two facets: one at an algorithmic level (e.g., bias-free, discrimination-aware, explainable and interpretable techniques) and the other at a process level by making development processes more transparent, auditable, and adhering to regulations and best practices. In this paper, we address the latter and propose a blockchain enabled governance framework for building trustworthy software. Our framework supports the recording, monitoring, and analysis of various activities throughout the application development life cycle thereby bringing in transparency and auditability. It facilitates the specification of regulations and best practices and verifies for its adherence raising alerts of non-compliance and prescribes remedial measures.",,
A Framework for Systematic Analysis and Modeling of Trustworthiness Requirements Using i* and BPMN,Integrating subjective trust concerns into goal models and embedding them into business process models is a method to address the gap in considering trustworthiness requirements during automation of business processes.,Search,2016,12,"Nazila Gol Mohammadi, Maritta  Heisel",TrustBus,,10.1007/978-3-319-44341-6_1,https://doi.org/10.1007/978-3-319-44341-6_1,https://semanticscholar.org/paper/cb375e5587b3b64a872d7df6b043b4feed349e96,,"New technologies like cloud computing and new business models bring new capabilities for hosting and offering complex collaborative business operations. However, these advances can also bring undesirable side-effects, e.g., introducing new vulnerabilities and threats caused by collaboration and data exchange over the Internet. Hence, users become more concerned about the trust, e.g., trust in services for critical business processes with sensitive data. Since trust is subjective, trustworthiness requirements for addressing trust concerns are difficult to elicit, especially if there are different parties involved in the business process. In this paper, we propose a user-centered trustworthiness requirement analysis and modeling framework. Using goal models for capturing the users’ trust concerns can motivate design decisions with respect to trustworthiness. We purpose integrating the subjective trust concerns into goal models and embedding them into business process models as objective trustworthiness requirements. This paper addresses the gap in considering trustworthiness requirements during automation (in providing supporting software) of business processes. We demonstrate our approach on an application example from the health-care domain.",,
