Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Trust and Stakeholder Theory: Trustworthiness in the Organisation–Stakeholder Relationship,Organizational trustworthiness may make relations fair for low-power stakeholders.,Search,2010,196,"Michelle  Greenwood, Harry J. Buren III",,,10.1007/S10551-010-0414-4,https://doi.org/10.1007/S10551-010-0414-4,https://semanticscholar.org/paper/7efca319d03e872333b9a7d7e0c60c6527b02522,,"Trust is a fundamental aspect of the moral treatment of stakeholders within the organization–stakeholder relationship. Stakeholders trust the organization to return benefit or protections from harm commensurate with their contributions or stakes. However, in many situations, the firm holds greater power than the stakeholder and therefore cannot necessarily be trusted to return the aforementioned duty to the stakeholder. Stakeholders must therefore rely on the trustworthiness of the organization to fulfill obligations in accordance to Phillips’ principle of fairness (Business Ethics Quarterly7(1), 1997, 51–66), particularly where low-power stakeholders may not be fully consenting (Van Buren III, Business Ethics Quarterly11(3), 2001, 481–499). The construct of organizational trustworthiness developed herewith is presented as a possible solution to the problem of unfairness in organization–stakeholder relations. While organizational trustworthiness does not create an ethical obligation where none existed before, stakeholders who lack power will likely be treated fairly when organizational trustworthiness is present.",,
Managing images of trustworthiness in organizations,Perceived trustworthiness is an important factor in engendering people's willingness to subject themselves to the actions of others.,Search,2004,49,Kimberly D. Elsbach,,,,,https://semanticscholar.org/paper/30862b8cd95369f737447b6981eb8c618f99d605,,"Author(s): Elsbach, KD | Abstract: To possess an image of interpersonal trustworthiness is to be perceived by others as displaying (now and in the future) competence, benevolence, and integrity in one's behaviors and beliefs (Mayer, Davis, and Schoorman 1995; Mayer and Davis 1999). In this definition, interpersonal trustworthiness is defined as a perception of trustworthiness from and about social interactions. In a corporate context, competence refers to the abilities and skills that allow a manager to have power and influence in the organization, benevolence refers to a manager's desire to do good on behalf of organizational members, and integrity refers to a manager's adherence to principles or ideals that an organization's members find acceptable. This definition is based on recent frameworks which define trust as ""a willingness to be vulnerable to the actions of another party."" (Mayer and Davis 1999, 124). That is, where trust is defined as a willingness or intent to submit to the actions of another, trustworthiness is defined as a perception that a trusted person, a trustee, will exhibit specific behaviors that commonly engender a willingness to submit to that person's actions. These definitions of trust and trustworthiness are supported by recent research that identifies both motivation and ability as bases of trust in organizations (Mishra 1996; Brockner and Siegel 1996), and uses the components of intention and belief to define trust (McKnight, Cummings, and Chervany 1998).1 Such definitions seem particularly appropriate in managerial settings, where trust often means submitting to the direction of leaders with little knowledge about the consequences of those directions. In such risky or ambiguous situations, perceived trustworthiness has been shown to be an important factor in engendering people's willingness to subject themselves to the actions of others (Kramer and Tyler 1996). For example, F. David Schoorman, Roger C. Mayer, and James H. Davis (1996) found that perceived trustworthiness in a staff member contributed significantly to a veterinarian's willingness to delegate to that staff member risky tasks such as administering anesthesia. Similarly, in a fourteenmonth field study of management performance appraisal systems, Mayer and Davis (1999) found that enhancing perceived benevolence, integrity, and competence by means of implementing a new performance appraisal system increased employees ""willingness to let top management have control over"" employee and organizational well-being. Copyright © 2004 by Russell Sage Foundation. All rights reserved.",,
Trustworthiness criteria for supporting users to assess the credibility of web information,Web users need credibility criteria and tools to help them assess the trustworthiness of Web information.,Search,2013,21,"Jarutas  Pattanaphanchai, Kieron  O'Hara, Wendy  Hall",WWW '13 Companion,,10.1145/2487788.2488132,https://doi.org/10.1145/2487788.2488132,https://semanticscholar.org/paper/9adf6b120bcb40e317160baed50cbbdb791931af,,"Assessing the quality of information on the Web is a challenging issue for at least two reasons. First, as a decentralized data publishing platform in which anyone can share nearly anything, the Web has no inherent quality control mechanisms to ensure that content published is valid, legitimate, or even just interesting. Second, when assessing the trustworthiness of web pages, users tend to base their judgments upon descriptive criteria such as the visual presentation of the website rather than more robust normative criteria such as the author's reputation and the source's review process. As a result, Web users are liable to make incorrect assessments, particularly when making quick judgments on a large scale. Therefore, Web users need credibility criteria and tools to help them assess the trustworthiness of Web information in order to place trust in it. In this paper, we investigate the criteria that can be used to collect supportive data about a piece of information in order to improve a person's ability to quickly judge the trustworthiness of the information. We propose the normative trustworthiness criteria namely, authority, currency, accuracy and relevance which can be used to support users' assessments of the trustworthiness of Web information. In addition, we validate these criteria using an expert panel. The results show that the proposed criteria are helpful. Moreover, we obtain weighting scores for criteria which can be used to calculate the trustworthiness of information and suggest a piece of information that is more likely to be trustworthy to Web users.",,Review
Trustworthiness,Trustworthiness is an epistemic desideratum.,Search,2008,130,Catherine Z. Elgin,,,10.1080/05568640809485227,https://doi.org/10.1080/05568640809485227,https://semanticscholar.org/paper/a777c01c67d56793abe6406549dbf3f4ac2003c1,,"Abstract I argue that trustworthiness is an epistemic desideratum. It does not reduce to justified or reliable true belief, but figures in the reason why justified or reliable true beliefs are often valuable. Such beliefs can be precarious. If a belief's being justified requires that the evidence be just as we take it to be, then if we are off even by a little, the belief is unwarranted. Similarly for reliability. Although it satisfies the definition of knowledge, such a belief is not trustworthy. We ought not use it as a basis for inference or action and ought not give others to believe it. The trustworthiness of a belief, I urge, depends on its being backed by reasons—considerations that other members of the appropriate epistemic community cannot reasonably reject. Trustworthiness is intersubjective. It both depends on and contributes to the evolving cognitive values of an epistemic community.",,
Trustworthiness and trust: influences and implications,"Trust operates at two levels in services relationships, with a number of key drivers that are mediated by trustworthiness.",Search,2014,109,"Harjit  Sekhon, Christine  Ennew, Husni  Kharouf, James F. Devlin",,,10.1080/0267257X.2013.842609,https://doi.org/10.1080/0267257X.2013.842609,https://semanticscholar.org/paper/ac383f2d7029896ecd9d1d2575efc94ea723c0d8,,"Abstract This paper frames trustworthiness as the key upstream construct of trust and recognises that trust operates at two levels in services relationships, with a number of key drivers that are mediated by trustworthiness. Our findings are supported by survey data from customers of UK financial services, with the data points captured over a number of years which allow for fluctuations in trust level. Empirically we find that trustworthiness impacts both the cognitive and affecting dimensions of trust, with the impact being greatest on cognitive trust. As a result of our findings it is possible for practitioner to implement policies to not only build trust but also deal with issues where there is a need to rebuild it, as in the case of our research setting.",,
Organizational Trustworthiness: An International Perspective,The literature describing trust and trustworthiness is known for its varying perspectives and its inconsistencies.,Search,2003,184,"Cam  Caldwell, Stephen E. Clapham",,,10.1023/A:1027370104302,https://doi.org/10.1023/A:1027370104302,https://semanticscholar.org/paper/3b35812f59de9647c93f2328e7398ce9253fa972,,"Although trust has been widely recognized as a vital component ofrelationships and a critical element to the success of organizations,the literature describing trust and trustworthiness is known for itsvarying perspectives and its inconsistencies. Trustworthiness has beenidentified as a condition precedent to the development of trust.Building upon the established constructs of interpersonaltrustworthiness, we propose a related model containing the sevenconstructs of Competence, Legal Compliance, Responsibility to Inform,Quality Assurance, Procedural Fairness, Interactional Cour-tesy, andFinancial Balance. Citing evidence from trust-related literature, weidentify the utility of these seven constructs in encompassingorganizational trustworthiness as a subjectively perceived aspect oforganizational effectiveness. We analyzed questionnaire data andconducted comparative world-region analyses.",,
What is trustworthiness and what drives it?,Vulnerability-responsiveness is an important determinant of trustworthiness even when the vulnerability of the trustor does not come with a gift for the trustee.,Search,2016,50,"James C. Cox, Rudolf  Kerschbamer, Daniel  Neururer",Games Econ. Behav.,,10.1016/j.geb.2016.05.008,https://doi.org/10.1016/j.geb.2016.05.008,https://semanticscholar.org/paper/28f741f35ae00f76cdea4dd75991e16d44b8f78b,http://excen.gsu.edu/workingpapers/GSU_EXCEN_WP_2014-06.pdf,"This paper reports the results of experiments designed to isolate the impact of various combinations of the following motives on trustworthiness: (i) unconditional other-regarding preferences -- like altruism, inequality aversion, quasi-maximin, etc. ; (ii) deal-responsiveness -- reacting to actions that allow for a mutual improvement by adopting behavior that implies a mutual improvement; (iii) gift-responsiveness -- reacting to choices that allow the trustee to obtain an improvement by adopting actions that benefit the trustor; and (iv) vulnerability-responsiveness -- reacting to the vulnerability of the trustor by adopting actions that do not hurt the trustor. Our results indicate that -- besides unconditional other-regarding preferences -- vulnerability-responsiveness is an important determinant of trustworthiness even in cases where the vulnerability of the trustor does not come together with a gift to the trustee. Motivated by our empirical findings we provide formal definitions of trust and trustworthiness based on revealed willingness to accept vulnerability and the response to it.",,
Trustworthiness Attributes and Metrics for Engineering Trusted Internet-Based Software Systems,"Trustworthiness, though, is subject to individual interpretation and preference.",Search,2013,35,"Nazila Gol Mohammadi, Sachar  Paulus, Mohamed  Bishr, Andreas  Metzger, Holger  Könnecke, Sandro  Hartenstein, Thorsten  Weyer, Klaus  Pohl",CLOSER,,10.1007/978-3-319-11561-0_2,https://doi.org/10.1007/978-3-319-11561-0_2,https://semanticscholar.org/paper/8458fc0ecbc37aa30756cbc4c9d4d708475ccf58,,"Trustworthiness of Internet-based software systems, apps, services and platform is a key success factor for their use and acceptance by organizations and end-users. The notion of trustworthiness, though, is subject to individual interpretation and preference, e.g., organizations require confidence about how their business critical data is handled whereas end-users may be more concerned about usability. As one main contribution, we present an extensive list of software quality attributes that contribute to trustworthiness. Those software quality attributes have been identified by a systematic review of the research literature and by analyzing two real-world use cases. As a second contribution, we sketch an approach for systematically deriving metrics to measure the trustworthiness of software system. Our work thereby contributes to better understanding which software quality attributes should be considered and assured when engineering trustworthy Internet-based software systems.",,Systematic Review
Trustworthiness,Trustworthiness is a matter of avoiding unfulfilled commitments.,Search,2019,1,Katherine  Hawley,How To Be Trustworthy,,10.1093/oso/9780198843900.003.0004,https://doi.org/10.1093/oso/9780198843900.003.0004,https://semanticscholar.org/paper/6083a97b5fc6e72b366fb1c2dd0e8349cd301045,,"This chapter explains the account of trustworthiness and untrustworthiness which fits the commitment account of trust and distrust. Trustworthiness is a matter of avoiding unfulfilled commitments, which requires both caution in incurring new commitments and diligence in fulfilling existing commitments. On this view, one can be trustworthy regardless of one’s motives for fulfilling one’s commitments. This is a negative account of trustworthiness, which means that one can be trustworthy whilst avoiding commitments as far as possible. In practice, through friendship, work and other social engagements we take on meta-commitments—commitments to incur future commitments. These can make it a matter of trustworthiness to take on certain new commitments. Untrustworthiness can arise from insincerity or bad intentions, but it can also arise from enthusiasm and becoming over-committed. A trustworthy person must not allow her commitments to outstrip her competence.",,
Trustworthy groups and organisations,The preference for trustworthy individuals over untrustworthy ones is not limited to individual interactions.,Search,2017,23,Katherine  Hawley,,,10.1093/ACPROF:OSO/9780198732549.003.0014,https://doi.org/10.1093/ACPROF:OSO/9780198732549.003.0014,https://semanticscholar.org/paper/d49cb83d734d14ce1bcee687425aae362058e9b5,https://research-repository.st-andrews.ac.uk/bitstream/10023/17203/1/Hawley_Trustworthy_Chapter_AAM.pdf,"1. The Significance of Group Trustworthiness We value trustworthiness where we find it, in friends, colleagues, and strangers. This is because it is easier to cooperate with trustworthy individuals than with untrustworthy ones, but also because trustworthiness is appreciated for its own sake. Conversely, we resent untrustworthiness when we encounter it, and try to minimise interaction with untrustworthy individuals. This preference for trustworthiness over untrustworthiness is not limited to our interactions with individuals. Who wouldn’t prefer to work for a trustworthy company, to be treated at a trustworthy hospital, and to vote for a trustworthy political party?",,
