Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
The trustworthy digital camera: restoring credibility to the photographic image,The digital signature standard (DSS) can be used to authenticate electronic mail messages.,Search,1993,345,Gary  Friedman,,,10.1109/30.267415,https://doi.org/10.1109/30.267415,https://semanticscholar.org/paper/7bccc5807bfe99b2ca9a840f2a745282ee37b09c,https://ntrs.nasa.gov/api/citations/19940027964/downloads/19940027964.pdf,"The trustworthy digital camera is an application of existing technology toward the solution of an evermore-troubling social problem, the eroding credibility of the photographic image. Although it will always be possible to lie with a photograph (using such time-honored techniques as false perspective and misleading captions), this proposed device will prevent the explosion of very capable personal computers from driving up the incidence of doctored photographs being passed off as truth. A solution to this problem comes from the proposed digital signature standard (DSS), which incorporates modern cryptographic techniques to authenticate electronic mail messages. >",,
A formal approach for the specification and verification of trustworthy component-based systems,A formal approach for the development of trustworthy component-based systems involves a model transformation technique and a unified formal verification method.,Search,2011,38,"Mubarak  Mohammad, Vangalur S. Alagar",J. Syst. Softw.,,10.1016/j.jss.2010.08.048,https://doi.org/10.1016/j.jss.2010.08.048,https://semanticscholar.org/paper/de4c9971b24820bc2362b8550ffcbe9beb9a253f,,"Abstract: Software systems are increasingly becoming ubiquitous affecting the way we experience the world. Embedded software systems, especially those used in smart devices, have become an essential constituent of the technological infrastructure of modern societies. Such systems, in order to be trusted in society, must be proved to be trustworthy. Trustworthiness is a composite non-functional property that implies safety, timeliness, security, availability, and reliability. This paper presents a formal approach for the development of trustworthy component-based systems. The approach involves a formal component model for the specification of component's structure, functional, and non-functional (trustworthiness) properties, a model transformation technique for the automatic generation of component behavior using the specified structure and restricted by the specified properties, and a unified formal verification method for safety, security, reliability and availability properties using model checking.",,
Trustworthy groups and organisations,Trustworthiness is appreciated for its own sake.,Search,2017,23,Katherine  Hawley,,,10.1093/ACPROF:OSO/9780198732549.003.0014,https://doi.org/10.1093/ACPROF:OSO/9780198732549.003.0014,https://semanticscholar.org/paper/d49cb83d734d14ce1bcee687425aae362058e9b5,https://research-repository.st-andrews.ac.uk/bitstream/10023/17203/1/Hawley_Trustworthy_Chapter_AAM.pdf,"1. The Significance of Group Trustworthiness We value trustworthiness where we find it, in friends, colleagues, and strangers. This is because it is easier to cooperate with trustworthy individuals than with untrustworthy ones, but also because trustworthiness is appreciated for its own sake. Conversely, we resent untrustworthiness when we encounter it, and try to minimise interaction with untrustworthy individuals. This preference for trustworthiness over untrustworthiness is not limited to our interactions with individuals. Who wouldn’t prefer to work for a trustworthy company, to be treated at a trustworthy hospital, and to vote for a trustworthy political party?",,
Trustworthy systems revisited,Pervasive problems can have immediately obvious consequences.,Search,2006,1,Peter G. Neumann,CACM,,10.1145/1113034.1113065,https://doi.org/10.1145/1113034.1113065,https://semanticscholar.org/paper/c653c278ef974bd6044a8273e53f48c21bd846e5,,"S ystem trustworthiness is in essence a logical basis for confidence that a system will predictably satisfy its critical requirements, including information security, reliability, human safety, fault tolerance, and survivability in the face of wide ranges of adversities (such as malfunctions , deliberate attacks, and natural causes). Our lives increasingly depend on critical national infrastructures that depend in varying degrees on the dependable behavior of computer-communication resources, including the Internet and many of its attached computer systems. Unless certain information system resources are trustworthy, our critical systems are at serious risk from failures and subver-sions. Unfortunately, for many of the key application domains, the existing information infrastructures are lacking in trustworthiness. For example, power grids, air-traffic control, high-integrity electronic voting systems, the emerging DoD Global Information Grid, the national infra-structures, and many collaborative and competitive Internet-based applications all need systems that are more trustworthy than we have today. In this column, we have frequently considered risks associated with such systems and what is needed to make them more trustworthy. This month's column takes a higher-level and more intuitive view by considering analogies with our natural environ-ment—expectations for which are rather similar to expectations for trustworthy information systems. For example, pure air and uncontaminated water are vital, as are the social systems that ensure them. Although poorly chosen analogies can be misleading , the analogy with our natural environment seems quite apt. Each of the following bulleted items is applicable to both trustworthy information systems and natural environments. • Their critical importance is generally underappre-ciated until something goes fundamentally wrong—after which undoing the damage can be very difficult if not impossible. • Problems can result from natural circumstances, equipment failures, human errors, malicious activity , or a combination of these and other factors. • Dangerous contaminants may emerge and propagate, often unobserved. Some of these may remain unde-tected for relatively long periods of time, whereas others can have immediately obvious consequences. • Your well-being may be dramatically impeded, but there is not much you as an individual can do about aspects that are pervasive—perhaps international or even global in scope. • Detection, remediation, and prevention require cooperative social efforts, such as public health and sanitation efforts, as well as technological means. • Up-front preventive measures can result in significant savings and increases in human well-being, ameliorating major problems later on. • Once something has gone recognizably wrong, countermeasures are typically fruitless—too …",,
Trustworthy Computing and Services,"Software makers' quality assurance budgets are increasing, but program failures happen quite often.",Search,2012,8,"Yuyu  Yuan, Xu  Wu, Yueming  Lu",Communications in Computer and Information Science,,10.1007/978-3-642-35795-4,https://doi.org/10.1007/978-3-642-35795-4,https://semanticscholar.org/paper/9d3de039ed75d1fb7843a97d39fdc4a47ad4eb03,,"Software controls an increasing number of complex technical systems, ranging from Internet-based e-health and e-government applications to embedded control systems in factories, cars, and aircrafts. Even though the quality assurance budgets of software makers are increasing, program failures happen quite often. The successful deployment of software systems depends on the extent to which we can justifiably trust them. Academia, government, and industry have conducted several efforts with the aim of providing a view of trustworthiness in software from system construction, evaluation and analysis. This paper investigates the previous and present activities that have been performed to achieve software trustworthiness and suggests some guidelines for future activities. The proposed approach uses the novel behaviouristic model for verifying software trustworthiness based on scenarios of interactions between the software and its users and environment [1].",,
A component‐based development process for trustworthy systems,A component-based development process should preserve trustworthiness properties in every activity of every phase of system development.,Search,2012,4,"Mubarak  Mohammad, Vangalur S. Alagar",J. Softw. Evol. Process.,,10.1002/smr.472,https://doi.org/10.1002/smr.472,https://semanticscholar.org/paper/643105ed93a427632681c7e3d6999348c1c74c47,,"This paper introduces a new process for a rigorous component‐centered development of trustworthy systems. The rationale for our perspective of the process is two‐fold. The activities prescribed in a conventional software engineering development process are neither suitable nor sufficient for developing component‐based systems. Component‐based development methods that are currently practised do not support the explicit specification of trustworthiness properties, and are not based on rigorous principles. Hence they are not suitable for developing trustworthy systems. Trustworthiness is regarded as a composite nonfunctional property comprising the four attributes safety, security, availability, and reliability. They must be rigorously defined for components and systems composed from them. It is essential that the process enforces a direct evidence of trustworthiness in the systems that are developed following the process. Consequently, the development process, in addition to being reuse‐oriented, component‐oriented, and rigorous in all phases of the system lifecycle, should maintain the chain of evidence that the trustworthiness properties are preserved in every activity of every phase of system development. The proposed process includes several parallel interrelated tracks including component development, component assessment, component reuse, and component‐based system development and prescribes specific activities and tools for ensuring trustworthiness in all activities. Copyright © 2010 John Wiley & Sons, Ltd.",,
Trustworthiness,Trustworthiness is an epistemic desideratum.,Search,2008,130,Catherine Z. Elgin,,,10.1080/05568640809485227,https://doi.org/10.1080/05568640809485227,https://semanticscholar.org/paper/a777c01c67d56793abe6406549dbf3f4ac2003c1,,"Abstract I argue that trustworthiness is an epistemic desideratum. It does not reduce to justified or reliable true belief, but figures in the reason why justified or reliable true beliefs are often valuable. Such beliefs can be precarious. If a belief's being justified requires that the evidence be just as we take it to be, then if we are off even by a little, the belief is unwarranted. Similarly for reliability. Although it satisfies the definition of knowledge, such a belief is not trustworthy. We ought not use it as a basis for inference or action and ought not give others to believe it. The trustworthiness of a belief, I urge, depends on its being backed by reasons—considerations that other members of the appropriate epistemic community cannot reasonably reject. Trustworthiness is intersubjective. It both depends on and contributes to the evolving cognitive values of an epistemic community.",,
Toward trustworthy software systems,"Component technology, rigorous design methods, predictable, provable, legally certifiable system properties, error-free claims are impossible.",Search,2006,137,"Wilhelm  Hasselbring, Ralf H. Reussner",Computer,,10.1109/MC.2006.142,https://doi.org/10.1109/MC.2006.142,https://semanticscholar.org/paper/dc436f4d1591410ade952f8116093539d678c33d,,"Organizations such as Microsoft's Trusted Computing Group and Sun Microsystems' Liberty Alliance are currently leading the debate on ""trustworthy computing."" However, these and other initiatives primarily focus on security, and trustworthiness depends on many other attributes. To address this problem, the University of Oldenburg's TrustSoft Graduate School aims to provide a holistic view of trustworthiness in software - one that considers system construction, evaluation/analysis, and certification - in an interdisciplinary setting. Component technology is the foundation of our research program. The choice of a component architecture greatly influences the resulting software systems' nonfunctional properties. We are developing new methods for the rigorous design of trustworthy software systems with predictable, provable, and ultimately legally certifiable system properties. We are well aware that it is impossible to build completely error-free complex software systems. We therefore complement fault-prevention and fault-removal techniques with fault-tolerance methods that introduce redundancy and diversity into software systems. Quantifiable attributes such as availability, reliability, and performance call for analytical prediction models, which require empirical studies for calibration and validation. To consider the legal aspects of software certification and liability, TrustSoft integrates the disciplines of computer science and computer law.",,
Trustworthiness,"Trustworthiness is a matter of avoiding unfulfilled commitments, which requires both caution in incurring new commitments and diligence in fulfilling existing commitments.",Search,2019,1,Katherine  Hawley,How To Be Trustworthy,,10.1093/oso/9780198843900.003.0004,https://doi.org/10.1093/oso/9780198843900.003.0004,https://semanticscholar.org/paper/6083a97b5fc6e72b366fb1c2dd0e8349cd301045,,"This chapter explains the account of trustworthiness and untrustworthiness which fits the commitment account of trust and distrust. Trustworthiness is a matter of avoiding unfulfilled commitments, which requires both caution in incurring new commitments and diligence in fulfilling existing commitments. On this view, one can be trustworthy regardless of one’s motives for fulfilling one’s commitments. This is a negative account of trustworthiness, which means that one can be trustworthy whilst avoiding commitments as far as possible. In practice, through friendship, work and other social engagements we take on meta-commitments—commitments to incur future commitments. These can make it a matter of trustworthiness to take on certain new commitments. Untrustworthiness can arise from insincerity or bad intentions, but it can also arise from enthusiasm and becoming over-committed. A trustworthy person must not allow her commitments to outstrip her competence.",,
Trustworthiness*,B is trustworthy with A if she is competent with the domain and would take A's counting on her as a reason to act.,Search,2012,39,Karen  Jones,Ethics,,10.1086/667838,https://doi.org/10.1086/667838,https://semanticscholar.org/paper/b6351a82a769a94b73cdf7e1d86bd37d84536943,,"I present and defend an account of three-place trustworthiness according to which B is trustworthy with respect to A in domain of interaction D, if and only if she is competent with respect to that domain, and she would take the fact that A is counting on her, were A to do so in this domain, to be a compelling reason for acting as counted on. This is not the whole story of trustworthiness, however, for we want those we can count on to identify themselves so that we can place our trust wisely.",,
