Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Trustworthy Laboratory Automation,"Sustainability, integrity, and authenticity of data is essential for scientific research.",Search,2014,2,"Jan  Potthoff, Dominic  Lütjohann, Nicole  Jung",DBKDA 2014,,,,https://semanticscholar.org/paper/905488d862f4dcf4020d728c84b33a0b2f182cc5,,"To ensure the quality of scientific data, the integrity and authenticity of the data has to be guaranteed. Due to the significance of the primary data, the integrity and authenticity of research data have to be ensured with their generation. Special measurement devices offer this possibility by an automated digital signing process. Unfortunately, these devices are rare. Therefore, a generic software application which is shown in this paper has been implemented. Furthermore, the solution has been adjusted to an existing laboratory automation system which is depicted as well. The combination of a new, web-based Laboratory Information and Management System (LIMS) with a new protocol for an authentication of electronic data shows that the establishment of an automated collection of secure data can be realized even without disturbing the researcher. Keywords-integrity and authenticity; sustainability; trustworthy data generation; data management",,
Trust in Automation A Literature Review,Increasingly complex autonomous systems require the human operator to appropriately calibrate their trust in the automation.,Search,2018,7,"Bronwyn  French, Andreas  Duenser, Andrew  Heathcote",,,,,https://semanticscholar.org/paper/92f07d3d1356307decb6e97382ad884d0f62668d,,"Increasingly complex autonomous systems require the human operator to appropriately calibrate their trust in the automation in order to achieve performance and safety goals. Although humanautomation trust has been shown to be similar in many respects to human-human trust, precisely defining and measuring trust in automation has proved to be one of the greatest challenges facing research in this area. This report reviews literature pertaining to trust in automated systems to provide an integrated summary of the major theoretical and empirical work in the field to date.",,Review
Designing Trustworthy Automation,Safety-critical domains require appropriate calibration of operator trust in automation.,Search,2015,1,Arathi  Sethumadhavan,,,10.1177/1064804615609923,https://doi.org/10.1177/1064804615609923,https://semanticscholar.org/paper/a704b808e1d8db9ea36400f73f576bb1c73ed7a4,,"From self-learning thermostats to agricultural vehicles to baggagescreening systems, automation is becoming an integral part of modern life. In safety-critical domains, automation offers incredible benefits by improving the accuracy of complex tasks. Because automation failures are inevitable, appropriate calibration of operator trust in automation is integral for the optimal performance of human– automation teams. Trust in automation is affected by several factors, such as automation reliability, operator workload and selfconfidence, task difficulty and novelty, consequences of automation misses, and automation display format and content. Trust is therefore a multidimensional concept. So what can be done to appropriately calibrate operator trust level on automation?",,
Trust in Automation,"dispositional trust, situational trust, and learned trust.",Search,2015,751,"Kevin  Hoff, Masooda  Bashir",Human factors,,10.1177/0018720814547570,https://doi.org/10.1177/0018720814547570,https://semanticscholar.org/paper/95d66e12bb9116c3e98c7d422decd6b5c74769dc,,"Objective: We systematically review recent empirical research on factors that influence trust in automation to present a three-layered trust model that synthesizes existing knowledge. Background: Much of the existing research on factors that guide human-automation interaction is centered around trust, a variable that often determines the willingness of human operators to rely on automation. Studies have utilized a variety of different automated systems in diverse experimental paradigms to identify factors that impact operators’ trust. Method: We performed a systematic review of empirical research on trust in automation from January 2002 to June 2013. Papers were deemed eligible only if they reported the results of a human-subjects experiment in which humans interacted with an automated system in order to achieve a goal. Additionally, a relationship between trust (or a trust-related behavior) and another variable had to be measured. All together, 101 total papers, containing 127 eligible studies, were included in the review. Results: Our analysis revealed three layers of variability in human–automation trust (dispositional trust, situational trust, and learned trust), which we organize into a model. We propose design recommendations for creating trustworthy automation and identify environmental conditions that can affect the strength of the relationship between trust and reliance. Future research directions are also discussed for each layer of trust. Conclusion: Our three-layered trust model provides a new lens for conceptualizing the variability of trust in automation. Its structure can be applied to help guide future research and develop training interventions and design procedures that encourage appropriate trust.",,Systematic Review
Trustworthiness of Autonomous Systems,Transdisciplinary research is needed to design trustworthy autonomous systems.,Search,2018,17,S. Kate Devitt,CDC 2018,,10.1007/978-3-319-64816-3_9,https://doi.org/10.1007/978-3-319-64816-3_9,https://semanticscholar.org/paper/d84e786286b6afa167ca016a01cf0d8e408df76e,https://link.springer.com/content/pdf/10.1007%2F978-3-319-64816-3_9.pdf,"Effective robots and autonomous systems must be trustworthy. This chapter examines models of trustworthiness from a philosophical and empirical perspective to inform the design and adoption of autonomous systems. Trustworthiness is a property of trusted agents or organisations that engenders trust in other agent or organisations. Trust is a complex phenomena defined differently depending on the discipline. This chapter aims to bring different approaches under a single framework for investigation with three sorts of questions: Who or what is trustworthy? –metaphysics. How do we know who or what is trustworthy? –epistemology. What factors influence what or who should we trust? –normativity. A two-component model of trust is used that incorporates competence (skills, reliability and experience) and integrity (motives, honesty and character). It is supposed that human levels of competence yield the highest trust whereas trust is reduced at sub-human and super-human levels. The threshold for trustworthiness of an agent or organisation in a particular context is a function of their relationship with the truster and potential impacts of decisions. Building trustworthy autonomous systems requires obeying the norms of logic, rationality and ethics under pragmatic constraints–even though there is disagreement on these principles by experts. Autonomous systems may need sophisticated social identities including empathy and reputational concerns to build human-like trust relationships. Ultimately transdisciplinary research drawing on metaphysical, epistemological and normative human and machine theories of trust are needed to design trustworthy autonomous systems for adoption.",,
Development of Metrics for Trust in Automation,A method to accurately measure its goodness or level during active interaction between a human and automation would be beneficial.,Search,2010,11,"Janet E. Miller, LeeAnn  Perkins",,,,,https://semanticscholar.org/paper/9cb395e1d6e5024e58d00db62e166eb8b4fcaf64,,"Abstract : Research in ""trust"" in automation has gained momentum and ""trust"" has been identified as playing an essential role for implementing effective work-centered computer systems. In a socio-technical work system, the automation handles the majority of an algorithmically-intense workload but the human is generally a final decision-maker. Therefore, the human's acceptance of the automation's output is required for a successful result. Some researchers believe that system failures are connected to the human nature of trust, which is based on experiences with other humans, acting as the foundation for reliance on automated systems. However, using a common word as ""trust"" allows for misunderstandings when used in multiple contexts. While all have some overtures of similarity, there are important unstated differences. Additionally, if trust is critical, then a method to accurately measure its goodness or level during active interaction between a human and automation would be beneficial. This paper will discuss three qualifiers for a trust evaluation such that measures can be developed to gauge a user's trust perception over time; will lay out five components to specifically evaluate trust in automation, and propose a technique for measuring and monitoring trust in automation.",,
Trustworthy Human-Centered Automation Through Explainable AI and High-Fidelity Simulation,Shared expectations between autonomous systems and the humans who interact with them can increase the trust in the systems.,Search,2020,2,"Bradley  Hayes, Michael  Moniz",AHFE,,10.1007/978-3-030-51064-0_1,https://doi.org/10.1007/978-3-030-51064-0_1,https://semanticscholar.org/paper/d59e02b072628ce304e154d12804ffcc9f18d4de,,"As we become more competent developers of artificially intelligent systems, the level of deployment and associated implicit trust in these systems will increase in kind. While this is an attractive concept, with an already-demonstrated capability to positively disrupt industries around the world, it remains a dangerous premise that demands attention and intentional resource allocation to ensure that these systems’ behaviors match our expectations. Until we can develop explainable AI techniques or high-fidelity simulators to enable us to examine the models’ underlying logic for the situations we intend to utilize them in, it will be irresponsible to place our trust in their ability to act on our behalf. In this work we describe and provide guidelines for ongoing efforts in using novel explainable AI techniques and high-fidelity simulation to help establish shared expectations between autonomous systems and the humans who interact with them, discussing collaborative robotics and cybersecurity domains.",,
A Brief Review of Frequently Used Self-Report Measures of Trust in Automation,There is a strong need for a review of which methods are used to measure trust in automation.,Search,2020,1,"Spencer C. Kohn, Molly  Kluck, Tyler  Shaw",,,10.1177/1071181320641342,https://doi.org/10.1177/1071181320641342,https://semanticscholar.org/paper/25e40a315c02ca93fc8182d8b7c92db8c140b973,,"With the growing popularity of trust in automation research, there is a strong need for a review of which methods are used to measure trust in automation. This review catalogues the self-report methods commonly used to measure trust in automation, via publications found in the PsychINFO and ACM databases. The frequency of commonly deployed self-report scales are reported and the state of self-report measurement of trust in automation is discussed in brief.",,Review
Verifying Automation Trust in Automated Driving System from Potential Users' Perspective,"Factors related to the vehicle itself, specifically its reliability, had the greatest association with trust.",Search,2020,,"Jue  Li, Chun  Meng, Long  Liu",AHFE,,10.1007/978-3-030-51758-8_5,https://doi.org/10.1007/978-3-030-51758-8_5,https://semanticscholar.org/paper/76a62c21c85032d948af5be3b711e079c5de6db3,,"Trust was recognized as a key element in automation as it relates to the system safety and performance. However, automation trust established in research of automation industry may not be used directly into automated driving system. In order to identify automation trust in automated driving, a semi-structed interview was conducted based on a systematic review of automation trust with potential users. Results show that factors related to the vehicle itself, specifically its reliability, had the greatest association with trust. And it is difficult to apply automation trust theory directly to human-automated vehicle interaction as the driving task itself is dangerous and user of automated vehicle (AV) are usually not skilled operators. This study provides a new lens for conceptualizing automation trust, which can be applied to help guide future research and design procedures that enhance driver–automation cooperation.",,Systematic Review
Trust in Automation: A Critical Review,"Automation has opened new doors for solution of long standing problems, but at same time has posed new challenges in human-machine interaction.",Search,2015,,"Janmejay  Pradhan, Inder  Singh, Anjali  Samal",,,,,https://semanticscholar.org/paper/7fd0679173579c8bd2bda8fe2efc0a02a5e4bafd,,"Current era of time can be characterized by the use of sophisticated instruments in almost all walks of life. These gadgets are handling those functions which were previously done by humans. Transfers of functions have thrown light on new avenues of knowledge pursuit. New horizons are being probed in general and reliability of the automated machines in particular. Human operators develop a state of trust while working on these machines. This paper has deliberated on the different aspects on trust in automated systems with the issues pertaining to use, misuse and disuse of the automation. Automation has opened new doors for solution of long standing problems, but at same time has posed new challenges in human-machine interaction.",,Review
Adaptive Cognitive Mechanisms to Maintain Calibrated Trust and Reliance in Automation,Trust calibration for a human-machine team is the process by which a human adjusts their expectations of the automation’s reliability and trustworthiness.,Search,2021,,"Christian  Lebiere, Leslie M. Blaha, Corey K. Fallon, Brett  Jefferson",Frontiers in Robotics and AI,,10.3389/frobt.2021.652776,https://doi.org/10.3389/frobt.2021.652776,https://semanticscholar.org/paper/487686514f14e7504c4336902ce292d158c2a812,https://www.frontiersin.org/articles/10.3389/frobt.2021.652776/pdf,"Trust calibration for a human–machine team is the process by which a human adjusts their expectations of the automation’s reliability and trustworthiness; adaptive support for trust calibration is needed to engender appropriate reliance on automation. Herein, we leverage an instance-based learning ACT-R cognitive model of decisions to obtain and rely on an automated assistant for visual search in a UAV interface. This cognitive model matches well with the human predictive power statistics measuring reliance decisions; we obtain from the model an internal estimate of automation reliability that mirrors human subjective ratings. The model is able to predict the effect of various potential disruptions, such as environmental changes or particular classes of adversarial intrusions on human trust in automation. Finally, we consider the use of model predictions to improve automation transparency that account for human cognitive biases in order to optimize the bidirectional interaction between human and machine through supporting trust calibration. The implications of our findings for the design of reliable and trustworthy automation are discussed.",,
Trust in Automated Vehicles,The issue of trust in automated technology becomes more salient the more the driver delegates control to the vehicle.,Search,2018,5,"Alexander G. Mirnig, Sandra  Trösterer, Alexander  Meschtscherjakov, Magdalena  Gärtner, Manfred  Tscheligi",i-com,,10.1515/icom-2017-0031,https://doi.org/10.1515/icom-2017-0031,https://semanticscholar.org/paper/7f87e52729ca0d95b6bec9ccfb05fd04864cb6eb,,"Abstract Increasing degrees of automation in on-road vehicles bear great potential for heightened driver safety and traffic efficiency in both the near and far future. The more the driver delegates control to the vehicle, the more salient the issue of trust in automated technology becomes. Misaligned trust can lead to mishandling of automation controls in individual instances and decreases the general acceptance of on-road automation on a broader scale. In this paper, we apply insights from trust research for dynamic web service interaction to the novel automated driving domain, in order to scope the problem space regarding trust in automated vehicles. We conclude that the appropriate communication of trustworthiness, the necessity to calibrate trust, the importance of intervention capabilities by the driver, and the unambiguous transparency of locus of control are all important aspects when in comes to understanding trust in automated vehicles.",,
The role of trust in automation reliance,Viewing slides of Fort Sill terrain and indicating the presence or absence of a camouflaged soldier involves trust in automation.,Search,2003,783,"Mary T. Dzindolet, Scott A. Peterson, Regina A. Pomranky, Linda G. Pierce, Hall P. Beck",Int. J. Hum. Comput. Stud.,,10.1016/S1071-5819(03)00038-7,https://doi.org/10.1016/S1071-5819(03)00038-7,https://semanticscholar.org/paper/b0e89da3eb67767b63ca5c23c233238f70263ae7,,"A recent and dramatic increase in the use of automation has not yielded comparable improvements in performance. Researchers have found human operators often underutilize (disuse) and overly rely on (misuse) automated aids (Parasuraman and Riley, 1997). Three studies were performed with Cameron University students to explore the relationship among automation reliability, trust, and reliance. With the assistance of an automated decision aid, participants viewed slides of Fort Sill terrain and indicated the presence or absence of a camouflaged soldier. Results from the three studies indicate that trust is an important factor in understanding automation reliance decisions. Participants initially considered the automated decision aid trustworthy and reliable. After observing the automated aid make errors, participants distrusted even reliable aids, unless an explanation was provided regarding why the aid might err. Knowing why the aid might err increased trust in the decision aid and increased automation reliance, even when the trust was unwarranted. Our studies suggest a need for future research focused on understanding automation use, examining individual differences in automation reliance, and developing valid and reliable self-report measures of trust in automation.",,
Towards Dependable Automation,Information security for automation systems should be based on the dependability required from automation.,Search,2015,3,"Jari  Seppälä, Mikko  Salmenperä",,,10.1007/978-3-319-18302-2_15,https://doi.org/10.1007/978-3-319-18302-2_15,https://semanticscholar.org/paper/3156203bce173598b1e6cb4ced972cf47f9a02ac,,"Automation runs the modern society and it’s critical systems. It is a networked software product depending on the co-operation of old and new technologies. Information security for automation systems should be regarded in light of the most important quality required from automation—dependability. This chapter focuses on process of developing dependable solutions for the entire lifecycle of automation systems. The approach includes a guideline for securing automation and a dependability model that is a data flow model extended with security and automation requirements. Results of this analysis should be used in final requirement specification for implementation. Dependability model is the key tool in secure development lifecycle. It can be used in new product development, improving an old automation system and also during the active lifecycle of automation to manage inevitable changes occurring during the entire lifespan of automation system.",,
