Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Assessing the Trustworthiness of Drivers,Evidence captured by cross-brand comparison can reveal if drivers are trustworthy.,Search,2012,3,"Shengzhi  Zhang, Peng  Liu",RAID,,10.1007/978-3-642-33338-5_3,https://doi.org/10.1007/978-3-642-33338-5_3,https://semanticscholar.org/paper/7f02b1e54db5827c762e50eaf546c8dbe77fabf5,https://s2.ist.psu.edu/paper/RAID12-shengzhi-final-version.pdf,"Drivers, especially third party drivers, could contain malicious code (e.g., logic bombs) or carefully designed-in vulnerabilities. Generally, it is extremely difficult for static analysis to identify these code and vulnerabilities. Without knowing the exact triggers that cause the execution/exploitation of these code/vulnerabilities, dynamic taint analysis cannot help either. In this paper, we propose a novel cross-brand comparison approach to assess the drivers in a honeypot or testing environment. Through hardware virtualization, we design and deploy diverse-drivers based replicas to compare the runtime behaviour of the drivers developed by different vendors. Whenever the malicious code is executed or vulnerability is exploited, our analysis can capture the evidence of malicious driver behaviour through comparison and difference telling. Evaluation shows that it can faithfully reveal various kernel integrity/confidentiality manipulation and resource starvation attacks launched by compromised drivers, thus to assess the trustworthiness of the evaluated drivers.",,
An investigation into sharing economy enabled ridesharing drivers' trust: A qualitative study,"The key factors influencing trust-in-passenger are driving expenses, social interactions, enjoyment, cancelling the order, paying on time, politeness, appearance, rating and online reviews.",Search,2020,16,"Xusen  Cheng, Linlin  Su, Bo  Yang",Electron. Commer. Res. Appl.,,10.1016/j.elerap.2020.100956,https://doi.org/10.1016/j.elerap.2020.100956,https://semanticscholar.org/paper/4b783e9d1ba5b77662134e0967a39a217e09da24,,"Abstract The sharing economy enabled ridesharing has received much attention as a means of releasing the traffic pressure and maximizing car resource utilization. There is a lack of drivers sharing cars due to a trust issue in ridesharing. In order to understand the drivers’ trust and sharing intention in ridesharing, this study used a qualitative research method regarding uncertainty reduction theory (URT) as the main theoretical framework. By conducting and analysing interviews with the ridesharing drivers in China, this paper demonstrates that the key factors influencing trust-in-passenger are driving expenses, social interactions, enjoyment, cancelling the order, paying on time, politeness, appearance, rating and online reviews. We have also proposed a trust traffic-light model (TLM) of ridesharing as well as a ridesharing drivers’ trust (RDT) onion model to understand the importance of each factor and to exhibit them all. Meanwhile, trust-in-passenger influences the drivers’ sharing intention. This paper contributes to the field of ridesharing and trust.",,Review
Classifying driver's uncertainty for developing trustworthy assistance systems,ADAS can reduce the number of accidents on the road.,Search,2014,3,"Fei  Yan, Lars  Weber, Andreas  Lüdtke",NordiCHI,,10.1145/2639189.2670265,https://doi.org/10.1145/2639189.2670265,https://semanticscholar.org/paper/d3b0d3089fdf4b4687ffbe64978eff9ae75dbe9b,,"This paper presents the results of a first step in a longer - term research approach to investigate the influence of uncertainty on drivers' trust in Advanced Driver Assistance Systems (ADAS). The first step is to classify driver's uncertainty in lane changing situations. In a pilot study(n=5), the effect of distance gap on driver's uncertainty was studied using a driving simulator. The results indicated a U shaped relationship between distance gaps, reaction times and uncertainty scores.",,
Who do Taxi Drivers Trust?,Driving a taxi is dangerous and can be devastating.,Search,2006,3,"Heather  Hamill, Diego  Gambetta",,,10.1525/CTX.2006.5.3.29,https://doi.org/10.1525/CTX.2006.5.3.29,https://semanticscholar.org/paper/41105e65bd025f24655446118b284007169a073d,,"Driving a taxi is dangerous, and picking up the wrong fare can be devastating. Yet drivers only have a moment to make a choice.",,
The effect of reliability on drivers’ trust and behavior in conditional automation,The development of automated vehicles continues unabated.,Search,2018,13,"Chris  Schwarz, John G. Gaspar, Timothy L. Brown","Cognition, Technology & Work",,10.1007/s10111-018-0522-y,https://doi.org/10.1007/s10111-018-0522-y,https://semanticscholar.org/paper/4fb3f56acc8aa8572a0b00fa18d3e971cc9d0b64,,"The development of automated vehicles continues unabated. The human factor challenges of designing safe automated driving systems are critical as the first several generations of automated vehicles are expected to be semi-autonomous, requiring frequent transfers of control between the driver and vehicle. Conditional automation raises particular concerns about drivers being out of the loop. A driving simulator study was performed with 20 participants to study driving with conditional automation. We observed driver performance and measured comfort as an indicator of the development of trust in the system. One scenario used a more capable automation system that was able to respond to most events by slowing or changing lanes on its own. The other scenario used a less capable automation system that issued takeover requests for all events. Participants drove both scenarios in counterbalanced order and experienced the different capabilities as changes in reliability. The automation would behave one way in the first work zone and a different way in the second. We observed three types of comfort profiles over the course of the drives. Several behavioral measures, notably gaze, showed effects of reliability variations. Trust calibrated during the first-driven scenario was seen to affect behavior during the second one, and this effect was more pronounced in the older age group, and most pronounced for women in that group.",,RCT
Trust and the use of adaptive cruise control: a study of a cut-in situation,Drivers who brake after the beginning of the device's regulation demonstrate a higher level of trust in the device.,Search,2006,63,"Bako  Rajaonah, Françoise  Anceaux, Fabrice  Vienne","Cognition, Technology & Work",,10.1007/s10111-006-0030-3,https://doi.org/10.1007/s10111-006-0030-3,https://semanticscholar.org/paper/0544a8257f791474646674d877ea186bc76691c9,,"This paper analyses driver trust and performance when using adaptive cruise control (ACC) in a situation involving a truck cutting into the lane in front of the ACC-equipped vehicle. The study was carried out using a mini driving simulator and a simulated ACC whose reference speed and time headway (THW) were preset to 130 km/h and 1.5 s, respectively. Questionnaires were used to analyse driver trust. Two kinds of drivers emerge from the analysis of driver behaviour during the cut-in situation: drivers who reclaimed control from the ACC before the device began to regulate the THW with regard to the truck, and drivers who braked after the device had begun its regulation. The latter demonstrated a higher level of trust in the ACC device itself while the former had a higher level of trust in the cooperation with the device. These findings are discussed in terms of over-reliance and well-calibrated trust.",,
Driver‘s reliability and its effect on road traffic safety,The driver is the weakest part of the human-machine DARE system limiting its efficiency and reliability.,Search,2019,2,"Davis  Buss, Kairatolla  Abishev, Almagul N. Baltabekova",Procedia Computer Science,,10.1016/J.PROCS.2019.01.163,https://doi.org/10.1016/J.PROCS.2019.01.163,https://semanticscholar.org/paper/ed9a0a9161bd404b8d0b19973c50b157e464dde7,,"Abstract A driver of a vehicle is a main part of “driver – automobile – road – environment” (DARE) system, sustainable functioning of which determines the effectivity and safety of the road traffic. The driver as an operatof of DARE system gets most of the information from the road, scilicet from moving and stationery objects on it, traffic signs, traffic lights, condition of the surface and traffic environment. Analysis of the majority of road accidents demonstrates that the weakest part of human-machine DARE system limiting its efficency and reliability is a human. To provide necessary reliability and safety the driver of any vehicle has to be cautious. It is maintained by the appropriate psychophysiological condition which is in turn affected by many factors. In the article the analysis of research works considering the effect of different factors on the vehicle driver’s reliability is presented. The means and methods of research conducting are described. The recomendations on constructing the stand for research of the effect of driver’s psychophysiological condition on road traffic safety are given.",,
Augmenting the Technology Acceptance Model with Trust: Commercial Drivers’ Attitudes towards Monitoring and Feedback,The results of the study demonstrated that perceived usefulness is the most important determinant of intention to use an on-board monitoring system.,Search,2012,69,"Mahtab  Ghazizadeh, Yiyun  Peng, John D. Lee, Linda Ng Boyle",,,10.1177/1071181312561481,https://doi.org/10.1177/1071181312561481,https://semanticscholar.org/paper/f420432089c5dc56523949f6fa0ec3e499024a80,,"This study evaluates truck drivers’ attitudes toward an on-board monitoring system (OBMS), using an extended version of the Technology Acceptance Model (TAM) that accounts for drivers’ trust in OBMS. Crashes that involve trucks incur a high cost to society and driver-related factors contribute to about one third of all large truck fatal crashes in the US. Therefore, safety initiatives that can increase drivers’ awareness of their risky behaviors are highly desirable. In-vehicle feedback systems are designed to serve this purpose; however, their benefits will not be realized unless their information can positively influence safe driving. Acceptance constructs for the proposed model were measured using a survey administered after the monitoring system was introduced to the drivers but before the system was actually installed in their trucks. In line with the TAM, the results demonstrated that perceived usefulness is the most important determinant of intention to use the OBMS. Trust was also a major determinant of intention to use, suggesting that the acceptance model can be usefully augmented by this construct.",,
Driver's Trust in Automted Driving when Passing Other Traffic Objects,The automated passing speed was considered an appropriate one if automated vehicles take the same or slightly slower speed compared to manual driving.,Search,2015,9,"Genya  Abe, Kenji  Sato, Makoto  Itoh","2015 IEEE International Conference on Systems, Man, and Cybernetics",,10.1109/SMC.2015.165,https://doi.org/10.1109/SMC.2015.165,https://semanticscholar.org/paper/58cba0c9f98295f0e04e638fb610e36597f6712a,,"The aim of this study was to investigate perspectives for securing driver's trust in automated driving. We considered driving scenes of passing other traffic objects (a bicycle or a scooter) and the relationship between the drivers' trust and the variety of speeding, taking lateral distance and steering timing by automated driving. A driving simulator study was implemented to investigate effects of applying characteristics of manual driving for each driver into design on drivers' trust when passing the objects. The results showed that driver's trust was affected by driver subjective speed, lateral distance and steering timing for automated driving. A longer lateral distance and an earlier steering timing for automated driving compared to manual driving contributed to subjectively appropriate speed and steering timing. Moreover the automated passing speed was regarded as an appropriate one if automated vehicles take the same or slightly slower speed compared to manual driving.",,
Driver trust in five driver assistance technologies following real-world use in four production vehicles,Driver trust in adaptive cruise control and side-view assist may affect real-world use of driver assistance technologies.,Search,2017,30,"David G Kidd, Jessica B Cicchino, Ian J Reagan, Laura B Kerfoot",Traffic injury prevention,,10.1080/15389588.2017.1297532,https://doi.org/10.1080/15389588.2017.1297532,https://semanticscholar.org/paper/125cb750e95650c2350ce5f2bcfd276a94ed9430,https://www.tandfonline.com/doi/pdf/10.1080/15389588.2017.1297532?needAccess=true,"ABSTRACT Objectives: Information about drivers' experiences with driver assistance technologies in real driving conditions is sparse. This study characterized driver interactions with forward collision warning, adaptive cruise control, active lane keeping, side-view assist, and lane departure warning systems following real-world use. Methods: Fifty-four Insurance Institute for Highway Safety employees participated and drove a 2016 Toyota Prius, 2016 Honda Civic, 2017 Audi Q7, or 2016 Infiniti QX60 for up to several weeks. Participants reported mileage and warnings from the technologies in an online daily-use survey. Participants reported their level of agreement with five statements regarding trust in an online post-use survey. Responses were averaged to create a composite measure of trust ranging from −2 (strongly disagree) to +2 (strongly agree) for each technology. Mixed-effect regression models were constructed to compare trust among technologies and separately among the study vehicles. Participants' free-response answers about what they liked least about each system were coded and examined. Results: Participants reported driving 33,584 miles during 4 months of data collection. At least one forward collision warning was reported in 26% of the 354 daily reports. The proportion of daily reports indicating a forward collision warning was much larger for the Honda (70%) than for the Audi (18%), Infiniti (15%), and Toyota (10%). Trust was highest for side-view assist (0.98) and lowest for active lane keeping (0.20). Trust in side-view assist was significantly higher than trust in active lane keeping and lane departure warning (0.53). Trust in active lane keeping was significantly lower than trust in adaptive cruise control (0.67) and forward collision warning (0.71). Trust in adaptive cruise control was higher for the Audi (0.72) and Toyota (0.75) compared with the Honda (0.30), and significantly higher for the Infiniti (0.93). Trust in Infiniti's side-view assist (0.58) was significantly lower than trust in Audi (1.17) and Honda (1.23) systems. Coding of answers to free-response questions showed that more than 80% of complaints about Honda's adaptive cruise control were about the way it functioned and/or performed. Infiniti's side-view assist was the only one with complaints mentioning circumstances where it was used. Trust in forward collision warning, lane departure warning, and active lane keeping was not significantly different among vehicles. Conclusions: Driver trust varied among driver assistance technologies, and trust in adaptive cruise control and side-view assist differed among vehicles. Trust may affect real-world use of driver assistance technologies and limit the opportunity for the systems to provide their intended benefits.",,
