Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Trustworthy Framework for Insider Attack Prevention and Detection,A virtual machine monitor that enforces the principle of least privilege is part of a trustworthy cloud computing architecture.,Search,2019,,,Detection and Mitigation of Insider Attacks in a Cloud Infrastructure,,10.4018/978-1-5225-7924-3.ch005,https://doi.org/10.4018/978-1-5225-7924-3.ch005,https://semanticscholar.org/paper/5ae5291df7aeab658e356ee5a5a79eae0d2e0d37,,"This chapter introduces a trustworthy cloud computing architecture that uses the security properties offered by a virtual machine monitor that enforces the principle of least privilege. These security properties are a strong building block to provide trustworthy cloud computing services to cloud consumers. This chapter briefly explained about a proposed system to prevent insider attacks in cloud environment from cloud consumer and cloud service provider perspectives. The proposed framework is initiating how virtual machines are providing the most reliable security materials of the cloud computing architecture. For cloud consumers, the proposed architecture allocates the well-built security materials of the reliable cloud computing services.",,
Developing a trustworthy computing framework for clouds,The concept of tailored trustworthy spaces (TTSs) has been proposed to build a trustworthy cyberspace and solve the trust and security issues in clouds.,Search,2016,8,"Chenlin  Huang, Ligang  He, Xiangke  Liao, Huadong  Dai, Mengluo  Ji",Int. J. Embed. Syst.,,10.1504/IJES.2016.073753,https://doi.org/10.1504/IJES.2016.073753,https://semanticscholar.org/paper/59f97e68626c5411925e0c0e6b710070ef4950c8,,"The concept of tailored trustworthy spaces (TTSs) has been proposed to build a trustworthy cyberspace and solve the trust and security issues in clouds. However, the problem of building a trustworthy cloud infrastructure to support TTS has not been addressed yet. In this paper, we aim to coordinate trust and security, and propose a trust-based cloud security framework, called trustworthy computing framework (TwCF), for TTS. In this framework, the application-aware policy is adopted to suit the users' security contents. A trust management framework is designed to manage trust, security and policies, and fulfil the trust negotiation and decision-making in TTS. The platform security mechanisms concerning the key elements in cloud security are designed to assure the deployment of security policies. In this paper, the key elements and emerging research issues in TwCF are identified and a case study of establishing a TTS in platform as a service (PaaS) is presented.",,
A security characterisation framework for trustworthy component based software systems,Characterising the security properties of software components is essential to developing trustworthy compositional contracts.,Search,2003,49,"Khaled M. Khan, Jun  Han",Proceedings 27th Annual International Computer Software and Applications Conference. COMPAC 2003,,10.1109/CMPSAC.2003.1245337,https://doi.org/10.1109/CMPSAC.2003.1245337,https://semanticscholar.org/paper/0d573c91ad266982175a7a3a98d272fc9a49455b,,"This paper explores how to characterize security properties of software components, and how to reason about their suitability for a trustworthy compositional contract. Our framework provides an explicit opportunity for software composers as well as software components to test a priori security properties of software components in a system composition. The proposed framework uses logic programming as a tool to represent security properties of atomic components and reason about their compositional matching with other components. This enables software components as well as composers to ""test"" possible matches and mismatches between the security properties of the candidate components and the security requirements of the enclosing applications systems.",,
A Trust-Aware Framework for Evaluating Security Controls of Service Providers in Cloud Marketplaces,A trust-aware security evaluation framework could be useful for determining trustworthy cloud providers.,Search,2013,40,"Sheikh Mahbub Habib, Vijay  Varadharajan, Max  Mühlhäuser","2013 12th IEEE International Conference on Trust, Security and Privacy in Computing and Communications",,10.1109/TrustCom.2013.58,https://doi.org/10.1109/TrustCom.2013.58,https://semanticscholar.org/paper/a888b1d9cc3729450771683afd26ba0091019f42,,"Trustworthy selection of cloud services has become a significant issue in emerging cloud marketplaces. As a consequence, the Cloud Security Alliance (CSA) has formulated a self-assessment framework for cloud providers to publish their cloud platform's security controls and capabilities. This framework enables consumers to select a cloud service based on the capabilities and controls published by the providers. However, a fundamental question that arises is, how can consumers trust that the security controls are satisfied as claimed by the providers and are compliant with consumers' requirements. This paper proposes a trust-aware framework to verify and evaluate these security controls considering consumers' requirements. First, we model the security controls in the form of trust properties. Then, we introduce a taxonomy of these properties based on their semantics and identify the authorities who can validate the properties. The taxonomy of these properties is the basis of trust formalisation in our proposed framework. The framework rests on the notion of hybrid trust that combines hard and soft trust mechanisms for verifying the trust properties. Furthermore, a decision model is proposed as an integral part of the framework in order to empower consumers to determine trustworthiness of cloud providers. Finally, we demonstrate that the proposed trust-aware security evaluation framework could be potentially useful in practice for consumers to determine trustworthy cloud providers in a competitive marketplace.",,
A Framework for Trustworthiness Assessment based on Fidelity in Cyber and Physical Domains,A method for the assessment of trust for n-open systems based on a measurement of fidelity.,Search,2015,8,"Vincenzo De Florio, Giuseppe  Primiero",ANT/SEIT,,10.1016/j.procs.2015.05.092,https://doi.org/10.1016/j.procs.2015.05.092,https://semanticscholar.org/paper/6c64b85659445853a965d0ba3c9590b0d284e92a,https://eprints.mdx.ac.uk/16805/1/1-s2.0-S1877050915008923-main.pdf,We introduce a method for the assessment of trust for n-open systems based on a measurement of fidelity and present a prototypical implementation of a complaint architecture. We construct a MAPE loop which monitors the compliance between corresponding figures of interest in cyber- and physical domains; derive measures of the system's trustworthiness; and use them to plan and execute actions aiming at guaranteeing system safety and resilience. We conclude with a view on our future work.,,
Framework for Trustworthy Software Development,"A blockchain enabled governance framework can record, monitor, and analyze activities throughout the application development life cycle.",Search,2019,1,"R. P. Jagadeesh Chandra Bose, Kapil  Singi, Vikrant  Kaulgud, Kanchanjot Kaur Phokela, Sanjay  Podder",2019 34th IEEE/ACM International Conference on Automated Software Engineering Workshop (ASEW),,10.1109/ASEW.2019.00027,https://doi.org/10.1109/ASEW.2019.00027,https://semanticscholar.org/paper/e671cc99b00e17b08c2ad7cfa63d9f3c15fc70c1,,"Intelligent software applications are becoming ubiquitous and pervasive affecting various aspects of our lives and livelihoods. At the same time, the risks to which these systems expose the organizations and end users are growing dramatically. Trustworthiness of software applications is becoming a paramount necessity. Trust is to be regarded as a first-class citizen in the total product life cycle and should be addressed across all stages of software development. Trust can be looked at from two facets: one at an algorithmic level (e.g., bias-free, discrimination-aware, explainable and interpretable techniques) and the other at a process level by making development processes more transparent, auditable, and adhering to regulations and best practices. In this paper, we address the latter and propose a blockchain enabled governance framework for building trustworthy software. Our framework supports the recording, monitoring, and analysis of various activities throughout the application development life cycle thereby bringing in transparency and auditability. It facilitates the specification of regulations and best practices and verifies for its adherence raising alerts of non-compliance and prescribes remedial measures.",,
Trustworthy multi-modal framework for life-critical systems security,A multiple mode based software design approach of operation with a fail-safe mode that maintains critical functionality is a trustworthy framework for life-critical systems security and safety.,Search,2018,3,"Aakarsh  Rao, Jerzy W. Rozenblit, Roman L. Lysecky, Johannes  Sametinger",SpringSim,,10.22360/springsim.2018.anss.026,https://doi.org/10.22360/springsim.2018.anss.026,https://semanticscholar.org/paper/9bd61babafd54419414b5d7951b7e2b30c05d291,,"With the advent of network connectivity and complex software applications, life-critical systems like medical devices are subject to a plethora of security risks and vulnerabilities. Security threats and attacks exploiting these vulnerabilities have been shown to compromise patient safety by hampering essential functionality. This necessitates incorporating security from the very design of software. Isolation of software functionality into different modes and switching between them based on risk assessment, while maintaining a fail-safe mode ensuring device's essential functionality is a compelling design. Formal modeling is an essential ingredient for verification of such a design. Hence, in this paper, we formally model a trustworthy multi-modal framework for life-critical systems security and in turn safety. We formalize a multiple mode based software design approach of operation with a fail-safe mode that maintains critical functionality. We ensure trustworthyness by formalizing a composite risk model incorporated into the design for run-time risk assessment and management.",,
Trust Framework for IAAS—A Tool Based on Security Checks Through Standards and Certifications,"A ""trust framework"" can calculate the trustworthiness of cloud providers on the basis of security coverage of standards and certification.",Search,2018,1,"Archana B. Saxena, Meenu  Dawe",Information and Communication Technology for Intelligent Systems,,10.1007/978-981-13-1747-7_35,https://doi.org/10.1007/978-981-13-1747-7_35,https://semanticscholar.org/paper/af17dbc60a3ab35e48c04bbb552128f6a0f675e6,,"The admiration and acceptance of cloud computing by masses has fuelled the concern to look into the critical issues faced by technology to make it a seamless and trusty solution of information systems, communication, and information security. Two challenges that are hampering the success of this technology are: security and trust. When security is assured, trust will forte and security lapse will definitely have a negative impact on trust. In this paper, we introduce a novel trust model that is based on security coverage through standards and certifications. To address these issues, author has kept a twofold aim for this paper: firstly logged all the factors that are considered imperative for IAAS security and verify how provider is assuring security related to these factors. Second is to present a “trust framework” that will calculate trustworthiness of cloud provider on the basis of security coverage of above-mentioned factors through standards and certification attained by cloud provider. The proposed solution can calculate two types of trust factors: overall trust factor (OTF) and service-specific trust factor (SSTF). This framework can assist cloud consumer in electing cloud provider for IAAS.",,
RT framework based on trusted computing platform,A trusted computing platform may provide safe storage for credentials and keys in a trust management system.,Search,2008,,"Xiuhua  Geng, Zhen  Han, Ying  Cai",2008 9th International Conference on Signal Processing,,10.1109/ICOSP.2008.4697723,https://doi.org/10.1109/ICOSP.2008.4697723,https://semanticscholar.org/paper/0bf2b43b77ec796fe2dc07fd58cb147c8bbdb618,,"In this paper, we propose a new role-based trust management framework which is based on trusted computing platform. Trusted computing platform may provide safe storage for credentials and keys in trust management system. As making authorization decision, the userpsilas properties and the platformpsilas properties are all needed to be checked. Hence, this approach can greatly improve the security and autonomy of the role-based framework. We give the general form of platform credentials, the unified security policy and compliance checking algorithm.",,
An agile framework for trustworthy AI,The AI High Level Expert Group ethics guidelines present a list of requirements that trustworthy AI systems should meet.,Search,2020,2,"Stefan  Leijnen, Huib  Aldewereld, Rudy van Belkom, Roland  Bijvank, Roelant  Ossewaarde",NeHuAI@ECAI,,,,https://semanticscholar.org/paper/880049a16c8fea47dcfe07450668f5507db5e96d,,"From the article: The ethics guidelines put forward by the AI High Level Expert Group (AI-HLEG) present a list of seven key requirements that Human-centered, trustworthy AI systems should meet. These guidelines are useful for the evaluation of AI systems, but can be complemented by applied methods and tools for the development of trustworthy AI systems in practice. In this position paper we propose a framework for translating the AI-HLEG ethics guidelines into the specific context within which an AI system operates. This approach aligns well with a set of Agile principles commonly employed in software engineering. http://ceur-ws.org/Vol-2659/",,
