Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
"Trustworthy Machine Learning: Past, Present, and Future","Machine-learning algorithms, especially deep neural networks, are being used in diverse domains where trustworthiness is a concern.",Search,2021,,Somesh  Jha,AsiaCCS,,10.1145/3433210.3460015,https://doi.org/10.1145/3433210.3460015,https://semanticscholar.org/paper/dc61605f0b7feb3f560118dbd280e5a6f4a4c939,,"Fueled by massive amounts of data, models produced by machine-learning (ML) algorithms, especially deep neural networks (DNNs), are being used in diverse domains where trustworthiness is a concern, including automotive systems, finance, healthcare, natural language processing, and malware detection. Of particular concern is the use of ML algorithms in cyber-physical systems (CPS), such as self-driving cars and aviation, where an adversary can cause serious consequences. Interest in this area of research has simply exploded. In this work, we will cover the state-of-the-art in trustworthy machine learning, and then cover some interesting future trends.",,
Can We Trust Machines? The Role of Trust in Technological Environments,Machines can be trusted on terms they are trustworthy.,Search,2020,2,Adriano  Fabris,"Studies in Applied Philosophy, Epistemology and Rational Ethics",,10.1007/978-3-030-44018-3_9,https://doi.org/10.1007/978-3-030-44018-3_9,https://semanticscholar.org/paper/b7415a498fcd03b654d1312d37a8421966d32406,,"In this paper, I will deal with trust in technological devices. Nowadays, we are led to trust AI machines, extending the notion of “trust” to our relationship with such devices. After reviewing different forms of trust and showing that trust is inextricably linked with a sort of fear, this paper will try to relate all this to the ethical judgement we can form about what machines “do” as well as about the machines themselves. Prompted by this, the paper will discuss the case of a recent attempt made by the EU at working out ethical guidelines for a trustworthy AI. To conclude, it will try to answer the above question—can we trust machines? –and accurately define on what terms they can be trusted.",,Review
Technologies for Trustworthy Machine Learning: A Survey in a Socio-Technical Context,"Technologies that support building trustworthy machine learning systems require knowledge in fair, explainable, auditable, and safe & secure properties.",Search,2020,3,"Ehsan  Toreini, Mhairi  Aitken, Kovila P. L. Coopamootoo, Karen  Elliott, Vladimiro  González-Zelaya, Paolo  Missier, Magdalene  Ng, Aad van Moorsel",ArXiv,,,,https://semanticscholar.org/paper/5f34f91329e15d855fe9e08069c4c556c3e66f7f,,"Concerns about the societal impact of AI-based services and systems has encouraged governments and other organisations around the world to propose AI policy frameworks to address fairness, accountability, transparency and related topics. To achieve the objectives of these frameworks, the data and software engineers who build machine-learning systems require knowledge about a variety of relevant supporting tools and techniques. In this paper we provide an overview of technologies that support building trustworthy machine learning systems, i.e., systems whose properties justify that people place trust in them. We argue that four categories of system properties are instrumental in achieving the policy objectives, namely fairness, explainability, auditability and safety & security (FEAS). We discuss how these properties need to be considered across all stages of the machine learning life cycle, from data collection through run-time model inference. As a consequence, we survey in this paper the main technologies with respect to all four of the FEAS properties, for data-centric as well as model-centric stages of the machine learning system life cycle. We conclude with an identification of open research problems, with a particular focus on the connection between trustworthy machine learning technologies and their implications for individuals and society.",,Review
Machine to Machine Trust in the IoT Era,(1) pairwise similarity based feedback credibility and (2) threshold-controlled trust propagation.,Search,2016,17,"Ling  Liu, Margaret  Loper, Yusuf  Özkaya, Abdurrahman  Yasar, Emre  Yigitoglu",TRUST@AAMAS,,,,https://semanticscholar.org/paper/73aed4bdace4a7fe4248df78a0f0d3f97c043469,,"Machine to machine communications are at the center stage of the Internet of things (IoT). Connecting the physical world with the digital world not only creates new opportunities for innovation and discovery, but also opens doors for misuse and abuse. This paper argues that reputation based trust can be an effective countermeasure for securing machine-to-machine communications. We propose to establish machine-to-machine trust by taking into account both transaction/interaction service behaviors and feedback rating behaviors in the presence of bogus transactions and dishonest feedbacks. Our machine-to-machine trust model, called M2MTrust, introduces two novel trust metrics: (1) pairwise similarity based feedback credibility and (2) threshold-controlled trust propagation. We compute the direct trust from machine A to machine B by utilizing their pairwise rating similarity as the weight to the normalized aggregate of ratings that A has given to B. Our direct trust computation model can effectively constrain malicious nodes to gain direct trusts from dishonest feedback ratings by leveraging feedback credibility. Furthermore, our threshold-controlled trust propagation mechanism can successfully block the trust propagation from good nodes to malicious nodes. We conduct extensive experiments using simulation and real datasets and the experimental results show that M2MTrust significantly outperforms other trust metrics in terms of both attack resilience and performance in the presence of dishonest feedbacks and sparse feedback ratings against four representative attack models.",,
Trust in social machines: the challenges,The notions of trust often used in social machines research are imported from agent-based computing.,Search,2012,14,Kieron  O'Hara,,,,,https://semanticscholar.org/paper/68fb0224d56458915a291dde069fb16a606a8da2,,"The World Wide Web has ushered in a new generation of applications constructively linking people and computers to create what have been called ‘social machines.’ The ‘components’ of these machines are people and technologies. It has long been recognised that for people to participate in social machines, they have to trust the processes. However, the notions of trust often used tend to be imported from agent-based computing, and may be too formal, objective and selective to describe human trust accurately. This paper applies a theory of human trust to social machines research, and sets out some of the challenges to system designers.",,
Processor Architecture for Trustworthy Computers,"Computer architects need to design more trustworthy computers that protect a user’s information, computations and communications from attacks by malicious adversaries.",Search,2005,,Ruby B. Lee,Asia-Pacific Computer Systems Architecture Conference,,10.1007/11572961_1,https://doi.org/10.1007/11572961_1,https://semanticscholar.org/paper/9cc4b3082377ac27f268849e78eb09118971abb7,,"We propose that computer architects need to design more trustworthy computers that protect a user’s information, computations and communications from attacks by malicious adversaries. This is in addition to providing current engineering goals of higher performance, lower cost, lower power consumption and smaller footprint.",,
Trustworthy Voting: From Machine to System,"The electronic voting approach incorporates a trustworthy process, simplified procedures, and built-in redundant safeguards that prevent tampering.",Search,2009,28,"Nathanael  Paul, Andrew S. Tanenbaum",Computer,,10.1109/MC.2009.169,https://doi.org/10.1109/MC.2009.169,https://semanticscholar.org/paper/dd75b2fcb8b5117acc2121a47ac74eee9a87303b,,"The authors describe an electronic voting approach that takes a system view, incorporating a trustworthy process based on open source software, simplified procedures, and built-in redundant safeguards that prevent tampering.",,
Trusting your computer to be trusted,The Trusted Computing Group aims to make sure a computer is working to a specified expectation of behavior.,Search,2005,4,Stephen  Mason,,,10.1016/S1361-3723(05)00146-6,https://doi.org/10.1016/S1361-3723(05)00146-6,https://semanticscholar.org/paper/6305a869d0c79b38d4ee7214d7cf9b50a72e8c95,,"The spread of ‘trust’ is unstoppable… The Trusted Computing Group is a movement from the most formidable software and hardware manufacturers in the world to develop an architecture that would improve the underlying security of computers. The Trusted Computing Group aims to make sure a computer is working to a specified expectation of behaviour. This would apply to the problem of malicious code, for example. Malicious code makes a computer behave differently to the expected normality so cannot be hidden. The measurement of such changes in behaviour is done by a Trusted Platform Module, which is implicity trusted and is the core of the trusted computing architecture. Sound too good to be true? Some commentators believe these security benefits could come at a price, which may include digital rights management or privacy compromise. Stephen Mason believes that the implications of Trusted Computing are profound and there are serious concerns, which must be addressed before the technology become ubiquitous, which it is well on the way to becoming. It is axiomatic that computers are not to be trusted. As a tool, they are capable of improving our lives. However, beneficial as computers may be, they are also unsafe. The dangers are obvious, although what you consider is a threat will depend on your perspective. Application software vendors do not always receive licence fees for all of their software running on every computer. Users have to buy anti-virus solutions to protect their computers from attack by malicious code. Owners of secrets have to take precautions to prevent the unauthorized use or theft of sensitive data. Musicians, actresses and authors want to be properly remunerated for their creativity. The range of problems associated with the misuse of computers is manifest, and once a computer is linked into a network, the risks increase considerably.",,
Trustworthy AI,The pursuit of responsible AI raises the ante on both the trustworthy computing and formal methods communities.,Search,2021,7,Jeannette M. Wing,Commun. ACM,,10.1145/3448248,https://doi.org/10.1145/3448248,https://semanticscholar.org/paper/33cf9b4d6c76f988380b1adff2c06c30010f93d3,https://dl.acm.org/doi/pdf/10.1145/3448248,The pursuit of responsible AI raises the ante on both the trustworthy computing and formal methods communities.,,
The road to trustworthy systems,"Computer systems are routinely deployed in life- and mission-critical situations, yet their safety, security or dependability can in most cases not be assured to the degree warranted by the application.",Search,2010,14,"Gernot  Heiser, June  Andronick, Kevin  Elphinstone, Gerwin  Klein, Ihor  Kuz, Leonid  Ryzhyk",STC '10,,10.1145/1867635.1867638,https://doi.org/10.1145/1867635.1867638,https://semanticscholar.org/paper/5fc3fcbe1c14473acfcf28cff29064076a16f5d3,,"Computer systems are routinely deployed in life- and mission-critical situations, yet their security, safety or dependability can in most cases not be assured to the degree warranted by the application. In other words, trusted computer systems are rarely really trustworthy.

We believe that this is highly unsatisfactory, and have embarked on a large research program aimed at bringing reality in line with expectations. In this paper we describe NICTA's research agenda for achieving true trustworthiness in systems. We report on what has been achieved to date, and what our plans are for the next 3-5 years.",,
Trustworthy and personalized computing on public kiosks,Personalized kiosks can be established with a delay to increase the trust in data privacy.,Search,2008,105,"Scott  Garriss, Ramón  Cáceres, Stefan  Berger, Reiner  Sailer, Leendert van Doorn, Xiaolan  Zhang",MobiSys '08,,10.1145/1378600.1378623,https://doi.org/10.1145/1378600.1378623,https://semanticscholar.org/paper/beafabdbd7df228bbdd2a3bb5a463d5869b84983,,"Many people desire ubiquitous access to their personal computing environments. We present a system in which a user leverages a personal mobile device to establish trust in a public computing device, or kiosk, prior to resuming her environment on the kiosk. We have designed a protocol by which the mobile device determines the identity and integrity of all software loaded on the kiosk, in order to inform the user whether the kiosk is trustworthy. Our system exploits emerging hardware security technologies, namely the Trusted Platform Module and new support in x86 processors for establishing a dynamic root of trust. We have demonstrated the viability of our approach by implementing and evaluating our system on commodity hardware. Through a brief survey, we found that respondents are generally willing to endure a delay in exchange for an increased assurance of data privacy, and that the delay incurred by our unoptimized prototype is close to the range tolerable to the respondents. We have focused on allowing the user to personalize a kiosk by running her own virtual machine there. However, our work is generally applicable to establishing trust on public computing devices before revealing any sensitive information to those devices.",,
How trustworthy is trusted computing?,The problem of data security is made worse because users are working with sensitive information more often.,Search,2003,38,Steven J. Vaughan-Nichols,Computer,,10.1109/MC.2003.1185209,https://doi.org/10.1109/MC.2003.1185209,https://semanticscholar.org/paper/6d731499b4dae0b1cfb7511ad93c43b9b7926f5c,,"One of the biggest issues facing computer technology today is data security. The problem has gotten worse because users are working with sensitive information more often, while the number of threats is growing and hackers are developing new types of attacks. Because of this, many technology experts advocate development of trusted computing (TC) systems that integrate data security into their core operations, rather than implementing it via add-on applications. The paper discusses cryptographic trusted computing and trusted computing initiatives.",,
Trustworthy pervasive computing: the hard security problems,"Pervasive computing environments present unique challenges that require a fundamental reexamination of how to build large-scale, trustworthy, distributed systems.",Search,2004,48,Kumar  Ranganathan,"IEEE Annual Conference on Pervasive Computing and Communications Workshops, 2004. Proceedings of the Second",,10.1109/PERCOMW.2004.1276916,https://doi.org/10.1109/PERCOMW.2004.1276916,https://semanticscholar.org/paper/570ae020f434f5f8f8568e84b4a65b8a2eb1bb68,,"We examine five security problems that are barriers to mainstream pervasive computing. These are: device authentication, privacy, trust management, device assurance, recourse, and availability. We argue that the trust, security, and privacy issues inherent in pervasive computing environments present unique challenges that require a fundamental reexamination of how to build large-scale, trustworthy, distributed systems.",,
Toward trustworthy software systems,"Component technology, rigorous design methods, predictable, provable, legally certifiable system properties, error-free claims are impossible.",Search,2006,137,"Wilhelm  Hasselbring, Ralf H. Reussner",Computer,,10.1109/MC.2006.142,https://doi.org/10.1109/MC.2006.142,https://semanticscholar.org/paper/dc436f4d1591410ade952f8116093539d678c33d,,"Organizations such as Microsoft's Trusted Computing Group and Sun Microsystems' Liberty Alliance are currently leading the debate on ""trustworthy computing."" However, these and other initiatives primarily focus on security, and trustworthiness depends on many other attributes. To address this problem, the University of Oldenburg's TrustSoft Graduate School aims to provide a holistic view of trustworthiness in software - one that considers system construction, evaluation/analysis, and certification - in an interdisciplinary setting. Component technology is the foundation of our research program. The choice of a component architecture greatly influences the resulting software systems' nonfunctional properties. We are developing new methods for the rigorous design of trustworthy software systems with predictable, provable, and ultimately legally certifiable system properties. We are well aware that it is impossible to build completely error-free complex software systems. We therefore complement fault-prevention and fault-removal techniques with fault-tolerance methods that introduce redundancy and diversity into software systems. Quantifiable attributes such as availability, reliability, and performance call for analytical prediction models, which require empirical studies for calibration and validation. To consider the legal aspects of software certification and liability, TrustSoft integrates the disciplines of computer science and computer law.",,
