Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Fundamental Trustworthiness Principles,"Various computer system and network principles can advance predictable composability, total-system trustworthiness, high assurance, and other attributes.",Search,2010,4,Peter G. Neumann,,,,,https://semanticscholar.org/paper/2a945412cdcc3fafcced17ddc7c496a6cb04d172,,"Enormous benefits can result from basing requirements, architectures, implementations, and operational practices on well-defined and well-understood generally accepted principles. Furthermore, any set of principles is by itself clearly incomplete. However, considerable experience, understanding, and foresight are needed to use such principles productively. In this document, we itemize, review, and interpret various design and development principles that – if properly understood and applied – can advance predictable composability of components, total-system trustworthiness, high assurance, and other attributes of computer systems and networks. We consider the relative applicability of those principles, as well as some of the problems they may introduce. We also examine the pervasive way in which these design and development principles have inspired and motivated the prototype CHERI architecture.",,Review
Principled assuredly trustworthy composable architectures,Trustworthiness is a key requirement for the success of future information systems.,Search,2003,69,Peter G. Neumann,,,,,https://semanticscholar.org/paper/c0028b8a35a2c3fe0229fc6bc963a23a9f15543a,,viii Executive Summary ix 1 The Foundations of This Report 1 2 Fundamental Principles of Trustworthiness 6 2.,,
Achieving principled assuredly trustworthy composable systems and networks,"Drawing on what has been learned over the past decades, the CHATS project seeks to establish a coherent common-sense approach toward trustworthy systems.",Search,2003,7,Peter G. Neumann,Proceedings DARPA Information Survivability Conference and Exposition,,10.1109/DISCEX.2003.1194962,https://doi.org/10.1109/DISCEX.2003.1194962,https://semanticscholar.org/paper/bc501d0f12e8f30ee11030e1ff77e6408519248c,,"Huge challenges exist with systems and networks that must dependably satisfy stringent requirements for security, reliability, and other attributes of trustworthiness. Drawing on what we have learned over the past decades, our CHATS project seeks to establish a coherent common-sense approach toward trustworthy systems. The approach encompasses comprehensive sets of requirements, inherently sound architectures that can be predictably composed out of well-conceived subsystems, highly principled development techniques, good software engineering disciplines, sound operational practices, and judiciously applied assurance measures. Although such an approach is likely to seem completely old-hat to some researchers and totally impractical to commercial developers, the wisdom thus embodied is seldom used consistently (if at all) in practice; if it were used wisely, much of the untrustworthiness in today's systems would simply disappear. The paper briefly summarizes our approach and its potential benefits.",,
A component‐based development process for trustworthy systems,A component-based development process should preserve trustworthiness properties in every activity of every phase of system development.,Search,2012,4,"Mubarak  Mohammad, Vangalur S. Alagar",J. Softw. Evol. Process.,,10.1002/smr.472,https://doi.org/10.1002/smr.472,https://semanticscholar.org/paper/643105ed93a427632681c7e3d6999348c1c74c47,,"This paper introduces a new process for a rigorous component‐centered development of trustworthy systems. The rationale for our perspective of the process is two‐fold. The activities prescribed in a conventional software engineering development process are neither suitable nor sufficient for developing component‐based systems. Component‐based development methods that are currently practised do not support the explicit specification of trustworthiness properties, and are not based on rigorous principles. Hence they are not suitable for developing trustworthy systems. Trustworthiness is regarded as a composite nonfunctional property comprising the four attributes safety, security, availability, and reliability. They must be rigorously defined for components and systems composed from them. It is essential that the process enforces a direct evidence of trustworthiness in the systems that are developed following the process. Consequently, the development process, in addition to being reuse‐oriented, component‐oriented, and rigorous in all phases of the system lifecycle, should maintain the chain of evidence that the trustworthiness properties are preserved in every activity of every phase of system development. The proposed process includes several parallel interrelated tracks including component development, component assessment, component reuse, and component‐based system development and prescribes specific activities and tools for ensuring trustworthiness in all activities. Copyright © 2010 John Wiley & Sons, Ltd.",,
Trustworthiness in evaluation practice: an emphasis on the relational.,"The first consideration in designing and conducting rigorous evaluation inquiry, and in critiquing the results of any research, should be the study's trustworthiness.",Search,2007,29,"Sharon F Rallis, Gretchen B Rossman, Rebecca  Gajda",Evaluation and program planning,,10.1016/J.EVALPROGPLAN.2007.06.006,https://doi.org/10.1016/J.EVALPROGPLAN.2007.06.006,https://semanticscholar.org/paper/5b136f2d53707b1144c7e0ba63fdd6900d01d089,,"As canons for trustworthiness developed explicitly in the discourse of qualitative inquiry, the emphasis was on procedural matters rather than fundamentally relational ones. A nod was made to the relational in such strategies as ""member checks"" but the issues of how the evaluator actually relates to participants and to the larger communities of practice and discourse--matters subsumed under moral principles and ethical standards--were often marginalized. This chapter posits that the first consideration in designing and conducting rigorous evaluation inquiry, and in critiquing the results of any research, should be the study's trustworthiness. Judging a study's trustworthiness, however, should focus on much more than procedural matters; it should also rely on moral principles and ethical standards which specifically address how we relate to an evaluation's participants. Central to these considerations are cross-cultural sensibilities about the nuanced meanings associated with any principles and standards. The chapter provides a theoretical framework for this position and offers two illustrative examples in the form of dialogues.",,
Trustworthy groups and organisations,Trustworthiness is appreciated for its own sake.,Search,2017,23,Katherine  Hawley,,,10.1093/ACPROF:OSO/9780198732549.003.0014,https://doi.org/10.1093/ACPROF:OSO/9780198732549.003.0014,https://semanticscholar.org/paper/d49cb83d734d14ce1bcee687425aae362058e9b5,https://research-repository.st-andrews.ac.uk/bitstream/10023/17203/1/Hawley_Trustworthy_Chapter_AAM.pdf,"1. The Significance of Group Trustworthiness We value trustworthiness where we find it, in friends, colleagues, and strangers. This is because it is easier to cooperate with trustworthy individuals than with untrustworthy ones, but also because trustworthiness is appreciated for its own sake. Conversely, we resent untrustworthiness when we encounter it, and try to minimise interaction with untrustworthy individuals. This preference for trustworthiness over untrustworthiness is not limited to our interactions with individuals. Who wouldn’t prefer to work for a trustworthy company, to be treated at a trustworthy hospital, and to vote for a trustworthy political party?",,
Trustworthiness,Trustworthiness is a matter of avoiding unfulfilled commitments.,Search,2019,1,Katherine  Hawley,How To Be Trustworthy,,10.1093/oso/9780198843900.003.0004,https://doi.org/10.1093/oso/9780198843900.003.0004,https://semanticscholar.org/paper/6083a97b5fc6e72b366fb1c2dd0e8349cd301045,,"This chapter explains the account of trustworthiness and untrustworthiness which fits the commitment account of trust and distrust. Trustworthiness is a matter of avoiding unfulfilled commitments, which requires both caution in incurring new commitments and diligence in fulfilling existing commitments. On this view, one can be trustworthy regardless of one’s motives for fulfilling one’s commitments. This is a negative account of trustworthiness, which means that one can be trustworthy whilst avoiding commitments as far as possible. In practice, through friendship, work and other social engagements we take on meta-commitments—commitments to incur future commitments. These can make it a matter of trustworthiness to take on certain new commitments. Untrustworthiness can arise from insincerity or bad intentions, but it can also arise from enthusiasm and becoming over-committed. A trustworthy person must not allow her commitments to outstrip her competence.",,
Trustworthy Information: Concepts and Mechanisms,"Information can be made trustworthy by concepts, models, frameworks, architectures, and mechanisms.",Search,2010,12,"Shouhuai  Xu, Haifeng  Qian, Fengying  Wang, Zhenxin  Zhan, Elisa  Bertino, Ravi S. Sandhu",WAIM,,10.1007/978-3-642-14246-8_39,https://doi.org/10.1007/978-3-642-14246-8_39,https://semanticscholar.org/paper/0dc8c2eefa6a0b75a83f7b797e08e0a60379fa8e,http://www.list.gmu.edu/confrnc/misconf/waim_trustworthy_info_2010.pdf,"We used to treating information received (from recognized sources) as trustworthy, which is unfortunately not true because of attacks. The situation can get worse with the emerging shift of information sharing paradigm from ""need to know"" to ""need to share."" In order to help information consumers make the ""best"" decision possible, it is imperative to formulate concepts, models, frameworks, architectures, and mechanisms to facilitate information trustworthiness management in distributed and decentralized environment. In this paper we initiate a study in this direction by proposing an abstraction called information networks as well as two supporting mechanisms called provenance digital signatures and optimal security hardening of information network.",,
Princípios TRUST como ferramenta de avaliação de repositórios de dados,"The TRUST Principles act as a useful certification tool for data repositories, as they focus on very specific aspects of the repositories.",Search,2021,,"Lucas Henrique Alves da Silva, André Luiz de França Madeiro, Guilherme Ataíde Dias, Izabel França de Lima",,,10.36311/1981-1640.2021.V15.E02107,https://doi.org/10.36311/1981-1640.2021.V15.E02107,https://semanticscholar.org/paper/ea7bc6f82932a0608d6905b43edd2fc04bbf095c,https://revistas.marilia.unesp.br/index.php/bjis/article/download/11283/7184,"Scientific data repositories act as important tools to support data storage, preservation and sharing. In this sense, the TRUST Principles emerge as a set of guidelines that seek to guarantee the reliability of digital data repositories. This research aims to verify the applicability of TRUST Principles as an assessment tool for data repositories, based on the analysis of the “Covid-19 Data Sharing / BR” repository. For this, two instruments were used: first, a set of criteria was developed to assess the repository's adherence to each of the TRUST Principles; second, a scoring system capable of assessing the repository's adherence to each criterion, on a scale graded from one to five, was formulated, the average score obtained in each principle was named trustworthiness degree. The scoring system was modeled using a software developed in the PHP programming language. It was observed that the principle with the highest value in the repository was Responsibility, while a low adherence to the Technology principle was noted. The research found that the TRUST Principles can be used as a useful certification tool for data repositories, as they direct their focus to very specific aspects of the repositories.",,
Trust and Stakeholder Theory: Trustworthiness in the Organisation–Stakeholder Relationship,Organizations with organizational trustworthiness can fairly treat stakeholders who lack power.,Search,2010,196,"Michelle  Greenwood, Harry J. Buren III",,,10.1007/S10551-010-0414-4,https://doi.org/10.1007/S10551-010-0414-4,https://semanticscholar.org/paper/7efca319d03e872333b9a7d7e0c60c6527b02522,,"Trust is a fundamental aspect of the moral treatment of stakeholders within the organization–stakeholder relationship. Stakeholders trust the organization to return benefit or protections from harm commensurate with their contributions or stakes. However, in many situations, the firm holds greater power than the stakeholder and therefore cannot necessarily be trusted to return the aforementioned duty to the stakeholder. Stakeholders must therefore rely on the trustworthiness of the organization to fulfill obligations in accordance to Phillips’ principle of fairness (Business Ethics Quarterly7(1), 1997, 51–66), particularly where low-power stakeholders may not be fully consenting (Van Buren III, Business Ethics Quarterly11(3), 2001, 481–499). The construct of organizational trustworthiness developed herewith is presented as a possible solution to the problem of unfairness in organization–stakeholder relations. While organizational trustworthiness does not create an ethical obligation where none existed before, stakeholders who lack power will likely be treated fairly when organizational trustworthiness is present.",,
