Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Trustworthy AI,The pursuit of responsible AI raises the ante on both the trustworthy computing and formal methods communities.,Search,2021,7,Jeannette M. Wing,Commun. ACM,,10.1145/3448248,https://doi.org/10.1145/3448248,https://semanticscholar.org/paper/33cf9b4d6c76f988380b1adff2c06c30010f93d3,https://dl.acm.org/doi/pdf/10.1145/3448248,The pursuit of responsible AI raises the ante on both the trustworthy computing and formal methods communities.,,
Towards trustworthy AI: safe-visor architecture for uncertified controllers in stochastic cyber-physical systems,Safety and reliability of cyber-physical systems is currently very challenging.,Search,2021,,"Abolfazl  Lavaei, Bingzhuo  Zhong, Marco  Caccamo, Majid  Zamani",CAADCPS@CPSIoTWeek,,10.1145/3457335.3461705,https://doi.org/10.1145/3457335.3461705,https://semanticscholar.org/paper/8d4b027951bd4bde6933e457bc89323cf8d9ea43,,"Artificial intelligence-based (a.k.a. AI-based) controllers have received significant attentions in the past few years due to their broad applications in cyber-physical systems (CPSs) to accomplish complex control missions. However, guaranteeing safety and reliability of CPSs equipped with this kind of (uncertified) controllers is currently very challenging, which is of vital importance in many real-life safety-critical applications. To cope with this difficulty, we propose a Safe-visor architecture for sandboxing AI-based controllers in stochastic CPSs. The proposed framework contains (i) a history-based supervisor which checks inputs from the AI-based controller and makes compromise between functionality and safety of the system, and (ii) a safety advisor that provides fallback when the AI-based controller endangers the safety of the system. By employing this architecture, we provide formal probabilistic guarantees on the satisfaction of those classes of safety specifications which can be represented by the accepting languages of deterministic finite automata (DFA), while AI-based controllers can still be employed in the control loop even though they are not reliable.",,
A formal approach for the specification and verification of trustworthy component-based systems,Software systems are increasingly becoming ubiquitous affecting the way we experience the world.,Search,2011,38,"Mubarak  Mohammad, Vangalur S. Alagar",J. Syst. Softw.,,10.1016/j.jss.2010.08.048,https://doi.org/10.1016/j.jss.2010.08.048,https://semanticscholar.org/paper/de4c9971b24820bc2362b8550ffcbe9beb9a253f,,"Abstract: Software systems are increasingly becoming ubiquitous affecting the way we experience the world. Embedded software systems, especially those used in smart devices, have become an essential constituent of the technological infrastructure of modern societies. Such systems, in order to be trusted in society, must be proved to be trustworthy. Trustworthiness is a composite non-functional property that implies safety, timeliness, security, availability, and reliability. This paper presents a formal approach for the development of trustworthy component-based systems. The approach involves a formal component model for the specification of component's structure, functional, and non-functional (trustworthiness) properties, a model transformation technique for the automatic generation of component behavior using the specified structure and restricted by the specified properties, and a unified formal verification method for safety, security, reliability and availability properties using model checking.",,
Trustworthy AI'21: 1st International Workshop on Trustworthy AI for Multimedia Computing,"Safety, reliability, and acceptability are necessary for trustworthy AI in Multimedia Computing.",Search,2021,,"Teddy  Furon, Jingen  Liu, Yogesh  Rawat, Wei  Zhang, Qi  Zhao",ACM Multimedia,,10.1145/3474085.3478583,https://doi.org/10.1145/3474085.3478583,https://semanticscholar.org/paper/c84a7a540457a80dd313cdb41387cc48be8f1d5d,,"In this workshop, we are addressing the trustworthy AI issues for Multimedia Computing. We aim to bring together researchers in the trustworthy aspects of Multimedia Computing and facilitate discussions in injecting trusts into multimedia to develop trustworthy AI techniques that are reliable and acceptable to multimedia researchers and practitioners. Our scope is at the conjunction of multimedia, computer vision and trustworthy AI, including Explainability, Robustness and Safety, Data Privacy, Accountability and Transparency, and Fairness.",,
Increasing Trust in AI Services through Supplier's Declarations of Conformity,A supplier's declaration of conformity (SDoC) for AI services can help increase trust in AI services.,Search,2019,161,"Michael  Hind, Sameep  Mehta, Aleksandra  Mojsilovic, Ravi  Nair, Karthikeyan Natesan Ramamurthy, Alexandra  Olteanu, Kush R. Varshney",IBM J. Res. Dev.,,10.1147/jrd.2019.2942288,https://doi.org/10.1147/jrd.2019.2942288,https://semanticscholar.org/paper/4bb18e9211ee79190bd0c455837a5d89ddf239c4,http://arxiv.org/pdf/1808.07261,"The accuracy and reliability of machine learning algorithms are an important concern for suppliers of artificial intelligence (AI) services, but considerations beyond accuracy, such as safety, security, and provenance, are also critical elements to engender consumers' trust in a service. In this paper, we propose a supplier's declaration of conformity (SDoC) for AI services to help increase trust in AI services. An SDoC is a transparent, standardized, but often not legally required, document used in many industries and sectors to describe the lineage of a product along with the safety and performance testing it has undergone. We envision an SDoC for AI services to contain purpose, performance, safety, security, and provenance information to be completed and voluntarily released by AI service providers for examination by consumers. Importantly, it conveys product-level rather than component-level functional testing. We suggest a set of declaration items tailored to AI and provide examples for two fictitious AI services.",,
Trustworthy AI: From Principles to Practices,"Current AI systems were found vulnerable to imperceptible attacks, biased against underrepresented groups, lacking in user privacy protection.",Search,2021,1,"Bo  Li, Peng  Qi, Bo  Liu, Shuai  Di, Jingen  Liu, Jiquan  Pei, Jinfeng  Yi, Bowen  Zhou",ArXiv,,,,https://semanticscholar.org/paper/c3689493757f90267908e776aeada9194fce55c7,,"Fast developing artificial intelligence (AI) technology has enabled various applied systems deployed in the real world, impacting people’s everyday lives. However, many current AI systems were found vulnerable to imperceptible attacks, biased against underrepresented groups, lacking in user privacy protection, etc., which not only degrades user experience but erodes the society’s trust in all AI systems. In this review, we strive to provide AI practitioners a comprehensive guide towards building trustworthy AI systems. We first introduce the theoretical framework of important aspects of AI trustworthiness, including robustness, generalization, explainability, transparency, reproducibility, fairness, privacy preservation, alignment with human values, and accountability. We then survey leading approaches in these aspects in the industry. To unify the current fragmented approaches towards trustworthy AI, we propose a systematic approach that considers the entire lifecycle of AI systems, ranging from data acquisition to model development, to development and deployment, finally to continuous monitoring and governance. In this framework, we offer concrete action items to practitioners and societal stakeholders (e.g., researchers and regulators) to improve AI trustworthiness. Finally, we identify key opportunities and challenges in the future development of trustworthy AI systems, where we identify the need for paradigm shift towards comprehensive trustworthy AI systems.",,Review
Opening the software engineering toolbox for the assessment of trustworthy AI,Software engineering and testing practices can be used for the assessment of trustworthy AI.,Search,2020,2,"Mohit Kumar Ahuja, Mohamed-Bachir  Belaid, Pierre  Bernab'e, Mathieu  Collet, Arnaud  Gotlieb, Chhagan  Lal, Dusica  Marijan, Sagar  Sen, Aizaz  Sharif, Helge  Spieker",NeHuAI@ECAI,,,,https://semanticscholar.org/paper/3b0ff6bd000e9c615d024614343f2c1cf12bf124,,"Trustworthiness is a central requirement for the acceptance and success of human-centered artificial intelligence (AI). To deem an AI system as trustworthy, it is crucial to assess its behaviour and characteristics against a gold standard of Trustworthy AI, consisting of guidelines, requirements, or only expectations. While AI systems are highly complex, their implementations are still based on software. The software engineering community has a long-established toolbox for the assessment of software systems, especially in the context of software testing. In this paper, we argue for the application of software engineering and testing practices for the assessment of trustworthy AI. We make the connection between the seven key requirements as defined by the European Commission's AI high-level expert group and established procedures from software engineering and raise questions for future work.",,
Establishing the rules for building trustworthy AI,The European Commission’s report ‘Ethics guidelines for trustworthy AI’ facilitates international support for AI solutions that are good for humanity and the environment.,Search,2019,67,Luciano  Floridi,Nature Machine Intelligence,,10.1038/S42256-019-0055-Y,https://doi.org/10.1038/S42256-019-0055-Y,https://semanticscholar.org/paper/dc44e2be0f85b6225f05390c570885337a99ef83,https://philpapers.org/archive/FLOETR.pdf,"The European Commission’s report ‘Ethics guidelines for trustworthy AI’ provides a clear benchmark to evaluate the responsible development of AI systems, and facilitates international support for AI solutions that are good for humanity and the environment, says Luciano Floridi.",,
Unfolding the Legal Component of Trustworthy AI: A Must to Avoid Ethics Washing,,Search,2020,,Giovanni  Comandé,,,10.2139/ssrn.3690633,https://doi.org/10.2139/ssrn.3690633,https://semanticscholar.org/paper/0d9c7602a0afeee18802b60f48e3897ec28d6e46,,The author analyses the need to define the content of the legal dimension of Trustworthy AI and propose an approach to measure the reach of existing applicable legal rules and appreciate the eventual need of new legal rules for AI and avoiding ethics washing risks.,,
Can AI-based Components be Part of Dependable Systems?,Artificial Intelligence and Machine Learning techniques seem to be a solution for complex problems.,Search,2020,,"Torge  Hinrichs, Bettina  Buth",2020 IEEE Intelligent Vehicles Symposium (IV),,10.1109/IV47402.2020.9304740,https://doi.org/10.1109/IV47402.2020.9304740,https://semanticscholar.org/paper/44d98bf5026c4327615523def2c21e3f32b5bf87,,"Artificial Intelligence and especially Machine Learning have become main topics in the scientific community as well as in industry. These techniques seem to be a solution for complex problems and are suggested even for critical applications such as the medical diagnosis, predictive analytic in finance or autonomous driving. But will it be feasible to employ such techniques in critical systems in the avionics, train, or medical domain taking into account the current regulations in domain-specific standard relating to dependability? Validation, verification and certification in these domains strongly rely on explicit traceability and provability of functional and dependability requirements down to the code level. This seems to be impossible for components derived using e.g. learning approaches. Nonetheless, scientific community and industry do not want to lose the advantages related to AI-based techniques – new ways to ensure the required level of confidence just need to be found. This is a process that requires people with different professional background to work together – and it has started. This paper presents selected aspects relating to the current state of the art with regard to AI and dependable systems and describes ongoing activities and ideas for obstacle detection and routing for autonomous driving at HAW Hamburg.",,
Trustworthy artificial intelligence,Artificial intelligence brings forth many opportunities to contribute to the wellbeing of individuals and the advancement of economies and societies.,Search,2021,21,"Scott  Thiebes, Sebastian  Lins, Ali  Sunyaev",Electron. Mark.,,10.1007/S12525-020-00441-4,https://doi.org/10.1007/S12525-020-00441-4,https://semanticscholar.org/paper/9da092d7c7674e96830f8d6713a9a4f8101f984c,https://link.springer.com/content/pdf/10.1007/s12525-020-00441-4.pdf,"Artificial intelligence (AI) brings forth many opportunities to contribute to the wellbeing of individuals and the advancement of economies and societies, but also a variety of novel ethical, legal, social, and technological challenges. Trustworthy AI (TAI) bases on the idea that trust builds the foundation of societies, economies, and sustainable development, and that individuals, organizations, and societies will therefore only ever be able to realize the full potential of AI, if trust can be established in its development, deployment, and use. With this article we aim to introduce the concept of TAI and its five foundational principles (1) beneficence, (2) non-maleficence, (3) autonomy, (4) justice, and (5) explicability. We further draw on these five principles to develop a data-driven research framework for TAI and demonstrate its utility by delineating fruitful avenues for future research, particularly with regard to the distributed ledger technology-based realization of TAI.",,
Trustworthy AI in the Age of Pervasive Computing and Big Data,The requirements of trustworthy AI systems are specifically focused on the aspects that can be integrated into the design and development of AI systems.,Search,2020,15,"Abhishek  Kumar, Tristan  Braud, Sasu  Tarkoma, Pan  Hui",2020 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops),,10.1109/percomworkshops48775.2020.9156127,https://doi.org/10.1109/percomworkshops48775.2020.9156127,https://semanticscholar.org/paper/f92cedfdf08f7c92ddefebd06fa763d7a8359c1f,http://repository.ust.hk/ir/bitstream/1783.1-101388/1/neutral-ai.pdf,"The era of pervasive computing has resulted in countless devices that continuously monitor users and their environment, generating an abundance of user behavioural data. Such data may support improving the quality of service, but may also lead to adverse usages such as surveillance and advertisement. In parallel, Artificial Intelligence (AI) systems are being applied to sensitive fields such as healthcare, justice, or human resources, raising multiple concerns on the trustworthiness of such systems. Trust in AI systems is thus intrinsically linked to ethics, including the ethics of algorithms, the ethics of data, or the ethics of practice. In this paper, we formalise the requirements of trustworthy AI systems through an ethics perspective. We specifically focus on the aspects that can be integrated into the design and development of AI systems. After discussing the state of research and the remaining challenges, we show how a concrete use-case in smart cities can benefit from these methods.",,
