Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Ethical Artificial Intelligence for Digital Health Organizations,A US-based Digital Health company developed an ethical code for emotional AI services for mental health support.,Search,2020,9,"Angela  Joerin, Michiel  Rauws, Russell  Fulmer, Valerie  Black",Cureus,,10.7759/cureus.7202,https://doi.org/10.7759/cureus.7202,https://semanticscholar.org/paper/a8f262b28aa4a35196814b447346f99173c4795a,https://www.cureus.com/articles/25462-ethical-artificial-intelligence-for-digital-health-organizations.pdf,"This technical report describes the methods undertaken by a US-based Digital Health company (X2AI or X2 for short) to develop an ethical code for startup environments and other organizations delivering emotional artificial intelligence (AI) services, especially for mental health support. With a growing demand worldwide for scalable, affordable, and accessible health care solutions, the use of AI offers tremendous potential to improve emotional well-being. To realize this potential, it is imperative that AI service providers prioritize clear and consistent ethical guidelines that align with global considerations regarding user safety and privacy. This report offers a template for an ethical code that can be implemented by other emotional AI services and their affiliates. It includes practical guidelines for integrating support from clients, collaborators, and research partners. It also shows how existing ethical systems can inform the development of AI ethics.",,
Ethical Artificial Intelligence - An Open Question,"Artificial Intelligence is an effective science that employs strong enough approaches, methods, and techniques to solve unsolvable real world based problems.",Search,2017,12,"Alice  Pavaloiu, Utku  Kose",ArXiv,,,,https://semanticscholar.org/paper/b952eaffb220ed192728d2ce7436235827132057,,"Artificial Intelligence (AI) is an effective science which employs strong enough approaches, methods, and techniques to solve unsolvable real world based problems. Because of its unstoppable rise towards the future, there are also some discussions about its ethics and safety. Shaping an AI friendly environment for people and a people friendly environment for AI can be a possible answer for finding a shared context of values for both humans and robots. In this context, objective of this paper is to address the ethical issues of AI and explore the moral dilemmas that arise from ethical algorithms, from pre set or acquired values. In addition, the paper will also focus on the subject of AI safety. As general, the paper will briefly analyze the concerns and potential solutions to solving the ethical issues presented and increase readers awareness on AI safety as another related research interest.",,
Artificial intelligence in a crisis needs ethics with urgency,Artificial intelligence can be used in the COVID-19 response to save lives on a pandemic scale.,Search,2020,14,"Asaf  Tzachor, Jess  Whittlestone, Lalitha S Sundaram, Seán Ó hÉigeartaigh",Nat. Mach. Intell.,,10.1038/s42256-020-0195-0,https://doi.org/10.1038/s42256-020-0195-0,https://semanticscholar.org/paper/cda4b91f54ee9ecb0be363c58735caa5b0d85d35,https://www.nature.com/articles/s42256-020-0195-0.pdf,"Artificial intelligence tools can help save lives in a pandemic. However, the need to implement technological solutions rapidly raises challenging ethical issues. We need new approaches for ethics with urgency, to ensure AI can be safely and beneficially used in the COVID-19 response and beyond.",,
AI for humanitarian action: Human rights and ethics,"AI will increasingly shape the global response to the world's toughest problems, especially in the development and humanitarian sector.",Search,2020,2,"Michael  Pizzi, Mila  Romanoff, Tim  Engelhardt",International Review of the Red Cross,,10.1017/S1816383121000011,https://doi.org/10.1017/S1816383121000011,https://semanticscholar.org/paper/ec22353879fc43ba66fb1bc2447798efbae6a283,,"Abstract Artificial intelligence (AI)-supported systems have transformative applications in the humanitarian sector but they also pose unique risks for human rights, even when used with the best intentions. Drawing from research and expert consultations conducted across the globe in recent years, this paper identifies key points of consensus on how humanitarian practitioners can ensure that AI augments – rather than undermines – human interests while being rights-respecting. Specifically, these consultations emphasized the necessity of an anchoring framework based on international human rights law as an essential baseline for ensuring that human interests are embedded in AI systems. Ethics, in addition, can play a complementary role in filling gaps and elevating standards above the minimum requirements of international human rights law. This paper summarizes the advantages of this framework, while also identifying specific tools and best practices that either already exist and can be adapted to the AI context, or that need to be created, in order to operationalize this human rights framework. As the COVID crisis has laid bare, AI will increasingly shape the global response to the world's toughest problems, especially in the development and humanitarian sector. To ensure that AI tools enable human progress and contribute to achieving the Sustainable Development Goals, humanitarian actors need to be proactive and inclusive in developing tools, policies and accountability mechanisms that protect human rights.",,
How AI can be a force for good,Ethics plays a key role in ensuring that regulations of AI harness its potential while mitigating its risks.,Search,2018,179,"Mariarosaria  Taddeo, Luciano  Floridi",Science,,10.1126/science.aat5991,https://doi.org/10.1126/science.aat5991,https://semanticscholar.org/paper/540e19cca64b2d9a13b6caac81124c5f097517fa,,"An ethical framework will help to harness the potential of AI while keeping humans in control Artificial intelligence (AI) is not just a new technology that requires regulation. It is a powerful force that is reshaping daily practices, personal and professional interactions, and environments. For the well-being of humanity it is crucial that this power is used as a force of good. Ethics plays a key role in this process by ensuring that regulations of AI harness its potential while mitigating its risks.",,
An ethically mindful approach to AI for health care,"The risks of AI in health care include inconclusive, inscrutable, or misguided evidence, unfair outcomes, and transformative effects.",Search,2020,12,"Jessica  Morley, Luciano  Floridi",The Lancet,,10.1016/S0140-6736(19)32975-7,https://doi.org/10.1016/S0140-6736(19)32975-7,https://semanticscholar.org/paper/b9bc01ba06e37bc1f514099af5418e0bfbbafbf1,,"254 www.thelancet.com Vol 395 January 25, 2020 Health-care systems worldwide face increasing demand, a rise in chronic disease, and resource constraints. At the same time, the use of digital health technologies in all care settings has led to an expansion of data. These data, if harnessed appropriately, could enable health-care providers to target the causes of ill-health and monitor the effectiveness of preventions and interventions. For this reason, policy makers, politicians, clinical entrepreneurs, and computer and data scientists argue that a key part of health-care solutions will be artificial Intelligence (AI), particularly machine learning. AI forms a key part of the National Health Service (NHS) Long-Term Plan (2019) in England, the US National Institutes of Health Strategic Plan for Data Science (2018), and China’s Healthy China 2030 strategy (2016). The willingness to embrace the potential future of medical care, expressed in these national strategies, is a positive development. Health-care providers should, however, be mindful of the risks that arise from AI’s ability to change the intrinsic nature of how health care is delivered. Such potential AI transformations raise ethical risks that are normative, epistemic, or overarching. Such risks relate to inconclusive, inscrutable, or misguided evidence; unfair outcomes or transformative effects; or traceability. Examples of these risks are described in the table. To mitigate these risks, a bold and systematic approach is needed to the implementation of AI solutions in health care that recognises the challenges and addresses them directly. Crucially, this approach must not rely solely on hard governance measures, such as new statutory obligations, that are designed in response to calls for the development of a robust regulatory system. These measures are necessary but insufficient. Regulations provide only the necessary rules of the game, not the best strategy to win it. What is needed is an ethical focus on the end user, and their expectations, demands, needs, and rights. The challenge is the insufficiently consistent approach to this kind of analysis. To date, responses to the ethical risks, such as the NHS Code of Conduct for Data-Driven Health and Care Technology and other non-sector specific ethical codes, centre on protecting the individual. This approach is understandable because this is the An ethically mindful approach to AI for health care",,
Artificial intelligence for good health: a scoping review of the ethics literature,"The ethics of AI in health, particularly carer robots, diagnostics, and precision medicine, are largely unknown.",Search,2021,10,"Kathleen  Murphy, Erica  Di Ruggiero, Ross  Upshur, Donald J. Willison, Neha  Malhotra, Jia Ce Cai, Nakul  Malhotra, Vincci  Lui, Jennifer  Gibson",BMC medical ethics,,10.1186/s12910-021-00577-8,https://doi.org/10.1186/s12910-021-00577-8,https://semanticscholar.org/paper/803879148f1586908bf1a4177843ef05e73a0ad5,https://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-021-00577-8,"Background Artificial intelligence (AI) has been described as the “fourth industrial revolution” with transformative and global implications, including in healthcare, public health, and global health. AI approaches hold promise for improving health systems worldwide, as well as individual and population health outcomes. While AI may have potential for advancing health equity within and between countries, we must consider the ethical implications of its deployment in order to mitigate its potential harms, particularly for the most vulnerable. This scoping review addresses the following question: What ethical issues have been identified in relation to AI in the field of health, including from a global health perspective? Methods Eight electronic databases were searched for peer reviewed and grey literature published before April 2018 using the concepts of health, ethics, and AI, and their related terms. Records were independently screened by two reviewers and were included if they reported on AI in relation to health and ethics and were written in the English language. Data was charted on a piloted data charting form, and a descriptive and thematic analysis was performed. Results Upon reviewing 12,722 articles, 103 met the predetermined inclusion criteria. The literature was primarily focused on the ethics of AI in health care, particularly on carer robots, diagnostics, and precision medicine, but was largely silent on ethics of AI in public and population health. The literature highlighted a number of common ethical concerns related to privacy, trust, accountability and responsibility, and bias. Largely missing from the literature was the ethics of AI in global health, particularly in the context of low- and middle-income countries (LMICs). Conclusions The ethical issues surrounding AI in the field of health are both vast and complex. While AI holds the potential to improve health and health systems, our analysis suggests that its introduction should be approached with cautious optimism. The dearth of literature on the ethics of AI within LMICs, as well as in public health, also points to a critical need for further research into the ethical implications of AI within both global and public health, to ensure that its development and implementation is ethical for everyone, everywhere.",,Review
Beyond the promise: implementing ethical AI,"Businesses require strong, mandated governance controls to ensure responsible AI use in enterprises.",Search,2021,19,Ray  Eitel-Porter,AI Ethics,,10.1007/s43681-020-00011-6,https://doi.org/10.1007/s43681-020-00011-6,https://semanticscholar.org/paper/0a7109502e7fe91f4decc3dd3515e1fecbc02da7,https://link.springer.com/content/pdf/10.1007/s43681-020-00011-6.pdf,"Artificial Intelligence (AI) applications can and do have unintended negative consequences for businesses if not implemented with care. Specifically, faulty or biased AI applications risk compliance and governance breaches and damage to the corporate brand. These issues commonly arise from a number of pitfalls associated with AI development, which include rushed development, a lack of technical understanding, and improper quality assurance, among other factors. To mitigate these risks, a growing number of organisations are working on ethical AI principles and frameworks. However, ethical AI principles alone are not sufficient for ensuring responsible AI use in enterprises. Businesses also require strong, mandated governance controls including tools for managing processes and creating associated audit trails to enforce their principles. Businesses that implement strong governance frameworks, overseen by an ethics board and strengthened with appropriate training, will reduce the risks associated with AI. When applied to AI modelling, the governance will also make it easier for businesses to bring their AI deployments to scale.",,
Ethical AI Implementation,Implementing ethics in business is not unique that just comes along with AI.,Search,2021,,Stefan H. Vieweg,AI for the Good,,10.1007/978-3-030-66913-3_11,https://doi.org/10.1007/978-3-030-66913-3_11,https://semanticscholar.org/paper/58e1ee159dc218fa4d18645a7ba12e7f36780894,,"Implementing ethics in business is not unique that just comes along with AI. Though, the implications in an AI setting are much more far-reaching than ever before. Given its disruptive nature, AI affects entire societies’ prosperity projections right down to every individual to earn a living; it has a massive impact on the environment as well. Illustration of key initiatives in the EU and the USA toward ethical AI is discussed such as applicable laws (e.g., GDPR and CCPA on data privacy) and ideas such as the RoboLaw on automation or the electronic person (e-person). Postulates from various commissions are summarized and selected organizations thriving for ethical AI are introduced.",,
Medical ethics considerations on artificial intelligence,It is crucial that measures be taken to monitor technological developments to ensure preventative and precautionary safeguards are in place to safeguard the rights of those involved against direct or indirect coercion.,Search,2019,41,Kadircan H. Keskinbora,Journal of Clinical Neuroscience,,10.1016/j.jocn.2019.03.001,https://doi.org/10.1016/j.jocn.2019.03.001,https://semanticscholar.org/paper/bc6519025efcd4db20267691e0b6eabfe44dac95,,"Artificial intelligence (AI) is currently one of the mostly controversial matters of the world. This article discusses AI in terms of the medical ethics issues involved, both existing and potential. Once artificial intelligence is fully developed within electronic systems, it will afford many useful applications in many sectors ranging from banking, agriculture, medical procedures to military operations, especially by decreasing the involvement of humans in critically dangerous activities. Robots as well as computers themselves are embodiments of values inasmuch as they entail actions and choices, but their practical applications are modelled or programmed by the engineers building the systems. AI will need algorithmic procedures to ensure safety in the implementation of such systems. The AI algorithms written could naturally contain errors that may result in unforeseen consequences and unfair outcomes along economic and racial class lines. It is crucial that measures be taken to monitor technological developments ensuring preventative and precautionary safeguards are in place to safeguard the rights of those involved against direct or indirect coercion. While it is the responsibility of AI researchers to ensure that the future impact is more positive than negative, ethicists and philosophers need to be deeply involved in the development of such technologies from the beginning.",,
