Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Human-Centered AI to Support an Adaptive Management of Human-Machine Transitions with Vehicle Automation,An AI algorithm was developed to support a adaptive management of human-machine transitions with vehicle automation.,Search,2021,,"Thierry  Bellet, Aurélie  Banet, Marie  Petiot, Bertrand  Richard, Joshua  Quick",Inf.,,10.3390/info12010013,https://doi.org/10.3390/info12010013,https://semanticscholar.org/paper/769123129db332832f7bf5b056ae3294fcebc19d,https://www.mdpi.com/2078-2489/12/1/13/pdf,"This article is about the Human-Centered Design (HCD), development and evaluation of an Artificial Intelligence (AI) algorithm aiming to support an adaptive management of Human-Machine Transition (HMT) between car drivers and vehicle automation. The general principle of this algorithm is to monitor (1) the drivers’ behaviors and (2) the situational criticality to manage in real time the Human-Machine Interactions (HMI). This Human-Centered AI (HCAI) approach was designed from real drivers’ needs, difficulties and errors observed at the wheel of an instrumented car. Then, the HCAI algorithm was integrated into demonstrators of Advanced Driving Aid Systems (ADAS) implemented on a driving simulator (dedicated to highway driving or to urban intersection crossing). Finally, user tests were carried out to support their evaluation from the end-users point of view. Thirty participants were invited to practically experience these ADAS supported by the HCAI algorithm. To increase the scope of this evaluation, driving simulator experiments were implemented among three groups of 10 participants, corresponding to three highly contrasted profiles of end-users, having respectively a positive, neutral or reluctant attitude towards vehicle automation. After having introduced the research context and presented the HCAI algorithm designed to contextually manage HMT with vehicle automation, the main results collected among these three profiles of future potential end users are presented. In brief, main findings confirm the efficiency and the effectiveness of the HCAI algorithm, its benefits regarding drivers’ satisfaction, and the high levels of acceptance, perceived utility, usability and attractiveness of this new type of “adaptive vehicle automation”.",,
"Tutorial: Human-Centered AI: Reliable, Safe and Trustworthy",AI algorithms are combined with human-centered thinking to make Human-Centered AI.,Search,2021,,Ben  Shneiderman,IUI Companion,,10.1145/3397482.3453994,https://doi.org/10.1145/3397482.3453994,https://semanticscholar.org/paper/77891ecacb567308c7ee8f117b8ffd5634d61e0f,,"This 3-hour tutorial proposes a new synthesis, in which Artificial Intelligence (AI) algorithms are combined with human-centered thinking to make Human-Centered AI (HCAI). This approach combines research on AI algorithms with user experience design methods to shape technologies that amplify, augment, empower, and enhance human performance. Researchers and developers for HCAI systems value meaningful human control, putting people first by serving human needs, values, and goals.",,
Human-Centered Artificial Intelligence: Three Fresh Ideas,A three-level governance structure can promote trustworthy human-centered AI systems.,Search,2020,32,Ben  Shneiderman,,,10.17705/1thci.00131,https://doi.org/10.17705/1thci.00131,https://semanticscholar.org/paper/454af1728ba52b16965f7d18fc9301d0ffb6d708,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1136&context=thci,"Human-Centered AI (HCAI) is a promising direction for designing AI systems that support human self-efficacy, promote creativity, clarify responsibility, and facilitate social participation. These human aspirations also encourage consideration of privacy, security, environmental protection, social justice, and human rights. This commentary reverses the current emphasis on algorithms and AI methods, by putting humans at the center of systems design thinking, in effect, a second Copernican Revolution. It offers three ideas: (1) a two-dimensional HCAI framework, which shows how it is possible to have both high levels of human control AND high levels of automation, (2) a shift from emulating humans to empowering people with a plea to shift language, imagery, and metaphors away from portrayals of intelligent autonomous teammates towards descriptions of powerful tool-like appliances and tele-operated devices, and (3) a three-level governance structure that describes how software engineering teams can develop more reliable systems, how managers can emphasize a safety culture across an organization, and how industry-wide certification can promote trustworthy HCAI systems. These ideas will be challenged by some, refined by others, extended to accommodate new technologies, and validated with quantitative and qualitative research. They offer a reframe -a chance to restart design discussions for products and services -which could bring greater benefits to individuals, families, communities, businesses, and society.",,
Human-centered Explainable AI: Towards a Reflective Sociotechnical Approach,"A reflective sociotechnical approach is advocated in AI systems to understand ""who"" the human is.",Search,2020,22,"Upol  Ehsan, Mark O. Riedl",HCI,,10.1007/978-3-030-60117-1_33,https://doi.org/10.1007/978-3-030-60117-1_33,https://semanticscholar.org/paper/2c9d71966e1e8a527a392bbe28aa53f8e0918755,http://arxiv.org/pdf/2002.01092,"Explanations--a form of post-hoc interpretability--play an instrumental role in making systems accessible as AI continues to proliferate complex and sensitive sociotechnical systems. In this paper, we introduce Human-centered Explainable AI (HCXAI) as an approach that puts the human at the center of technology design. It develops a holistic understanding of ""who"" the human is by considering the interplay of values, interpersonal dynamics, and the socially situated nature of AI systems. In particular, we advocate for a reflective sociotechnical approach. We illustrate HCXAI through a case study of an explanation system for non-technical end-users that shows how technical advancements and the understanding of human factors co-evolve. Building on the case study, we lay out open research questions pertaining to further refining our understanding of ""who"" the human is and extending beyond 1-to-1 human-computer interactions. Finally, we propose that a reflective HCXAI paradigm-mediated through the perspective of Critical Technical Practice and supplemented with strategies from HCI, such as value-sensitive design and participatory design--not only helps us understand our intellectual blind spots, but it can also open up new design and research spaces.",,
"Human-Centered Artificial Intelligence: Trusted, Reliable & Safe.",Well-designed technologies that offer high levels of human control and high levels of computer automation can increase human performance.,Search,2020,2,Ben  Shneiderman,,,,,https://semanticscholar.org/paper/e0b2bfdfcc251747538004be479f3914d0932316,,"Well-designed technologies that offer high levels of human control and high levels of computer automation can increase human performance, leading to wider adoption. The Human-Centered Artificial Intelligence (HCAI) framework clarifies how to (1) design for high levels of human control and high levels of computer automation so as to increase human performance, (2) understand the situations in which full human control or full computer control are necessary, and (3) avoid the dangers of excessive human control or excessive computer control. The new goal of HCAI is more likely to produce designs that are Trusted, Reliable & Safe (TRS). Achieving these goals will dramatically increase human performance, while supporting human self-efficacy, mastery, creativity, and responsibility.",,
"Human-Centered Artificial Intelligence: Reliable, Safe & Trustworthy",Well-designed technologies that offer high levels of human control and high levels of computer automation can increase human performance.,Search,2020,105,Ben  Shneiderman,Int. J. Hum. Comput. Interact.,,10.1080/10447318.2020.1741118,https://doi.org/10.1080/10447318.2020.1741118,https://semanticscholar.org/paper/e49f67fa5c946ad24afcf59699a9cacf1ca53924,http://arxiv.org/pdf/2002.04087,"ABSTRACT Well-designed technologies that offer high levels of human control and high levels of computer automation can increase human performance, leading to wider adoption. The Human-Centered Artificial Intelligence (HCAI) framework clarifies how to (1) design for high levels of human control and high levels of computer automation so as to increase human performance, (2) understand the situations in which full human control or full computer control are necessary, and (3) avoid the dangers of excessive human control or excessive computer control. The methods of HCAI are more likely to produce designs that are Reliable, Safe & Trustworthy (RST). Achieving these goals will dramatically increase human performance, while supporting human self-efficacy, mastery, creativity, and responsibility.",,
Towards Human Centered Ambient Intelligence,"AmI environments can integrate human skills and capabilities to overcome the ""all-or-nothing"" dilemma.",Search,2008,4,"Thomas  Plötz, Christian  Kleine-Cosack, Gernot A. Fink",AmI,,10.1007/978-3-540-89617-3_3,https://doi.org/10.1007/978-3-540-89617-3_3,https://semanticscholar.org/paper/9fca45ef14d33b4c4736740f07cdfce1904e5133,,"In this paper we present a novel approach to the integration of humans into AmI environments. The key aspect of the concept which we call human centered Ami is a dynamic and active user model which creates a virtual doppelganger of the user on software level. This agent not only complies to the specific characteristics of humans but directly affects and triggers environmental activities. In fact the user's persona and behavior is mapped to system level. Utilizing this doppelganger we introduce the integration of the users' capabilities and skills into the functionality of the environment. Human services enrich intelligent environments and allow to overcome the ""all-or-nothing"" dilemma which we identified in conventional approaches. The concept of human centered AmI is put into effect within the perception-oriented intelligent environment FINCA. Results of a Wizard-of-Oz experiment with real users show the benefits of the presented approach.",,
An Intelligent Personal Assistant for Task and Time Management,A personal assistant helps a busy knowledge worker manage time commitments and perform tasks.,Search,2007,204,"Karen L. Myers, Pauline M. Berry, Jim  Blythe, Ken  Conley, Melinda T. Gervasio, Deborah L. McGuinness, David N. Morley, Avi  Pfeffer, Martha E. Pollack, Milind  Tambe",AI Mag.,,10.1609/aimag.v28i2.2039,https://doi.org/10.1609/aimag.v28i2.2039,https://semanticscholar.org/paper/442b0e4df04987d1aa01141b63bcec14cf483b4b,,"We describe an intelligent personal assistant that has been developed to aid a busy knowledge worker in managing time commitments and performing tasks. The design of the system was motivated by the complementary objectives of (1) relieving the user of routine tasks, thus allowing her to focus on tasks that critically require human problem-solving skills, and (2) intervening in situations where cognitive overload leads to oversights or mistakes by the user. The system draws on a diverse set of AI technologies that are linked within a Belief-Desire-Intention (BDI) agent system. Although the system provides a number of automated functions, the overall framework is highly user centric in its support for human needs, responsiveness to human inputs, and adaptivity to user working style and preferences.",,
Human-Centered AI for Data Science: A Systematic Approach,AI can be used to automate some parts of the data science workflow.,Search,2021,,"Dakuo  Wang, Xiaojuan  Ma, April Yi Wang",ArXiv,,,,https://semanticscholar.org/paper/e40548c93b4c60ef66f7acd6bd8a64291a72c53e,,"Human-Centered AI (HCAI) refers to the research effort that aims to design and implement AI techniques to support various human tasks, while taking human needs into consideration and preserving human control. In this short position paper, we illustrate how we approach HCAI using a series of research projects around Data Science (DS) works as a case study. The AI techniques built for supporting DS works are collectively referred to as AutoML systems, and their goals are to automate some parts of the DS workflow. We illustrate a three-step systematical research approach (i.e., explore, build, and integrate) and four practical ways of implementation for HCAI systems. We argue that our work is a cornerstone towards the ultimate future of Human-AI Collaboration for DS and beyond, where AI and humans can take complementary and indispensable roles to achieve a better outcome and experience.",,
Human-Centered Explainable AI (XAI): From Algorithms to User Experiences,AI explainability requirements have become an essential requirement for people to trust and adopt AI.,Search,2021,1,"Q. Vera Liao, Kush R. Varshney",ArXiv,,,,https://semanticscholar.org/paper/f7df8011ce143735b95c62103f76f5a3d9e58ab2,,"(Book Chapter Draft 10/2021) As a technical sub-field of artificial intelligence (AI), explainable AI (XAI) has produced a vast collection of algorithms, providing a toolbox for researchers and practitioners to build XAI applications. With the rich application opportunities, explainability has moved beyond a demand by data scientists or researchers to comprehend the models they develop, to become an essential requirement for people to trust and adopt AI deployed in numerous domains. However, explainability is an inherently human-centric property and the field is starting to embrace human-centered approaches. Human-computer interaction (HCI) research and user experience (UX) design in this area are becoming increasingly important. In this chapter, we begin with a high-level overview of the technical landscape of XAI algorithms, then selectively survey our own and other recent HCI works that take human-centered approaches to design, evaluate, provide conceptual and methodological tools for XAI. We ask the question “what are human-centered approaches doing for XAI” and highlight three roles that they play in shaping XAI technologies by helping navigate, assess and expand the XAI toolbox: to drive technical choices by users’ explainability needs, to uncover pitfalls of existing XAI methods and inform new methods, and to provide conceptual frameworks for human-compatible XAI.",,Review
