Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
"Human-centered automation and AI - Ideas, insights, and issues from the Intelligent Cockpit Aids research effort",The NASA-Langley Intelligent Cockpit Aids research program is developing concepts for decision-aiding human-centered automation.,Search,1989,5,"Kathy H. Abbott, Paul C. Schutte",,,,,https://semanticscholar.org/paper/89a917a9df5bb7dd0036bdfef70de8f4c3a6a8ed,,"A development status evaluation is presented for the NASA-Langley Intelligent Cockpit Aids research program, which encompasses AI, human/machine interfaces, and conventional automation. Attention is being given to decision-aiding concepts for human-centered automation, with emphasis on inflight subsystem fault management, inflight mission replanning, and communications management. The cockpit envisioned is for advanced commercial transport aircraft.",,
Human-Centered AI to Support an Adaptive Management of Human-Machine Transitions with Vehicle Automation,An algorithm designed to monitor and manage human-machine transitions was tested on driving simulators.,Search,2021,,"Thierry  Bellet, Aurélie  Banet, Marie  Petiot, Bertrand  Richard, Joshua  Quick",Inf.,,10.3390/info12010013,https://doi.org/10.3390/info12010013,https://semanticscholar.org/paper/769123129db332832f7bf5b056ae3294fcebc19d,https://www.mdpi.com/2078-2489/12/1/13/pdf,"This article is about the Human-Centered Design (HCD), development and evaluation of an Artificial Intelligence (AI) algorithm aiming to support an adaptive management of Human-Machine Transition (HMT) between car drivers and vehicle automation. The general principle of this algorithm is to monitor (1) the drivers’ behaviors and (2) the situational criticality to manage in real time the Human-Machine Interactions (HMI). This Human-Centered AI (HCAI) approach was designed from real drivers’ needs, difficulties and errors observed at the wheel of an instrumented car. Then, the HCAI algorithm was integrated into demonstrators of Advanced Driving Aid Systems (ADAS) implemented on a driving simulator (dedicated to highway driving or to urban intersection crossing). Finally, user tests were carried out to support their evaluation from the end-users point of view. Thirty participants were invited to practically experience these ADAS supported by the HCAI algorithm. To increase the scope of this evaluation, driving simulator experiments were implemented among three groups of 10 participants, corresponding to three highly contrasted profiles of end-users, having respectively a positive, neutral or reluctant attitude towards vehicle automation. After having introduced the research context and presented the HCAI algorithm designed to contextually manage HMT with vehicle automation, the main results collected among these three profiles of future potential end users are presented. In brief, main findings confirm the efficiency and the effectiveness of the HCAI algorithm, its benefits regarding drivers’ satisfaction, and the high levels of acceptance, perceived utility, usability and attractiveness of this new type of “adaptive vehicle automation”.",,
Human-Centered AI for Data Science: A Systematic Approach,AI can be designed to support human tasks while taking human needs into consideration and preserving human control.,Search,2021,,"Dakuo  Wang, Xiaojuan  Ma, April Yi Wang",ArXiv,,,,https://semanticscholar.org/paper/e40548c93b4c60ef66f7acd6bd8a64291a72c53e,,"Human-Centered AI (HCAI) refers to the research effort that aims to design and implement AI techniques to support various human tasks, while taking human needs into consideration and preserving human control. In this short position paper, we illustrate how we approach HCAI using a series of research projects around Data Science (DS) works as a case study. The AI techniques built for supporting DS works are collectively referred to as AutoML systems, and their goals are to automate some parts of the DS workflow. We illustrate a three-step systematical research approach (i.e., explore, build, and integrate) and four practical ways of implementation for HCAI systems. We argue that our work is a cornerstone towards the ultimate future of Human-AI Collaboration for DS and beyond, where AI and humans can take complementary and indispensable roles to achieve a better outcome and experience.",,
"Tutorial: Human-Centered AI: Reliable, Safe and Trustworthy",AI algorithms are combined with human-centered thinking to make Human-Centered AI.,Search,2021,,Ben  Shneiderman,IUI Companion,,10.1145/3397482.3453994,https://doi.org/10.1145/3397482.3453994,https://semanticscholar.org/paper/77891ecacb567308c7ee8f117b8ffd5634d61e0f,,"This 3-hour tutorial proposes a new synthesis, in which Artificial Intelligence (AI) algorithms are combined with human-centered thinking to make Human-Centered AI (HCAI). This approach combines research on AI algorithms with user experience design methods to shape technologies that amplify, augment, empower, and enhance human performance. Researchers and developers for HCAI systems value meaningful human control, putting people first by serving human needs, values, and goals.",,
Human-Centered Artificial Intelligence: Three Fresh Ideas,A human-centered AI framework can have high levels of human control and automation.,Search,2020,32,Ben  Shneiderman,,,10.17705/1thci.00131,https://doi.org/10.17705/1thci.00131,https://semanticscholar.org/paper/454af1728ba52b16965f7d18fc9301d0ffb6d708,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1136&context=thci,"Human-Centered AI (HCAI) is a promising direction for designing AI systems that support human self-efficacy, promote creativity, clarify responsibility, and facilitate social participation. These human aspirations also encourage consideration of privacy, security, environmental protection, social justice, and human rights. This commentary reverses the current emphasis on algorithms and AI methods, by putting humans at the center of systems design thinking, in effect, a second Copernican Revolution. It offers three ideas: (1) a two-dimensional HCAI framework, which shows how it is possible to have both high levels of human control AND high levels of automation, (2) a shift from emulating humans to empowering people with a plea to shift language, imagery, and metaphors away from portrayals of intelligent autonomous teammates towards descriptions of powerful tool-like appliances and tele-operated devices, and (3) a three-level governance structure that describes how software engineering teams can develop more reliable systems, how managers can emphasize a safety culture across an organization, and how industry-wide certification can promote trustworthy HCAI systems. These ideas will be challenged by some, refined by others, extended to accommodate new technologies, and validated with quantitative and qualitative research. They offer a reframe -a chance to restart design discussions for products and services -which could bring greater benefits to individuals, families, communities, businesses, and society.",,
"Human-Centered Artificial Intelligence: Trusted, Reliable & Safe.",Well-designed technologies that offer high levels of human control and high levels of computer automation can increase human performance.,Search,2020,2,Ben  Shneiderman,,,,,https://semanticscholar.org/paper/e0b2bfdfcc251747538004be479f3914d0932316,,"Well-designed technologies that offer high levels of human control and high levels of computer automation can increase human performance, leading to wider adoption. The Human-Centered Artificial Intelligence (HCAI) framework clarifies how to (1) design for high levels of human control and high levels of computer automation so as to increase human performance, (2) understand the situations in which full human control or full computer control are necessary, and (3) avoid the dangers of excessive human control or excessive computer control. The new goal of HCAI is more likely to produce designs that are Trusted, Reliable & Safe (TRS). Achieving these goals will dramatically increase human performance, while supporting human self-efficacy, mastery, creativity, and responsibility.",,
Human-centered artificial intelligence in education: Seeing the invisible through the visible,"AI can improve human performance, but also inhibit human rights and result in employment, gender, and racial inequality.",Search,2021,14,"Stephen J.H. Yang, Hiroaki  Ogata, Tatsunori  Matsui, Nian-Shing  Chen",Comput. Educ. Artif. Intell.,,10.1016/J.CAEAI.2021.100008,https://doi.org/10.1016/J.CAEAI.2021.100008,https://semanticscholar.org/paper/8a90ab1c8336d99048e16d5ce3e0148da7cf1371,https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/261148/1/j.caeai.2021.100008.pdf,"Abstract The inevitable rise and development of artificial intelligence (AI) was not a sudden occurrence. The greater the effect that AI has on humans, the more pressing the need is for us to understand it. This paper addresses research on the use of AI to evaluate new design methods and tools that can be leveraged to advance AI research, education, policy, and practice to improve the human condition. AI has the potential to educate, train, and improve the performance of humans, making them better at their tasks and activities. The use of AI can enhance human welfare in numerous respects, such as through improving the productivity of food, health, water, education, and energy services. However, the misuse of AI due to algorithm bias and a lack of governance could inhibit human rights and result in employment, gender, and racial inequality. We envision that AI can evolve into human-centered AI (HAI), which refers to approaching AI from a human perspective by considering human conditions and contexts. Most current discussions on AI technology focus on how AI can enable human performance. However, we explore AI can also inhibit the human condition and advocate for an in-depth dialog between technology- and humanity-based researchers to improve understanding of HAI from various perspectives.",,
"Human-Centered Artificial Intelligence: Reliable, Safe & Trustworthy",Well-designed technologies that offer high levels of human control and high levels of computer automation can increase human performance.,Search,2020,105,Ben  Shneiderman,Int. J. Hum. Comput. Interact.,,10.1080/10447318.2020.1741118,https://doi.org/10.1080/10447318.2020.1741118,https://semanticscholar.org/paper/e49f67fa5c946ad24afcf59699a9cacf1ca53924,http://arxiv.org/pdf/2002.04087,"ABSTRACT Well-designed technologies that offer high levels of human control and high levels of computer automation can increase human performance, leading to wider adoption. The Human-Centered Artificial Intelligence (HCAI) framework clarifies how to (1) design for high levels of human control and high levels of computer automation so as to increase human performance, (2) understand the situations in which full human control or full computer control are necessary, and (3) avoid the dangers of excessive human control or excessive computer control. The methods of HCAI are more likely to produce designs that are Reliable, Safe & Trustworthy (RST). Achieving these goals will dramatically increase human performance, while supporting human self-efficacy, mastery, creativity, and responsibility.",,
An User-centred AI-based Assistance System to Encounter Pandemics in Clinical Environments: A Concept Overview,AI and robotic technologies can provide a safe and continuous monitoring of patients in hospitals.,Search,2021,,"Christian  Wiede, Roman  Seidel, Carolin  Wuerich, Damir  Haskovic, Gangolf  Hirtz, Anton  Grabmaier",VISIGRAPP,,10.5220/0010301006930700,https://doi.org/10.5220/0010301006930700,https://semanticscholar.org/paper/13a121d1966cbf6cc07f6ee13b9b2aa943b67695,,"The current coronavirus pandemic has highlighted the need for enhanced digital technologies to provide high quality care to patients in hospitals while protecting the health and safety of the medical staff. It can also be expected that there will be a second and third wave in the corona pandemic and that preparation for future pandemics must be made. In order to close this emerging gap, we propose a concept aiming at boosting the adoption of AI and robotic related technologies to ensure sustainable, patient-centred care in hospitals. The planned assistance system will provide a continuous and safe monitoring of patients in the whole hospital environment from entrance to the ward, including data security and protection. The benefits consist in a fast detection of possible infected persons, a continuous monitoring of patients, a support by robots to reduce physical contacts during epidemics, and an automatic disinfection by robots. In addition to the technical challenges, medical, social and economic challenges for such an assistance system are discussed.",,Review
Artificial Intelligence for Smart Systems Critical Analysis of the Human Centered Approach,AI systems must be established to understand that they are a major segment of the massive system incorporating humans.,Search,2021,,Zoran Galic Hajnal,Journal of Computing and Natural Science,,10.53759/181x/jcns202101013,https://doi.org/10.53759/181x/jcns202101013,https://semanticscholar.org/paper/06ebcb128cc429befb8bc063755c7346f5055e6e,http://anapub.co.ke/journals/jcns/jcns_pdf/2021/jcns_volume_1-issue_3/JCNS202101013.pdf,"A program for Artificial Intelligence (AI) is knowledge as intelligent agent, which typically interacts with the ecosystem. This agent is capable of identifying the status of the ecosystem using the sensors before affecting the state via the actuators. We call the smart systems ""agents” whenever they are able to make some decisions on their own with respect on particular goals. On the other hand, Machine Learning (ML) signifies a specific strategy meant to design smart systems whereby these systems can adapt to specific behaviors with respect to data. In the modern age, humans are rapidly collaborating with ML and AI systems. The AI that is human-based is a perspective of ML and AI, which algorithms have to be established with the awareness that they are a major segment of the massive system incorporating human. In this paper, we have presented a research that means that AI systems understand humans with respect to their socio-cultural aspects and that AI system assist humans comprehend them. We also present an argument of the challenges of social responsibility e.g. transparency, interpretability, accountability and fairness.",,
