Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
"Tutorial: Human-Centered AI: Reliable, Safe and Trustworthy",AI algorithms are combined with human-centered thinking to make Human-Centered AI.,Search,2021,,Ben  Shneiderman,IUI Companion,,10.1145/3397482.3453994,https://doi.org/10.1145/3397482.3453994,https://semanticscholar.org/paper/77891ecacb567308c7ee8f117b8ffd5634d61e0f,,"This 3-hour tutorial proposes a new synthesis, in which Artificial Intelligence (AI) algorithms are combined with human-centered thinking to make Human-Centered AI (HCAI). This approach combines research on AI algorithms with user experience design methods to shape technologies that amplify, augment, empower, and enhance human performance. Researchers and developers for HCAI systems value meaningful human control, putting people first by serving human needs, values, and goals.",,
Human-centered artificial intelligence in education: Seeing the invisible through the visible,"Artificial intelligence can improve human performance, but may also inhibit human rights.",Search,2021,14,"Stephen J.H. Yang, Hiroaki  Ogata, Tatsunori  Matsui, Nian-Shing  Chen",Comput. Educ. Artif. Intell.,,10.1016/J.CAEAI.2021.100008,https://doi.org/10.1016/J.CAEAI.2021.100008,https://semanticscholar.org/paper/8a90ab1c8336d99048e16d5ce3e0148da7cf1371,https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/261148/1/j.caeai.2021.100008.pdf,"Abstract The inevitable rise and development of artificial intelligence (AI) was not a sudden occurrence. The greater the effect that AI has on humans, the more pressing the need is for us to understand it. This paper addresses research on the use of AI to evaluate new design methods and tools that can be leveraged to advance AI research, education, policy, and practice to improve the human condition. AI has the potential to educate, train, and improve the performance of humans, making them better at their tasks and activities. The use of AI can enhance human welfare in numerous respects, such as through improving the productivity of food, health, water, education, and energy services. However, the misuse of AI due to algorithm bias and a lack of governance could inhibit human rights and result in employment, gender, and racial inequality. We envision that AI can evolve into human-centered AI (HAI), which refers to approaching AI from a human perspective by considering human conditions and contexts. Most current discussions on AI technology focus on how AI can enable human performance. However, we explore AI can also inhibit the human condition and advocate for an in-depth dialog between technology- and humanity-based researchers to improve understanding of HAI from various perspectives.",,
Artificial Intelligence for Smart Systems Critical Analysis of the Human Centered Approach,AI systems that are aware of their interaction with humans are required to be successful and responsible.,Search,2021,,Zoran Galic Hajnal,Journal of Computing and Natural Science,,10.53759/181x/jcns202101013,https://doi.org/10.53759/181x/jcns202101013,https://semanticscholar.org/paper/06ebcb128cc429befb8bc063755c7346f5055e6e,http://anapub.co.ke/journals/jcns/jcns_pdf/2021/jcns_volume_1-issue_3/JCNS202101013.pdf,"A program for Artificial Intelligence (AI) is knowledge as intelligent agent, which typically interacts with the ecosystem. This agent is capable of identifying the status of the ecosystem using the sensors before affecting the state via the actuators. We call the smart systems ""agents” whenever they are able to make some decisions on their own with respect on particular goals. On the other hand, Machine Learning (ML) signifies a specific strategy meant to design smart systems whereby these systems can adapt to specific behaviors with respect to data. In the modern age, humans are rapidly collaborating with ML and AI systems. The AI that is human-based is a perspective of ML and AI, which algorithms have to be established with the awareness that they are a major segment of the massive system incorporating human. In this paper, we have presented a research that means that AI systems understand humans with respect to their socio-cultural aspects and that AI system assist humans comprehend them. We also present an argument of the challenges of social responsibility e.g. transparency, interpretability, accountability and fairness.",,
"Human-Centered Artificial Intelligence: Trusted, Reliable & Safe.",Well-designed technologies that offer high levels of human control and high levels of computer automation can increase human performance.,Search,2020,2,Ben  Shneiderman,,,,,https://semanticscholar.org/paper/e0b2bfdfcc251747538004be479f3914d0932316,,"Well-designed technologies that offer high levels of human control and high levels of computer automation can increase human performance, leading to wider adoption. The Human-Centered Artificial Intelligence (HCAI) framework clarifies how to (1) design for high levels of human control and high levels of computer automation so as to increase human performance, (2) understand the situations in which full human control or full computer control are necessary, and (3) avoid the dangers of excessive human control or excessive computer control. The new goal of HCAI is more likely to produce designs that are Trusted, Reliable & Safe (TRS). Achieving these goals will dramatically increase human performance, while supporting human self-efficacy, mastery, creativity, and responsibility.",,
"Human-Centered Artificial Intelligence: Reliable, Safe & Trustworthy","The methods of Human-Centered Artificial Intelligence are more likely to produce designs that are Reliable, Safe & Trustworthy.",Search,2020,105,Ben  Shneiderman,Int. J. Hum. Comput. Interact.,,10.1080/10447318.2020.1741118,https://doi.org/10.1080/10447318.2020.1741118,https://semanticscholar.org/paper/e49f67fa5c946ad24afcf59699a9cacf1ca53924,http://arxiv.org/pdf/2002.04087,"ABSTRACT Well-designed technologies that offer high levels of human control and high levels of computer automation can increase human performance, leading to wider adoption. The Human-Centered Artificial Intelligence (HCAI) framework clarifies how to (1) design for high levels of human control and high levels of computer automation so as to increase human performance, (2) understand the situations in which full human control or full computer control are necessary, and (3) avoid the dangers of excessive human control or excessive computer control. The methods of HCAI are more likely to produce designs that are Reliable, Safe & Trustworthy (RST). Achieving these goals will dramatically increase human performance, while supporting human self-efficacy, mastery, creativity, and responsibility.",,
Towards Human Centered Ambient Intelligence,"AmI environments can integrate users' capabilities and skills to overcome the ""all-or-nothing"" dilemma.",Search,2008,4,"Thomas  Plötz, Christian  Kleine-Cosack, Gernot A. Fink",AmI,,10.1007/978-3-540-89617-3_3,https://doi.org/10.1007/978-3-540-89617-3_3,https://semanticscholar.org/paper/9fca45ef14d33b4c4736740f07cdfce1904e5133,,"In this paper we present a novel approach to the integration of humans into AmI environments. The key aspect of the concept which we call human centered Ami is a dynamic and active user model which creates a virtual doppelganger of the user on software level. This agent not only complies to the specific characteristics of humans but directly affects and triggers environmental activities. In fact the user's persona and behavior is mapped to system level. Utilizing this doppelganger we introduce the integration of the users' capabilities and skills into the functionality of the environment. Human services enrich intelligent environments and allow to overcome the ""all-or-nothing"" dilemma which we identified in conventional approaches. The concept of human centered AmI is put into effect within the perception-oriented intelligent environment FINCA. Results of a Wizard-of-Oz experiment with real users show the benefits of the presented approach.",,
An analysis of expertise in intelligence analysis to support the design of Human-Centered Artificial Intelligence,Intelligence analysis involves unpredictable processes and decision making about complex domains where analysts rely upon expertise.,Search,2021,,"Sam  Hepenstal, Leishi  Zhang, B. L. William Wong","2021 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",,10.1109/SMC52423.2021.9659095,https://doi.org/10.1109/SMC52423.2021.9659095,https://semanticscholar.org/paper/28f861f5152c112a6b45cfc6e0e27a804fc08411,,"Intelligence analysis involves unpredictable processes and decision making about complex domains where analysts rely upon expertise. Artificial Intelligence (AI) systems could support analysts as they perform analysis tasks, to enhance their expertise. However, systems must also be cognisant about how expertise is gained and designed so that this is not impinged. In this paper, we describe the results of Cognitive Task Analysis interviews with 6 experienced intelligence analysts. We capture themes, in terms of their decision making paths during an analysis task, and highlight how each theme is both influenced by expertise and an influence upon expertise. We also identify important interdependencies between themes. We propose that our findings can be used to help design Human-Centered AI (HCAI) systems for supporting intelligence analysts.",,
Human-centered Artificial Intelligence: A Multidimensional Approach towards Real World Evidence,An iterative methodology using hermeneutics outlines the need for a forward-thinking approach to deal with Real World Evidence.,Search,2019,3,"Bettina  Schneider, Petra Maria Asprion, Frank  Grimberg",ICEIS,,10.5220/0007715503810390,https://doi.org/10.5220/0007715503810390,https://semanticscholar.org/paper/f831bf2857fe27c3211f602f2839dec59222f251,http://pdfs.semanticscholar.org/603b/6573fa4f30d51652c687e3a6ace0bf6d3c01.pdf,"This study indicates the significance of a human-centered perspective in the analysis and interpretation of Real World Data. As an exemplary use-case, the construct of perceived ‘Health-related Quality of Life’ is chosen to show, firstly, the significance of Real World Data and, secondly, the associated ‘Real World Evidence’. We settled on an iterative methodology and used hermeneutics for a detailed literature analysis to outline the relevance and the need for a forward-thinking approach to deal with Real World Evidence in the life science and health care industry. The novelty of the study is its focus on a human-centered artificial intelligence, which can be achieved by using ‘System Dynamics’ modelling techniques. The outcome – a human-centered ‘Indicator Set’ can be combined with results from data-driven, AI-based analytics. With this multidimensional approach, human intelligence and artificial intelligence can be intertwined towards an enriched Real World Evidence. The developed approach considers three perspectives – the elementary, the algorithmic and – as novelty – the human-centered evidence. As conclusion, we claim that Real World Data are more valuable and applicable to achieve patient-centricity and personalization if the human-centered perspective is considered ‘by design’.",,
"Human-Centered Cognitive Orthoses: Artificial Intelligence for, Rather than Instead of, the People","Artificial intelligence can be used to augment human physical, professional, and networked cognition.",Search,2015,1,"Peter D. Neuhaus, Anil K. Raj, William J. Clancey",AI Mag.,,10.1609/aimag.v36i4.2612,https://doi.org/10.1609/aimag.v36i4.2612,https://semanticscholar.org/paper/d430479f05d00214fc7dfee7919b07937bdf6766,https://aaai.org/ojs/index.php/aimagazine/article/download/2612/2513,"This issue of AI Magazine includes six articles on cognitive orthoses, which we broadly conceive as technological approaches that amplify or enhance individual or team cognition across a wide range of goals and activities. The articles are grouped by how they relate to orthoses enhanced socio-technical team intelligence at three different cognitive levels—sensorimotor physical, professional learning, and networked knowledge.",,
Interactive Human Centered Artificial Intelligence: A Definition and Research Challenges,AI will allow the automation of mental routine tasks and that it will extend our ability to perceive the world and foresee events.,Search,2020,7,Albrecht  Schmidt,AVI,,10.1145/3399715.3400873,https://doi.org/10.1145/3399715.3400873,https://semanticscholar.org/paper/5267f3927eeaf45ed6c8340f07c34ff986474c84,,"Artificial Intelligence (AI) has become the buzzword of the last decade. Advances so far have been largely technical with a focus on machine learning (ML). Only recently have we begun seeing a shift towards focusing on the human aspects of artificial intelligence, centered on the narrow view of making AI interactive and explainable. In this paper I suggest a definition for ""Interactive Human Centered Artificial Intelligence and outline the required properties. Staying in control is essential for humans to feel safe and have self-determination. Hence, we need to find ways for humans to understand AI based systems and means to allow human control and oversight. In our work, we argue that levels of abstractions and granularity of control are a general solution to this. Furthermore, it is essential that we make explicit why we want AI and what are the goals of AI research and development. We need to state the properties that we expect of future intelligent systems and who will benefit from a system or service. For me, AI and ML are very much comparable to raw materials (like stone, iron, or bronze). Historical periods are named after these materials as they fundamentally changed what humans can build and what tools humans can engineer. Hence, I argue that in the AI age we need to shift the focus from the material (e.g. the AI algorithms, as there will be plenty of material) towards the tools and infrastructures that are enabled which are beneficial to humans. It is apparent that AI will allow the automation of mental routine tasks and that it will extend our ability to perceive the world and foresee events. For me, the central question is how to create these tools for amplifying the human mind without compromising human values.",,
