Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Principled animation of artificial intelligence algorithms,Animation is an important component of modern computing and can elucidate many key features.,Search,1993,,Mark W. Perlin,Proceedings of 1993 IEEE Conference on Tools with Al (TAI-93),,10.1109/TAI.1993.633939,https://doi.org/10.1109/TAI.1993.633939,https://semanticscholar.org/paper/11e390f13260a8e0cfb2bcd535cf3e250ae1a4f6,,"Visualization is an important component of modern computing. By animating the course of an algorithm's temporal execution, many key features can be elucidated. The author has developed a general framework, termed Call-Graph Caching (CGC), for automating the construction of many complex AI algorithms. By incorporating visualization into CGC interpreters, principled animations can be automatically displayed as AI computations unfold. Systems that support the automation animation of AI algorithms must address these three design issues: how to represent AI data structures in a general, uniform way that leads to perspicuous animation and efficient redisplay; how to coordinate the succession of graphical events; and how to partition AI graphs to provide for separate, uncluttered displays. CGC provides a natural and effective solution to all these concerns. The author describes the CGC method, including detailed examples, and discusses why CGC works well for animation. He discusses the CACHE system, the CGC environment for AI algorithm animation. Finally, the author demonstrates the animation of several AI algorithms-RETE match, linear unification, arc consistency, chart parsing, and truth maintenance-all of which have been implemented in CACHE.",,
"Review of ""Principles of Artificial Intelligence by Nils J. Nilsson"", Tioga Publishing Co.","Nils Nilsson's book, ""Principles of Artificial Intelligence"", discusses basic ideas underlying different applications of AI.",Search,1980,3,Elaine  Kant,SGAR,,10.1145/1056447.1056452,https://doi.org/10.1145/1056447.1056452,https://semanticscholar.org/paper/4dc1b87fd521864e675dc0aae403edd0a56e11c9,,"Nils Nilsson's new book, (Principles of Artificial Intelligence) (Tioga Publishing Co., 1980) discusses some basic ideas underlying different applications of AI. The book, designed as a text for a senior or first-year graduate course, aims to fill a gap between theory and practice. It succeeds in building a good solid arch outward from the shore of theory, but only a few support beams anchor the bridge to the shore of practice.",,Review
Unifying Principles and Metrics for Safe and Assistive AI,AI safety focuses on designing AI systems that allow humans to safely instruct and control AI systems.,Search,2021,4,Siddharth  Srivastava,AAAI,,,,https://semanticscholar.org/paper/967cba5849f93869655af8d3d8fda9b0a3304a1d,,"The prevalence and success of AI applications have been tempered by concerns about the controllability of AI systems about AI’s impact on the future of work. These concerns reflect two aspects of a central question: how would humans work with AI systems? While research on AI safety focuses on designing AI systems that allow humans to safely instruct and control AI systems, research on AI and the future of work focuses on the impact of AI on humans who may be unable to do so. This Blue Sky Ideas paper proposes a unifying set of declarative principles that enable a more uniform evaluation of arbitrary AI systems along multiple dimensions of the extent to which they are suitable for use by specific classes of human operators. It leverages recent AI research and the unique strengths of the field to develop human-centric principles for AI systems that address the concerns noted above.",,
Analytic formulation of the principle of increasing precision with decreasing intelligence for intelligent machines,"A three-level structure representing the organization, coordination and execution is necessary to implement hierarchically intelligent control on an intelligent machine.",Search,1989,192,George N. Saridis,Autom.,,10.1016/0005-1098(89)90016-2,https://doi.org/10.1016/0005-1098(89)90016-2,https://semanticscholar.org/paper/8e29ae4eb775af3886d5dae0090d099eabd28c33,,"Abstract Intelligent machines, like intelligent robots are capable of performing autonomously in uncertain environments, and have imposed new design requirements for modern engineers. New concepts, drawn from areas like artificial intelligence, operations research and control theory, are required in order to implement anthropomorphic tasks with minimum intervention of an operator. This work deals with the analytic formulation of the principle of increasing precision with decreasing intelligence; the fundamental principle of hierarchically intelligent control. A three-level structure representing the organization, coordination and execution has been developed as a probabilistic model of such a system and the approaches necessary to implement each one of them on an intelligent machine are discussed. The principle is derived also from a probabilistic model and can be expressed in terms of entropies. It is compatible with the current formulation of the hierarchically intelligent control problem, the mathematical programming solution of which minimizes the total entropy. The derivation and design of parallel architectures for artificial intelligence, like the Boltzmann machine is obtained from such formulation.",,
AI tools and techniques for manufacturing systems,"Artificial intelligence is a discipline engaged in the development and application of methods, tools and techniques for solving logically complex problems.",Search,1988,4,Ivan  Bratko,,,10.1016/0736-5845(88)90056-7,https://doi.org/10.1016/0736-5845(88)90056-7,https://semanticscholar.org/paper/3fb78f3b0076dadcf71141daba8ad2ea420dbc31,,"Abstract Artificial intelligence is a discipline engaged in the development and application of methods, tools and techniques for solving logically complex problems. These tools and techniques are now becoming accepted in computer applications in general and their use is proliferating rapidly in areas other than computer science. This paper reviews part of the existing artificial intelligence technology with a special view toward potential applications in manufacturing systems. The review includes automatic planning, learning, programming by examples, qualitative modelling and AI programming languages.",,Review
A generic tool for distributed AI with matching as message passing,The S-calculus is a general model of computation with a quantitative aspect allowing naturally to express optimization and modification in dynamic parallel AI systems.,Search,1997,13,Eugene  Eberbach,Proceedings Ninth IEEE International Conference on Tools with Artificial Intelligence,,10.1109/TAI.1997.632230,https://doi.org/10.1109/TAI.1997.632230,https://semanticscholar.org/paper/23560c77816e1f407143c3730e960c627678d3e1,,"The paper concentrates on the problem of integrating genetic programming, neural networks, autonomous agents with some symbolic AI techniques. For this purpose, it introduces and employs the S-calculus, which is a general model of computation with a quantitative aspect (cost) allowing naturally to express optimization and modification in dynamic parallel AI systems. The papers presents basic operators of the calculus, and a basic inference engine, so called modifying algorithm, used for problem solving. Next the approach is illustrated through a series of examples from various domains, including symbolic and subsymbolic systems.",,
Generalizing AI: Challenges and Opportunities for Plug and Play AI Solutions,"Plug and Play AI tools require training, parameter fine-tunings, and data set selection for optimal features extraction.",Search,2021,16,"Ismaeel Al Ridhawi, Safa  Otoum, Moayad  Aloqaily, Azzedine  Boukerche",IEEE Network,,10.1109/MNET.011.2000371,https://doi.org/10.1109/MNET.011.2000371,https://semanticscholar.org/paper/b5081f7b388134cbfc90bc41b1d7b5597ef59541,,"Artificial Intelligence (AI) has revolutionized today's Internet of Things (IoT) applications and services by introducing significant technological enhancements across a multitude of domains. With the deployment of the fifth generation (5G) mobile communication network, smart city visions of fast, on-demand, intelligent user-specific services are now becoming a reality. The concept of connected IoT is evolving into connected intelligent things. The advancements of both AI techniques, coupled with the sophistication of edge devices, is now leading to a new era of connected intelligence. Moving the intelligence toward end devices must account for latency demands and simplicity of selecting the type of AI technique to be used. Moreover, since most AI techniques require learning from big data sets and reasoning using a multitude of classification patterns, new simplified and collaborative solutions are now necessary more than ever. As such, the concept of introducing decentralized and distributed ‘Plug and Play’ (PnP) AI tools is now becoming more attractive given the vast numbers in edge devices, data volume and AI techniques. To this end, this article envisions a novel general AI solution that can be adapted to autonomously select the type of machine learning (ML) algorithm, the data set to be used, and provide reasoning in regards to data selection for optimal features extraction. Moreover, the solution performs the necessary training and all the necessary parameter fine-tunings to achieve the highest level of generality and simplicity for AI at the edge. We explore several aspects related to PnP-AI and its impact in the smart city ecosystem.",,
Introduction: Tools and Techniques of Artificial Intelligence,Several papers apply AI techniques to problems not thought of as AI problems at first glance.,Search,2003,2,"Ingrid  Russell, Susan M. Haller",Int. J. Pattern Recognit. Artif. Intell.,,10.1142/S0218001403002770,https://doi.org/10.1142/S0218001403002770,https://semanticscholar.org/paper/855f7252e247b036909531ac2942ebba944ba54d,,"This special issue of the International Journal of Pattern Recognition and Artificial Intelligence comprises articles that expand upon papers published in the proceedings of the Florida Artificial Intelligence Research Society Conference (FLAIRS) in May 2001 and May 2002. Of the 125 papers published in 2001 and 104 papers in 2002, twenty contributors were invited to submit expanded versions of their work. Of these, ten were selected for this special issue of IJPRAI. Several papers present a novel application of an AI technique to a problem typically considered to be in the AI domain. For example, natural language resources are used to improve information retrieval, user modeling techniques are used to develop strategies for game playing, and agent oriented methodologies are used in robotics. In contrast, some papers apply AI techniques to problems not thought of as AI problems at first glance: machine learning is used in bioinformatics and decision support techniques are applied to water resource management. Finally, some of the papers present extensions and improvements to AI methodologies: representing constraint satisfaction problems and combining supervised and unsupervised learning in a single mechanism. An important constraint in information retrieval is time — answers must be returned in time. Several researchers have considered using WordNet, a natural language resource, to improve the quality of information retrieval. However, the fine granularity of word sense representation in WordNet makes it difficult to apply to the problem of information retrieval to get results in time. In the first paper, Mihalcea proposes a solution to this problem, a set of methods that automatically transforms WordNet into a coarse grained dictionary appropriate for information retrieval.",,
AI Techniques in Software Engineering Paradigm,"development, operation, and analysis.",Search,2018,,Michael R. Lyu,ICPE,,10.1145/3184407.3184440,https://doi.org/10.1145/3184407.3184440,https://semanticscholar.org/paper/fd5ef7864b1e70f9ce89993ec4ac4b65dbaf6526,,"In the next decade, Artificial Intelligent (AI) techniques can see wide adoption in our daily life to release human burden. In our recent Software Engineering research, we investigated on the design of novel AI methods to facilitate all three major phases in software engineering: development, operation, and analysis. In this talk, I will first introduce the AI techniques we employed, including machine learning framework, classification, clustering, matrix factorization, topic modeling, deep learning, and parallel computing platform. Then I will explain the challenges in each phase and describe our recently proposed methodologies. First in development phase, we suggested an automated code completion technique via deep learning. Our technique learns the code style from lots of existing code bases, and recommends the most suitable token based on the trained deep learning model and current coding context. Besides, to help developers in conducting effective logging, we designed a tool named LogAdvisor, which tells developers whether they should write a logging statement in the current code block or not. Secondly, in operation phase, we implemented a continuous and passive authentication method for mobile phones based on user touch biometrics. Different from the traditional password authentication scheme, our method can recognize malicious attackers based on abnormal user behaviors. Moreover, we developed PAID, which automatically prioritizes app issues by mining user reviews. Finally, in analysis phase, we designed systematic data analytics techniques for software reliability prediction. Besides, to make full use of the crucial runtime information, we proposed effective methods for every step in log analysis, including log parsing, feature extraction, and log mining. Furthermore, we developed a CNN-based defect prediction method to help developers find the buggy code. In the end, we expect to establish a comprehensive framework for systematic employment of AI techniques in the Software Engineering paradigm.",,Review
Signs for Ethical AI: A Route Towards Transparency,"Today, AI fuels some of the most significant economic and research institutions in the world.",Search,2020,1,"Dario  Garcia-Gasulla, Atia  Cort'es, Sergio  Alvarez-Napagao, Ulises  Cort'es",ArXiv,,,,https://semanticscholar.org/paper/a9666a839d6b5f144714e62d61477a25a45fdec1,,"Artificial Intelligence (AI) has recently raised to the point where it has a direct impact on the daily life of billions of people. This is the result of its application to sectors like finance, health, digital entertainment, transportation, security and advertisement. Today, AI fuels some of the most significant economic and research institutions in the world, and the impact of AI in the near future seems difficult to predict or even bound. In contrast to all this power, society remains mostly ignorant of the capabilities, requirements and standard practices of AI today. Society is becoming aware of the dangers that come with that ignorance, and is rightfully asking for solutions. To address this need, improving on current practices of interaction between people and AI systems, we propose a transparency scheme to be implemented on any AI system open to the public. The scheme is based on two main pillars: Data Privacy and AI Transparency. The first recognizes the relevance of data for AI and is supported by GDPR, the most important legislation on the topic. The second considers aspects of AI transparency yet to be regulated: AI capacity, purpose and source. Lacking legislation to build upon, we design this pillar based on fundamental ethical principles. For each of the two pillars, we define a three-level display. The first level is based on visual signs, inspired by traffic signs managing the interaction between people and cars, and designed for quick and universal interpretability. The second level uses a factsheet system, providing further detail while still abstracting the subject. The last level provides access to all available details. After detailing and exemplifying the proposed transparency scheme, we define a set of principles for creating transparent by design software, to be used during the integration of AI components on user-oriented services.",,
Engineering a Tool for Building Hard Predictable Real-Time Artificial Intelligent Systems 1,"A prototype of a tool for hard, real-time intelligent systems includes its exact timing factors.",Search,1996,6,"Ana  Garcia-Fornes, Andrés  Terrasa, Vicente  Botti",,,10.1016/S1474-6670(17)46353-1,https://doi.org/10.1016/S1474-6670(17)46353-1,https://semanticscholar.org/paper/b2da011fc9edea2c1149dad904eb57c2612876ab,,"Abstract In this paper we present a prototype of our architecture called an Architecture for Real-Time Intelligent Systems (ARTIS). Since our aim is to have a tool for developping hard real-time intelligent systems, we have extended the theoretical fixed pre-emptive schedulability equations by including the prototype's exact timing factors. Some architectural design decisions as well as the behaviour of an event-driven, non-preemptable, real-time kernel are also presented, in order to include their effects in these schedulability equations.",,
Artificial Intelligence: Foundations of Computational Agents,Artificial intelligence is a rapidly developing field and its basic principles and tools can be learned.,Search,2010,305,"L Poole David, K Mackworth Alan",,,,,https://semanticscholar.org/paper/cd18415b5168ac1c564626b87f81ee12b2213b2f,,"Recent decades have witnessed the emergence of artificial intelligence as a serious science and engineering discipline. Artificial Intelligence: Foundations of Computational Agents is a textbook aimed at junior to senior undergraduate students and first-year graduate students. It presents artificial intelligence (AI) using a coherent framework to study the design of intelligent computational agents. By showing how basic approaches fit into a multidimensional design space, readers can learn the fundamentals without losing sight of the bigger picture. The book balances theory and experiment, showing how to link them intimately together, and develops the science of AI together with its engineering applications. Although structured as a textbook, the book's straightforward, self-contained style will also appeal to a wide audience of professionals, researchers, and independent learners. AI is a rapidly developing field: this book encapsulates the latest results without being exhaustive and encyclopedic. It teaches the main principles and tools that will allow readers to explore and learn on their own. The text is supported by an online learning environment, AIspace, http://aispace.org, so that students can experiment with the main AI algorithms plus problems, animations, lecture slides, and a knowledge representation system, AIlog, for experimentation and problem solving.",,
Recent Advances in AI Planning,Recent advances in AI planning involve propositional methods and systematic or stochastic SAT methods.,Search,1999,407,Daniel S. Weld,AI Mag.,,10.1609/aimag.v20i2.1459,https://doi.org/10.1609/aimag.v20i2.1459,https://semanticscholar.org/paper/b32c897d0a4c1c5e3e9dc5ace576acdd909e44dc,,"The past five years have seen dramatic advances in planning algorithms, with an emphasis on propositional methods such as GRAPHPLAN and compilers that convert planning problems into propositional conjunctive normal form formulas for solution using systematic or stochastic SAT methods. Related work, in the context of spacecraft control, advances our understanding of interleaved planning and execution. In this survey, I explain the latest techniques and suggest areas for future research.",,
Artificial Intelligence: Structures and Strategies for Complex Problem Solving (5th Edition),understanding the patterns of intelligence.,Search,1989,844,George  Luger,,,,,https://semanticscholar.org/paper/396aa4db3e6c7a97f9962ed5834c0c0e196f77f1,,"From the Publisher:

Combines the theoretical foundations of intelligent problem-solving with he data structures and algorithms needed for its implementation. The book presents logic, rule, object and agent-based architectures, along with example programs written in LISP and PROLOG.

The practical applications of AI have been kept within the context of its broader goal: understanding the patterns of intelligence as it operates in this world of uncertainty, complexity and change.

The introductory and concluding chapters take a new look at the potentials and challenges facing artificial intelligence and cognitive science. An extended treatment of knowledge-based problem-solving is given including model-based and case-based reasoning.

Includes new material on:

Fundamentals of search, inference and knowledge representation

AI algorithms and data structures in LISP and PROLOG Production systems, blackboards, and meta-interpreters including planers, rule-based reasoners, and inheritance systems.

Machine-learning including ID3 with bagging and boosting, explanation based learning, PAC learning, and other forms of induction

Neural networks, including perceptrons, back propogation, Kohonen networks, Hopfield networks, Grossberg learning, and counterpropagation. Emergent and social methods of learning and adaptation, including genetic algorithms, genetic programming and artificial life.

Object and agent-based problem solving and other forms of advanced knowledge representation",,
"AI techniques in modelling, assignment, problem solving and optimization","Artificial neural networks and search techniques can handle high complexity, high number of parameters whose input or output nature is unknown, high number of dependencies, and uncertainty and incomplete measurement data.",Search,2007,11,"Zsolt János Viharos, Zsolt  Kemény",Eng. Appl. Artif. Intell.,,10.1016/j.engappai.2006.11.007,https://doi.org/10.1016/j.engappai.2006.11.007,https://semanticscholar.org/paper/b738d6841f810301c46e945de836b0d9e647ed10,,"This paper recapitulates the results of a long research on a family of artificial intelligence (AI) methods-relying on, e.g., artificial neural networks and search techniques-for handling systems with high complexity, high number of parameters whose input or output nature is partly unknown, high number of dependencies, as well as uncertainty and incomplete measurement data. Aside from classical modelling, basic problem solving and optimization techniques are presented. Finally, a novel submodel decomposition method is shown with an extended feature selection algorithm highlighted, along with possibilities of further development. Examples of practical application are shown to illustrate the viability of the methods.",,
Artificial intelligence and algorithmic bias: implications for health systems,Algorithms are step-by-step procedures for solving a problem.,Search,2019,31,"Trishan  Panch, Heather  Mattie, Rifat  Atun",Journal of global health,,10.7189/jogh.09.020318,https://doi.org/10.7189/jogh.09.020318,https://semanticscholar.org/paper/00485008bda96930a1616e373dd6428b9d31dc53,https://europepmc.org/articles/pmc6875681?pdf=render,"www.jogh.org • doi: 10.7189/jogh.09.020318 1 December 2019 • Vol. 9 No. 2 • 020318 Artificial intelligence (AI) is a family of techniques where algorithms uncover or learn associations of predictive power from data. An algorithm is a step-by-step procedure for solving a problem. The most tangible form of AI is machine learning, which includes a family of techniques called deep learning that rely on multiple layers of representation of data and are thus able to represent complex relationships between inputs and outputs. However, learned representations are difficult for humans to interpret [1].",,
