Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Principles of Artificial Intelligence,"The book ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing.",Search,1981,3812,Nils J. Nilsson,IEEE Transactions on Pattern Analysis and Machine Intelligence,,10.1109/tpami.1981.4767059,https://doi.org/10.1109/tpami.1981.4767059,https://semanticscholar.org/paper/affcf19551b01c4c8009d061750700d91c2f79e9,,"A classic introduction to artificial intelligence intended to bridge the gap between theory and practice, ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing, automatic programming, robotics, machine vision, automatic theorem proving, and intelligent data retrieval. Rather than focusing on the subject matter of the applications, the book is organized around general computational concepts involving the kinds of data structures used, the types of operations performed on the data structures, and the properties of the control strategies used. ""Principles of Artificial Intelligence""evolved from the author's courses and seminars at Stanford University and University of Massachusetts, Amherst, and is suitable for text use in a senior or graduate AI course, or for individual study.",,
A Plan-Based Intelligent Assistant That Supports the Process of Programming,A key issue in achieving appropriate levels of assistance is the ability to capture complex domain knowledge in a planning formalism.,Search,1987,12,"Karen E. Huff, Victor  Lesser",,,,,https://semanticscholar.org/paper/69fd044ab9f3e4c218ab633c1eb5adc76b0b9eb1,,"WE DESCRIBE AN ARCHITECTURE FOR PROVIDING INTELLIGENT ASSISTANCE TO THE PROGRAMMER CARRYING OUT THE `PROCESS'' OF PROGRAMMING. THIS ARCHITECTURE, BASED ON AN AI `PLANNING'' PARADIGM, CAN PROVIDE BOTH PASSIVE AND ACTIVE ASSISTANCE. PASSIVE ASSISTANCE, ACCOMPLISHED BY `PLAN RECOGNITION'', IS USED TO AUTOMATE THE PROGRAMMING PROCESS. A KEY ISSUE IN ACHIEVING APPRO- PRIATE LEVELS OF ASSISTANCE IS THE ABILITY TO CAPTURE COMPLEX DOMAIN KNOW- LEDGE IN A PLANNING FORMALISM. WE ILLUSTRATE TWO LIMITATIONS IN TRADITION- AL HIERARCHICAL FORMALISMS, AND PRESENT SOLUTIONS BASED ON THE USE OF `META-PLANS'' AND `NON-MONOTONIC REASONING''.",,
Artificial Intelligence: Principles and Applications,Artificial intelligence needs an empirical foundation.,Search,1986,57,Masoud  Yazdani,,,,,https://semanticscholar.org/paper/44668989c7401715fdf7ba49ed0d60023341a76b,,"Part 1. Principles of artificial intelligence, John Campbell. Part 2 Tools and techniques: artificial intelligence programming environments and the POPLOG system, John Gibson LISP, lists and pattern-matching, Tony Hasemer. Part 3 Applications: computer processing of natural languages, Alan Ramsay levels of representation in computer speech synthesis and recognition, Stephen Isard computer vision, David Hogg artificial intelligence and robotics, Michael Brady the anatomy of expert systems, Richard Forsyth. Part 4 Frontiers: machine learning, Richard Forsyth memory models of man and machine, Ajit Narayanan. Part 5 Implications: why artificial intelligence needs an empirical foundation, Noel E Sharkey and Gordan D A Brown breaking out of the chinese room, Steve Torrance social implications of artificial intelligence, Derek Partridge.",,
Universal Artificial Intelligence,Foundational theories have contributed greatly to scientific progress in many fields.,Search,2005,233,Dr. Marcus Hutter,Texts in Theoretical Computer Science An EATCS Series,,10.1007/b138233,https://doi.org/10.1007/b138233,https://semanticscholar.org/paper/30a64bdf778b8f561af9ae589e822c2c800920b1,,"Foundational theories have contributed greatly to scientific progress in many fields. Examples include Zermelo-Fraenkel set theory in mathematics, and universal Turing machines in computer science. Universal Artificial Intelligence (UAI) is an increasingly well-studied foundational theory for artificial intelligence, based on ancient principles in the philosophy of science and modern developments in information and probability theory. Importantly, it refrains from making unrealistic Markov, ergodicity, or stationarity assumptions on the environment. UAI provides a theoretically optimal agent AIXI and principled ideas for constructing practical autonomous agents. The theory also makes it possible to establish formal results on the motivations of AI systems. Such results may greatly enhance the trustability of autonomous agents, and guide design choices towards more robust agent architectures and incentive schemes. Finally, UAI offers a deeper appreciation of fundamental problems such as the induction problem and the exploration-exploitation dilemma .",,
Artificial intelligence technologies for personnel learning management systems,Artificial intelligence technologies can be used to make intelligent agents on IBM Watson for use in learning management systems.,Search,2016,19,"Nayden  Nenkov, George  Dimitrov, Yuriy  Dyachenko, Katerina  Koeva",2016 IEEE 8th International Conference on Intelligent Systems (IS),,10.1109/IS.2016.7737420,https://doi.org/10.1109/IS.2016.7737420,https://semanticscholar.org/paper/13386697b4358a0e0bdad1e089728116de2d48d1,,An essential part of modern education is computing. Learning management systems are introduced as an intermediary between a student and a teacher. This paradigm is shifted through reproduction of teacher's and student's intelligent procedures by intelligent agents. The Artificial Intelligence technologies are based on reproduction of principles of human intelligence. Functioning of general Artificial Intelligence is based on principle of double contingency and is impossible without the acquisition of elements of self-consciousness and self-cultivation that can be embodied in Artificial Neural Network. On its basis it is proposed to make intelligent agents on platform IBM Bluemix with IBM Watson technology. These agents in the form of chatbots have to automate the interaction between the student and the teacher within the frames of Moodle learning management system.,,
An Integrative Framework for Artificial Intelligence Education,Modern introductory courses on AI do not train students to create intelligent systems or provide broad coverage of this field.,Search,2019,8,Pat  Langley,AAAI,,10.1609/aaai.v33i01.33019670,https://doi.org/10.1609/aaai.v33i01.33019670,https://semanticscholar.org/paper/8650302e526be08ccb064ded25d9e7a4f5d1f04a,https://ojs.aaai.org/index.php/AAAI/article/download/5032/4905,"Modern introductory courses on AI do not train students to create intelligent systems or provide broad coverage of this complex field. In this paper, we identify problems with common approaches to teaching artificial intelligence and suggest alternative principles that courses should adopt instead. We illustrate these principles in a proposed course that teaches students not only about component methods, such as pattern matching and decision making, but also about their combination into higher-level abilities for reasoning, sequential control, plan generation, and integrated intelligent agents. We also present a curriculum that instantiates this organization, including sample programming exercises and a project that requires system integration. Participants also gain experience building knowledge-based agents that use their software to produce intelligent behavior.",,
The use of Artificial Intelligence techniques in Computer-Assisted Instruction: an overview,One of the major goals of research in Artificial Intelligence is the representation of knowledge so that a computer can solve problems or communicate in a manner which exhibits “common sense”.,Search,1980,26,"Alice  Gable, Carl V. Page",,,10.1016/S0020-7373(80)80028-9,https://doi.org/10.1016/S0020-7373(80)80028-9,https://semanticscholar.org/paper/168e6945ab47151376a1672cf9d59eee6aec49e7,,"One of the major goals of research in Artificial Intelligence is the representation of knowledge so that a computer can solve problems or communicate in a manner which exhibits “common sense”. Few programs for computers, including those for education, possess behavior which approaches any facet of the constellation of human skills and knowledge which are imprecisely called “common sense”. However, the revolutionary decline in hardware costs now makes it possible to consider economically viable, sophisticated designs for computer-aided instruction systems possessing some of the common sense attributes of a human tutor. In this survey we examine, in depth, techniques from Artificial Intelligence that can be used to endow a Computer-Aided Instruction system with approximations to some of the desirable qualities of a human tutor. We consider both techniques which have been proved in prototype systems for Computer-Aided Instruction and some techniques which were originally developed for other purposes.",,Review
Analytic formulation of the principle of increasing precision with decreasing intelligence for intelligent machines,"A three-level structure representing the organization, coordination and execution is required to implement anthropomorphic tasks on intelligent machines.",Search,1989,192,George N. Saridis,Autom.,,10.1016/0005-1098(89)90016-2,https://doi.org/10.1016/0005-1098(89)90016-2,https://semanticscholar.org/paper/8e29ae4eb775af3886d5dae0090d099eabd28c33,,"Abstract Intelligent machines, like intelligent robots are capable of performing autonomously in uncertain environments, and have imposed new design requirements for modern engineers. New concepts, drawn from areas like artificial intelligence, operations research and control theory, are required in order to implement anthropomorphic tasks with minimum intervention of an operator. This work deals with the analytic formulation of the principle of increasing precision with decreasing intelligence; the fundamental principle of hierarchically intelligent control. A three-level structure representing the organization, coordination and execution has been developed as a probabilistic model of such a system and the approaches necessary to implement each one of them on an intelligent machine are discussed. The principle is derived also from a probabilistic model and can be expressed in terms of entropies. It is compatible with the current formulation of the hierarchically intelligent control problem, the mathematical programming solution of which minimizes the total entropy. The derivation and design of parallel architectures for artificial intelligence, like the Boltzmann machine is obtained from such formulation.",,
The Intelligent Assistant: An Overview,The Intelligent Assistant (IA) uses complex AI representations and machine learning techniques to accomplish sophisticated behavior.,Search,2000,19,"Ben  Azvine, David  Djian, Kwok Ching Tsui, Wayne  Wobcke",Intelligent Systems and Soft Computing,,10.1007/10720181_9,https://doi.org/10.1007/10720181_9,https://semanticscholar.org/paper/567629648cfb530beae944308ef01af0db6afb44,,"The Intelligent Assistant (IA) is an integrated system of intelligent software agents that helps the user with communication, information and time management. The IA includes specialist assistants for e-mail prioritization and telephone call filtering (communication management), Web search and Yellow Pages® lookup (information management), and calendar scheduling (time management). Each such assistant is designed to have a model of the user and a learning module for acquiring user preferences. In addition, the IA includes a toolbar providing a graphical interface to the system, a multimodal interface for accepting spoken commands and tracking the user’s activity, and a co-ordinator responsible for managing communication from the system to the user and for initiating system activities on the user’s behalf. A primary design objective of the IA is that its operation is as transparent as possible, to enable the user to control the system as far as is practicable without incurring a heavy overhead when creating and modifying the system’s behaviour. Hence each specialist assistant is designed to represent its user model in a way that is intuitively understandable to non-technical users, and is configured to adaptively modify its user model through time to accommodate the user’s changing preferences. However, in contrast to adaptive interface agents built under the behaviour-based paradigm, the assistants in the IA embrace complex AI representations and machine learning techniques to accomplish more sophisticated behaviour.",,Review
Artificial learning companionusing machine learning and natural language processing,Artificial Learning Companion (ALC) uses Machine Learning (ML) and Natural Language Processing (NLP).,Search,2021,1,"R.  Pugalenthi, A. Prabhu Chakkaravarthy, J.  Ramya, Samyuktha  Babu, R. Rasika Krishnan",Int. J. Speech Technol.,,10.1007/s10772-020-09773-0,https://doi.org/10.1007/s10772-020-09773-0,https://semanticscholar.org/paper/d539fab5553b03066a5f77f6d02f273c320b6c01,,"Artificial Intelligence, also referred to as AI, is one of the most rapidly evolving branches of Computer Science. The two branches of AI which empowers it to understand and interact with humans are Machine Learning (ML) and Natural Language Processing (NLP). Together, these three forms the bases of Artificial Learning Companion-which can be described as a system which can be used to aid the Learning process of the humans. While ML allows the computer program to learn on its own with minimal human intervention, NLP empowers the system to understand the user’s natural communication language through pre-coded programs. When these two aspects of Human Computer Interaction are combined, it enables the AI to take intelligent decisions with sufficient, relevant information. These decisions made by the system can be conveyed to the user using a static GUI, a voice assistant or a chatbot. In this paper, we have chosen to go with a chatbot because it is easy to use and is more relevant to the real-world implementation. The probability for each word is calculated and it provides P (A very close game | Sports) has obtained the highest probability",,
Guide to some computerized artificial intelligence methods,"Artificial intelligence programs can understand natural languages, perform difficult assembly tasks, and infer new information from facts.",Search,1996,23,Saul B. Saila,,,10.1007/978-94-015-8598-9_2,https://doi.org/10.1007/978-94-015-8598-9_2,https://semanticscholar.org/paper/e9d0ed59c9ec4f0f907f71f7bdbeb1a49537f873,,"Artificial intelligence is not a new concept, because since the late 1940s exciting developments have been taking place in making computers act in a way that one would consider intelligent. Artificial intelligence (AI) has been defined as a subfield of computer science which deals with machines and software that appear to think and solve problems. The overall goal of much of the work in artificial intelligence is to develop systems that perform like human beings. Whether or not these systems are really ‘intelligent’ is a philosophical question. For our purposes, the fact that these systems mimic human intelligence to some extent at least is sufficient. AI programs are programs that exhibit behavior normally identified with human intelligence, and until recently, not with computers. In particular, AI programs seem to grasp ideas and concepts. For example, some can understand natural languages, some can see or perform difficult assembly tasks, and others can infer new information from facts provided to the system. However, software that makes computers seem intelligent is not that different from any other kind of software.",,
Common sense ontology supported artificial intelligence applications,The ontology of common sense is a key component of artificial intelligence.,Search,2008,,Jingwen  He,,,,,https://semanticscholar.org/paper/ac76777b389e9b8ed39fb3e48cc01f440029a923,,i,,
Artificial intelligence - a modern approach: the intelligent agent book,"A Modern Approach"" has become a classic in the AI literature.",Search,1995,71,"Stuart J. Russell, Peter  Norvig",Prentice Hall series in artificial intelligence,,,,https://semanticscholar.org/paper/4182e91594e927da074663508d06e0200606c7bb,,"The first edition of Artificial Intelligence: A Modern Approach has become a classic in the AI literature. It has been adopted by over 600 universities in 60 countries, and has been praised as the definitive synthesis of the field. In the second edition, every chapter has been extensively rewritten. Significant new material has been introduced to cover areas such as constraint satisfaction, fast propositional inference, planning graphs, internet agents, exact probabilistic inference, Markov Chain Monte Carlo techniques, Kalman filters, ensemble learning methods, statistical learning, probabilistic natural language models, probabilistic robotics, and ethical aspects of AI. The book is supported by a suite of online resources including source code, figures, lecture slides, a directory of over 800 links to ""AI on the Web,"" and an online discussion group. All of this is available at: aima.cs.berkeley.edu.",,
Artificial Intelligence Prepares for 2001,,Search,1983,84,Nils J. Nilsson,AI Mag.,,10.1609/AIMAG.V4I4.411,https://doi.org/10.1609/AIMAG.V4I4.411,https://semanticscholar.org/paper/954dc2f163f9e83b7867c99c72eabf4932500e47,,"Artificial Intelligence, as a maturing scientific/engineering discipline, is beginning to find its niche among the variety of subjects that are relevant to intelligent, perceptive behavior. A view of AI is presented that is based on a declarative representation of knowledge with semantic attachments to problem-specific procedures and data structures. Several important challenges to this view are briefly discussed. It is argued that research in the field would be stimulated by a project to develop a computer individual that would have a continuing existence in time.",,
"Novel artificial intelligent techniques via AFS theory: Feature selection, concept categorization and characteristic description",,Search,2010,24,"Xiaodong  Liu, Yan  Ren",Appl. Soft Comput.,,10.1016/j.asoc.2009.09.009,https://doi.org/10.1016/j.asoc.2009.09.009,https://semanticscholar.org/paper/6298661a7a5b087fc8ae78829616f6ca578f4854,,"Artificial intelligence is the study of how computer systems can simulate intelligent processes such as learning, reasoning, and understanding symbolic information in context. Axiomatic Fuzzy Set (AFS) theory, in which fuzzy sets (membership functions) and their logic operations are determined by a consistent algorithm according to the distributions of original data and the semantics of the fuzzy concepts, is applied to study some new techniques of feature selection, concept categorization and characteristic description; problems often encountered in artificial intelligence area such as machine learning and pattern recognition. These techniques developed under the framework of AFS theory in this paper are more simple and more interpretable than the conventional methods, since they imitate the human recognition process. In order to evaluate the effectiveness of the feature selection, the concept categorization and the characteristic description, these new techniques are applied to fuzzy clustering problems. Several benchmark data sets are used for this purpose. Clustering accuracies are comparable with or superior to the conventional algorithms such as FCM, k-means, and the new algorithm such as single point iterative weighted fuzzy C-means clustering algorithm.",,
An approach to artificial intelligence,Turing machines are used to present very primitive but relevant problems in the field of artificial intelligence.,Search,1964,6,"R. W. House, T.  Rado",IEEE Transactions on Communication and Electronics,,10.1109/TCOME.1964.6539575,https://doi.org/10.1109/TCOME.1964.6539575,https://semanticscholar.org/paper/dac493765f024845920b072da73ec522ebd2ccc9,,"In this paper, attention is called to certain problems which are extremely primitive conceptually, and yet exhibit certain features quite relevant for study in the field of artificial intelligence. These issues are presented with the belief that realistic study of them can provide approaches to artificial intelligence. Turing machines are used to present the problems. By this means, the concept of optimality is introduced. The paper then addresses the problem of discovering optimal machines using programmable methods. The requirement for proofs of methods is emphasized. Apparent ways of limiting the difficulties encountered are shown to be deceptive. Finally, the effect achieved by changing the required format is illustrated.",,
