Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Principles of Artificial Intelligence,"The book ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing.",Search,1981,3812,Nils J. Nilsson,IEEE Transactions on Pattern Analysis and Machine Intelligence,,10.1109/tpami.1981.4767059,https://doi.org/10.1109/tpami.1981.4767059,https://semanticscholar.org/paper/affcf19551b01c4c8009d061750700d91c2f79e9,,"A classic introduction to artificial intelligence intended to bridge the gap between theory and practice, ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing, automatic programming, robotics, machine vision, automatic theorem proving, and intelligent data retrieval. Rather than focusing on the subject matter of the applications, the book is organized around general computational concepts involving the kinds of data structures used, the types of operations performed on the data structures, and the properties of the control strategies used. ""Principles of Artificial Intelligence""evolved from the author's courses and seminars at Stanford University and University of Massachusetts, Amherst, and is suitable for text use in a senior or graduate AI course, or for individual study.",,
Artificial Intelligence: Principles and Applications,Artificial intelligence needs an empirical foundation.,Search,1986,57,Masoud  Yazdani,,,,,https://semanticscholar.org/paper/44668989c7401715fdf7ba49ed0d60023341a76b,,"Part 1. Principles of artificial intelligence, John Campbell. Part 2 Tools and techniques: artificial intelligence programming environments and the POPLOG system, John Gibson LISP, lists and pattern-matching, Tony Hasemer. Part 3 Applications: computer processing of natural languages, Alan Ramsay levels of representation in computer speech synthesis and recognition, Stephen Isard computer vision, David Hogg artificial intelligence and robotics, Michael Brady the anatomy of expert systems, Richard Forsyth. Part 4 Frontiers: machine learning, Richard Forsyth memory models of man and machine, Ajit Narayanan. Part 5 Implications: why artificial intelligence needs an empirical foundation, Noel E Sharkey and Gordan D A Brown breaking out of the chinese room, Steve Torrance social implications of artificial intelligence, Derek Partridge.",,
"Review of ""Principles of Artificial Intelligence by Nils J. Nilsson"", Tioga Publishing Co.","Nils Nilsson's new book, designed as a text for a senior or first-year graduate course, aims to fill a gap between theory and practice.",Search,1980,3,Elaine  Kant,SGAR,,10.1145/1056447.1056452,https://doi.org/10.1145/1056447.1056452,https://semanticscholar.org/paper/4dc1b87fd521864e675dc0aae403edd0a56e11c9,,"Nils Nilsson's new book, (Principles of Artificial Intelligence) (Tioga Publishing Co., 1980) discusses some basic ideas underlying different applications of AI. The book, designed as a text for a senior or first-year graduate course, aims to fill a gap between theory and practice. It succeeds in building a good solid arch outward from the shore of theory, but only a few support beams anchor the bridge to the shore of practice.",,Review
Universal Artificial Intelligence,Universal Artificial Intelligence (UAI) makes it possible to establish formal results on the motivations of AI systems.,Search,2005,233,Dr. Marcus Hutter,Texts in Theoretical Computer Science An EATCS Series,,10.1007/b138233,https://doi.org/10.1007/b138233,https://semanticscholar.org/paper/30a64bdf778b8f561af9ae589e822c2c800920b1,,"Foundational theories have contributed greatly to scientific progress in many fields. Examples include Zermelo-Fraenkel set theory in mathematics, and universal Turing machines in computer science. Universal Artificial Intelligence (UAI) is an increasingly well-studied foundational theory for artificial intelligence, based on ancient principles in the philosophy of science and modern developments in information and probability theory. Importantly, it refrains from making unrealistic Markov, ergodicity, or stationarity assumptions on the environment. UAI provides a theoretically optimal agent AIXI and principled ideas for constructing practical autonomous agents. The theory also makes it possible to establish formal results on the motivations of AI systems. Such results may greatly enhance the trustability of autonomous agents, and guide design choices towards more robust agent architectures and incentive schemes. Finally, UAI offers a deeper appreciation of fundamental problems such as the induction problem and the exploration-exploitation dilemma .",,
An Overview of Artificial Intelligence-Based Teaching Aids.,Artificial intelligence research has contributed to the development of teaching systems.,Search,1982,1,P Kathie Groveston,,,,,https://semanticscholar.org/paper/e7b1bb76671c989d1d996fcaf1a43189e64b3a79,,"Abstract : This paper discusses dome of the ways that artificial intelligence research has contributed to the development of teaching systems. Two aspects of artificial intelligence will be covered: object oriented programming languages (languages which perform symbolic as well as numerical processing by sending messages to objects rather than calling procedures), and expert systems (computer programs which solve problems by using knowledge and procedures obtained from human experts).",,Review
Seven Principles of Synthetic Intelligence,The lessons from the past five decades of AI may prove crucial to achieving synthetic intelligence.,Search,2008,18,Joscha  Bach,AGI,,,,https://semanticscholar.org/paper/b62330f87d966756e9d6a0678914a8caccb9bd18,,"Understanding why the original project of Artificial Intelligence is widely regarded as a failure and has been abandoned even by most of contemporary AI research itself may prove crucial to achieving synthetic intelligence. Here, we take a brief look at some principles that we might consider to be lessons from the past five decades of AI. The author's own AI architecture --MicroPsi --attempts to contribute to that discussion.",,
Analytic formulation of the principle of increasing precision with decreasing intelligence for intelligent machines,"A three-level structure representing the organization, coordination, and execution is necessary to implement hierarchically intelligent control on an intelligent machine.",Search,1989,192,George N. Saridis,Autom.,,10.1016/0005-1098(89)90016-2,https://doi.org/10.1016/0005-1098(89)90016-2,https://semanticscholar.org/paper/8e29ae4eb775af3886d5dae0090d099eabd28c33,,"Abstract Intelligent machines, like intelligent robots are capable of performing autonomously in uncertain environments, and have imposed new design requirements for modern engineers. New concepts, drawn from areas like artificial intelligence, operations research and control theory, are required in order to implement anthropomorphic tasks with minimum intervention of an operator. This work deals with the analytic formulation of the principle of increasing precision with decreasing intelligence; the fundamental principle of hierarchically intelligent control. A three-level structure representing the organization, coordination and execution has been developed as a probabilistic model of such a system and the approaches necessary to implement each one of them on an intelligent machine are discussed. The principle is derived also from a probabilistic model and can be expressed in terms of entropies. It is compatible with the current formulation of the hierarchically intelligent control problem, the mathematical programming solution of which minimizes the total entropy. The derivation and design of parallel architectures for artificial intelligence, like the Boltzmann machine is obtained from such formulation.",,
Artificial intelligence: concepts and applications in engineering,The first part of the book describes work in five areas of AI research that is currently implemented in practical programs.,Search,1990,15,A. R. Mirzai,,,10.5860/choice.28-6282,https://doi.org/10.5860/choice.28-6282,https://semanticscholar.org/paper/66953cbffeacfc0dded5b7468bee2778066f00a8,,"These original contributions provide a unique opportunity for researchers and computing professionals, engineers, and managers to explore both the principles underlying basic AI research and their application in practice.The first part of the book describes work in five areas of AI research that is currently at the stage where it can be implemented in practical programs. These areas include blackboard architectures and systems, learning algorithms and strategies, neural networks, adaptive learning using pattern recognition, and signal processing.The second part describes six systems, designed for a wide variety of applications, that are now either in operation or at an advanced stage of development; intelligent techniques for spectral estimation, expert systems applied to antenatal assessment of fetal well-being, AI in the processing of underwater acoustic data, automatic speech recognition using neural networks, fault diagnosis of microwave digital radio, and waveguide filter alignment using adaptive learning techniques.A. R. Mirzai is a Research Fellow in the Department of Electrical Engineering at the University of Edinburgh. ""Artificial Intelligence: Concepts and Applications"" is included in the Artificial Intelligence series, edited by Michael Brady, Daniel Bobrow, and Randall Davis.",,
The use of Artificial Intelligence techniques in Computer-Assisted Instruction: an overview,One of the major goals of research in Artificial Intelligence is the representation of knowledge so that a computer can solve problems or communicate in a manner which exhibits “common sense”.,Search,1980,26,"Alice  Gable, Carl V. Page",,,10.1016/S0020-7373(80)80028-9,https://doi.org/10.1016/S0020-7373(80)80028-9,https://semanticscholar.org/paper/168e6945ab47151376a1672cf9d59eee6aec49e7,,"One of the major goals of research in Artificial Intelligence is the representation of knowledge so that a computer can solve problems or communicate in a manner which exhibits “common sense”. Few programs for computers, including those for education, possess behavior which approaches any facet of the constellation of human skills and knowledge which are imprecisely called “common sense”. However, the revolutionary decline in hardware costs now makes it possible to consider economically viable, sophisticated designs for computer-aided instruction systems possessing some of the common sense attributes of a human tutor. In this survey we examine, in depth, techniques from Artificial Intelligence that can be used to endow a Computer-Aided Instruction system with approximations to some of the desirable qualities of a human tutor. We consider both techniques which have been proved in prototype systems for Computer-Aided Instruction and some techniques which were originally developed for other purposes.",,Review
Artificial intelligence in medical diagnosis.,Computer programs that simulate expert human reasoning do not lead to clinically useful programs.,Search,1988,166,"P  Szolovits, R S Patil, W B Schwartz",Annals of internal medicine,,10.7326/0003-4819-108-1-80,https://doi.org/10.7326/0003-4819-108-1-80,https://semanticscholar.org/paper/2640a33d0b8f3cac8942ee5e60498d482b0c10d9,,"In an attempt to overcome limitations inherent in conventional computer-aided diagnosis, investigators have created programs that simulate expert human reasoning. Hopes that such a strategy would lead to clinically useful programs have not been fulfilled, but many of the problems impeding creation of effective artificial intelligence programs have been solved. Strategies have been developed to limit the number of hypotheses that a program must consider and to incorporate pathophysiologic reasoning. The latter innovation permits a program to analyze cases in which one disorder influences the presentation of another. Prototypes embodying such reasoning can explain their conclusions in medical terms that can be reviewed by the user. Despite these advances, further major research and developmental efforts will be necessary before expert performance by the computer becomes a reality.",,
