Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Principles of Artificial Intelligence,"The book ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing.",Search,1981,3812,Nils J. Nilsson,IEEE Transactions on Pattern Analysis and Machine Intelligence,,10.1109/tpami.1981.4767059,https://doi.org/10.1109/tpami.1981.4767059,https://semanticscholar.org/paper/affcf19551b01c4c8009d061750700d91c2f79e9,,"A classic introduction to artificial intelligence intended to bridge the gap between theory and practice, ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing, automatic programming, robotics, machine vision, automatic theorem proving, and intelligent data retrieval. Rather than focusing on the subject matter of the applications, the book is organized around general computational concepts involving the kinds of data structures used, the types of operations performed on the data structures, and the properties of the control strategies used. ""Principles of Artificial Intelligence""evolved from the author's courses and seminars at Stanford University and University of Massachusetts, Amherst, and is suitable for text use in a senior or graduate AI course, or for individual study.",,
Artificial Intelligence in Learning Skills Assessment: A Pedagogical Innovation,Competency-based learning assessment has recently undergone an important development in the field of education.,Search,2020,2,"Okacha  Diyer, Naceur  Achtaich, Khalid  Najib",NISS,,10.1145/3386723.3387901,https://doi.org/10.1145/3386723.3387901,https://semanticscholar.org/paper/e314a810fd70edb39997d0b773e6203ca4471a99,,"Competency-based learning assessment has recently undergone an important development in the field of education. Its objective lies on offering learners the necessary skills to follow the enormous development of their environment, and to acquire the essentials capacities for various forms of interaction. This type of assessment is characterized by a diagnosis, remediation and improvement of the learners' skills without being limited to the assessment of knowledge. In this work, we propose an evaluation approach which is based on skills assessment strategy with interesting precision. Thus, the intelligent system detects the degree of learning skills C1 (Appropriate), C2 (Analyze and Reason), C3 (Realize), C4 (Validate) and C5 (communicate). In fact, the system used detects the level of the class in the different skills mentioned above, and offers educational situations to remedy the shortcomings that are encountered. Likewise, it offers the necessary support for each student by offering pedagogical situations whose objective is to increase the level of each learner skills (individualized assessment). The system also helps the teacher to make decisions to provide adequate supports. This device allows complete training for students, and it contributes to the development of a balanced (harmonized) personality in learning skills. This artificial intelligence that is involved allows performance while permanently monitoring each student. In fact, it allows a judicious evaluation which follows the enormous progress by adopting an automated method which takes into account the competence level of each pupil.",,
Artificial Intelligence: Principles and Applications,Artificial intelligence needs an empirical foundation.,Search,1986,57,Masoud  Yazdani,,,,,https://semanticscholar.org/paper/44668989c7401715fdf7ba49ed0d60023341a76b,,"Part 1. Principles of artificial intelligence, John Campbell. Part 2 Tools and techniques: artificial intelligence programming environments and the POPLOG system, John Gibson LISP, lists and pattern-matching, Tony Hasemer. Part 3 Applications: computer processing of natural languages, Alan Ramsay levels of representation in computer speech synthesis and recognition, Stephen Isard computer vision, David Hogg artificial intelligence and robotics, Michael Brady the anatomy of expert systems, Richard Forsyth. Part 4 Frontiers: machine learning, Richard Forsyth memory models of man and machine, Ajit Narayanan. Part 5 Implications: why artificial intelligence needs an empirical foundation, Noel E Sharkey and Gordan D A Brown breaking out of the chinese room, Steve Torrance social implications of artificial intelligence, Derek Partridge.",,
Artificial intelligence: how it works and criteria for assessment,Artificial intelligence will influence medicine by modeling intelligent behavior and critical thinking.,Search,2021,,"Irena L. Shlivko, Oxana Ye. Garanina, Irina A. Klemenova, Kseniia A. Uskova, Anna M. Mironycheva, Veniamin I. Dardyk, Viktor N. Laskov",Consilium Medicum,,10.26442/20751753.2021.8.201148,https://doi.org/10.26442/20751753.2021.8.201148,https://semanticscholar.org/paper/622a4773fd895416a6cdce3b81cb087b27336a66,https://consilium.orscience.ru/2075-1753/article/download/97097/71487,"Artificial intelligence is a term used to describe computer technology in the modeling of intelligent behavior and critical thinking comparable to that of humans. To date, some of the first areas of medicine to be influenced by advances in artificial intelligence technologies will be those most dependent on imaging. These include ophthalmology, radiology, and dermatology. In connection with the emergence of numerous medical applications, scientists have formulated criteria for their assessment. This list included: clinical validation, regular application updates, functional focus, cost, availability of an information block for specialists and patients, compliance with the conditions of government regulation, and registration. One of the applications that meet all the requirements is the ProRodinki software package, developed for use by patients and specialists in the Russian Federation. Taking into account a widespread and rapidly developing competitive environment, it is necessary to soberly treat the resources of such applications, not exaggerating their capabilities and not considering them as a substitute for a specialist.",,
Seven Principles of Synthetic Intelligence,The lessons from the past five decades of AI may prove crucial to achieving synthetic intelligence.,Search,2008,18,Joscha  Bach,AGI,,,,https://semanticscholar.org/paper/b62330f87d966756e9d6a0678914a8caccb9bd18,,"Understanding why the original project of Artificial Intelligence is widely regarded as a failure and has been abandoned even by most of contemporary AI research itself may prove crucial to achieving synthetic intelligence. Here, we take a brief look at some principles that we might consider to be lessons from the past five decades of AI. The author's own AI architecture --MicroPsi --attempts to contribute to that discussion.",,
Artificial intelligence: concepts and applications in engineering,The first part of the book describes work in five areas of AI research that is currently implemented in practical programs.,Search,1990,15,A. R. Mirzai,,,10.5860/choice.28-6282,https://doi.org/10.5860/choice.28-6282,https://semanticscholar.org/paper/66953cbffeacfc0dded5b7468bee2778066f00a8,,"These original contributions provide a unique opportunity for researchers and computing professionals, engineers, and managers to explore both the principles underlying basic AI research and their application in practice.The first part of the book describes work in five areas of AI research that is currently at the stage where it can be implemented in practical programs. These areas include blackboard architectures and systems, learning algorithms and strategies, neural networks, adaptive learning using pattern recognition, and signal processing.The second part describes six systems, designed for a wide variety of applications, that are now either in operation or at an advanced stage of development; intelligent techniques for spectral estimation, expert systems applied to antenatal assessment of fetal well-being, AI in the processing of underwater acoustic data, automatic speech recognition using neural networks, fault diagnosis of microwave digital radio, and waveguide filter alignment using adaptive learning techniques.A. R. Mirzai is a Research Fellow in the Department of Electrical Engineering at the University of Edinburgh. ""Artificial Intelligence: Concepts and Applications"" is included in the Artificial Intelligence series, edited by Michael Brady, Daniel Bobrow, and Randall Davis.",,
Artificial intelligence in educational assessment: 'Breakthrough? Or buncombe and ballyhoo?',Artificial Intelligence is at the heart of modern society with computers now capable of making process decisions in many spheres of human activity.,Search,2021,3,"John  Gardner, Michael  O'Leary, Li  Yuan",J. Comput. Assist. Learn.,,10.1111/jcal.12577,https://doi.org/10.1111/jcal.12577,https://semanticscholar.org/paper/26277649814e508d87202444a852fb97e25c3632,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jcal.12577,"Correspondence Michael O'Leary, Centre for Assessment Research, Policy and Practice in Education (CARPE), Dublin City University, Dublin, Ireland. Email: michael.oleary@dcu.ie Abstract Artificial Intelligence is at the heart of modern society with computers now capable of making process decisions in many spheres of human activity. In education, there has been intensive growth in systems that make formal and informal learning an anytime, anywhere activity for billions of people through online open educational resources and massive online open courses. Moreover, new developments in Artificial Intelligencerelated educational assessment are attracting increasing interest as means of improving assessment efficacy and validity, with much attention focusing on the analysis of the large volumes of process data being captured from digital assessment contexts. In evaluating the state of play of Artificial Intelligence in formative and summative educational assessment, this paper offers a critical perspective on the two core applications: automated essay scoring systems and computerized adaptive tests, along with the Big Data analysis approaches to machine learning that underpin them.",,
"TOWARD INTELLIGENT ASSESSMENT: AN INTEGRATION OF CONSTRUCTED RESPONSE TESTING, ARTIFICIAL INTELLIGENCE, AND MODEL‐BASED MEASUREMENT","A new assessment conception integrates constructed-response testing, artificial intelligence, and model-based measurement.",Search,1990,34,Randy Elliot Bennett,,,10.1002/J.2333-8504.1990.TB01342.X,https://doi.org/10.1002/J.2333-8504.1990.TB01342.X,https://semanticscholar.org/paper/3367ada7f4e481077262d3c4937be8e670dbc40d,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/j.2333-8504.1990.tb01342.x,"A new assessment conception is described that integrates constructed-response testing, artificial intelligence, and model-based measurement. The conception incorporates complex constructed-response items for their potential to increase the validity, instructional utility, and credibility of standardized tests. Artificial intelligence methods are invoked to produce item-level partial-credit scores and diagnostic analyses similar to those of a human expert. Finally, cognitively-grounded measurement models provide diagnostic statements based on commonalities in performance across items. Progress toward achieving this conception is examined, with emphasis on two automated scoring programs. Potential applications of intelligent assessment are discussed.",,
Towards General Evaluation of Intelligent Systems: Using Semantic Analysis to Improve Environments in the AIQ Test,The Algorithmic Intelligence Quotient test can be improved by reducing the proportion of problematic programs.,Search,2018,,Ondrej  Vadinský,AGI,,10.1007/978-3-319-97676-1_24,https://doi.org/10.1007/978-3-319-97676-1_24,https://semanticscholar.org/paper/922ad64a901bd48e720248bf7f43e65e051a60b3,,This paper conducted a semantic analysis of environment programs that are used in the Algorithmic Intelligence Quotient test to evaluate the intelligence of agents. The analysis identified several classes of programs that are non-discriminative or contain pointless code adversely affecting the testing process. Extensions of the test were implemented and verified to reduce the proportion of problematic programs thus increasing the suitability of the Algorithmic Intelligence Quotient test as a general artificial intelligence evaluation method.,,
Computational Intelligence: An Introduction,The general public becomes jaded with AI predictions that fail to live up to their hype.,Search,2005,869,John  Fulcher,IEEE Transactions on Neural Networks,,10.1007/978-3-540-78293-3_1,https://doi.org/10.1007/978-3-540-78293-3_1,https://semanticscholar.org/paper/a3f8503b34d5275972dc3c47011473ce6757c83f,,"The Artificial Intelligence field continues to be plagued by what can only be described as ‘bold promises for the future syndrome’, often perpetrated by researchers who should know better. While impartial assessment can point to concrete contributions over the past 50 years (such as automated theorem proving, games strategies, the LISP and Prolog high-level computer languages, Automatic Speech Recognition, Natural Language Processing, mobile robot path planning, unmanned vehicles, humanoid robots, data mining, and more), the more cynical argue that AI has witnessed more than its fair share of ‘unmitigated disasters’ during this time – see, for example [3,58,107,125,186]. The general public becomes rapidly jaded with such ‘bold predictions’ that fail to live up to their original hype, and which ultimately render the zealots’ promises as counter-productive.",,
Towards Establishing Criteria for the Ethical Analysis of Artificial Intelligence,The lack of morally relevant features calls for caution when considering the role of AI in some specific human activities.,Search,2020,4,"Michele  Farisco, Kathinka  Evers, Arleen  Salles",Sci. Eng. Ethics,,10.1007/s11948-020-00238-w,https://doi.org/10.1007/s11948-020-00238-w,https://semanticscholar.org/paper/e5b0b1715be67493f382f9f0798c97e34f8c5ed1,https://link.springer.com/content/pdf/10.1007/s11948-020-00238-w.pdf,"Ethical reflection on Artificial Intelligence (AI) has become a priority. In this article, we propose a methodological model for a comprehensive ethical analysis of some uses of AI, notably as a replacement of human actors in specific activities. We emphasize the need for conceptual clarification of relevant key terms (e.g., intelligence) in order to undertake such reflection. Against that background, we distinguish two levels of ethical analysis, one practical and one theoretical. Focusing on the state of AI at present, we suggest that regardless of the presence of intelligence, the lack of morally relevant features calls for caution when considering the role of AI in some specific human activities.",,
"Novel artificial intelligent techniques via AFS theory: Feature selection, concept categorization and characteristic description","Artificial intelligence is the study of how computer systems can simulate intelligent processes such as learning, reasoning, and understanding symbolic information in context.",Search,2010,24,"Xiaodong  Liu, Yan  Ren",Appl. Soft Comput.,,10.1016/j.asoc.2009.09.009,https://doi.org/10.1016/j.asoc.2009.09.009,https://semanticscholar.org/paper/6298661a7a5b087fc8ae78829616f6ca578f4854,,"Artificial intelligence is the study of how computer systems can simulate intelligent processes such as learning, reasoning, and understanding symbolic information in context. Axiomatic Fuzzy Set (AFS) theory, in which fuzzy sets (membership functions) and their logic operations are determined by a consistent algorithm according to the distributions of original data and the semantics of the fuzzy concepts, is applied to study some new techniques of feature selection, concept categorization and characteristic description; problems often encountered in artificial intelligence area such as machine learning and pattern recognition. These techniques developed under the framework of AFS theory in this paper are more simple and more interpretable than the conventional methods, since they imitate the human recognition process. In order to evaluate the effectiveness of the feature selection, the concept categorization and the characteristic description, these new techniques are applied to fuzzy clustering problems. Several benchmark data sets are used for this purpose. Clustering accuracies are comparable with or superior to the conventional algorithms such as FCM, k-means, and the new algorithm such as single point iterative weighted fuzzy C-means clustering algorithm.",,
Behavioural artificial intelligence: an agenda for systematic empirical studies of artificial inference,"Artificial intelligent systems make inferences, which require systematic empirical studies.",Search,2019,5,"Tore  Pedersen, Christian  Johansen",AI & SOCIETY,,10.1007/s00146-019-00928-5,https://doi.org/10.1007/s00146-019-00928-5,https://semanticscholar.org/paper/df83177d4ff3b43460118fdaf3f268f6155715e8,https://www.duo.uio.no/bitstream/10852/77325/1/Pedersen%2band%2bJohansen%2b--%2bcompletely%2brevised%2band%2bedited%2bversion%2b--%2bready%2bfor%2bprocessing%2b--%2b13%2bnov%2b2019.pdf,"Artificial intelligence (AI) receives attention in media as well as in academe and business. In media coverage and reporting, AI is predominantly described in contrasted terms, either as the ultimate solution to all human problems or the ultimate threat to all human existence. In academe, the focus of computer scientists is on developing systems that function, whereas philosophy scholars theorize about the implications of this functionality for human life. In the interface between technology and philosophy there is, however, one imperative aspect of AI yet to be articulated: how do intelligent systems make inferences? We use the overarching concept “Artificial Intelligent Behaviour” which would include both cognition/processing and judgment/behaviour. We argue that due to the complexity and opacity of artificial inference, one needs to initiate systematic empirical studies of artificial intelligent behavior similar to what has previously been done to study human cognition, judgment and decision making. This will provide valid knowledge, outside of what current computer science methods can offer, about the judgments and decisions made by intelligent systems. Moreover, outside academe—in the public as well as the private sector—expertise in epistemology, critical thinking and reasoning are crucial to ensure human oversight of the artificial intelligent judgments and decisions that are made, because only competent human insight into AI-inference processes will ensure accountability. Such insights require systematic studies of AI-behaviour founded on the natural sciences and philosophy, as well as the employment of methodologies from the cognitive and behavioral sciences.",,
Philosophical Assumptions in Artificial Intelligence: A Tentative Criticism of a Criticism,The hypothesis that it is possible to find a new level of explanation crucial for the study of the mind is present in the field of artificial intelligence.,Search,1989,1,Roberto  Cordeschi,ÖGAI,,10.1007/978-3-642-74688-8_44,https://doi.org/10.1007/978-3-642-74688-8_44,https://semanticscholar.org/paper/4c4d4a33a49383f3bd73fe8992991f806b6575a3,,"It is well known that, as a result of the development of computability theory and computer science, certain higher processes usually called “intelligent” have been proved as algorithmic, contrary to previous assumptions, Thus the hypothesis arose that it was possible to find a new level of explanation which could be crucial for the study of mind. In the course of the short history of AI, the hypothesis became more explicit. More recently Allen Newell (1980) discussed it as the physical symbol system hypothesis, widely accepted both in (classical, not connectionistic) AI and in cognitive science.The level of explanation chosen as the crucial one was the symbol level.",,
Artificial Intelligence Review,Artificial intelligence is a field of application that can be used to solve many problems in various fields.,Search,2018,34,"Amal  Kilani, Ahmed Ben Hamida, Habib  Hamam",,,10.4018/978-1-5225-2255-3.CH010,https://doi.org/10.4018/978-1-5225-2255-3.CH010,https://semanticscholar.org/paper/b186405889f0ad97eeed10c077c9257c8b2d4353,,"In this chapter, the authors present a profound literature review of artificial intelligence (AI). After defining it, they briefly cover its history and enumerate its principal fields of application. They name, for example, information system, commerce, image processing, human-computer interaction, data compression, robotics, route planning, etc. Moreover, the test that defines an artificially intelligent system, called the Turing test, is also defined and detailed. Afterwards, the authors describe some AI tools such as fuzzy logic, genetic algorithms, and swarm intelligence. Special attention will be given to neural networks and fuzzy logic. The authors also present the future research directions and ethics.",,Review
Artificial Intelligence Review,Artificial intelligence is a field of application that can be used to solve many problems in various fields.,Search,2019,,"Amal  Kilani, Ahmed  Ben Hamida, Habib  Hamam","Advanced Methodologies and Technologies in Artificial Intelligence, Computer Simulation, and Human-Computer Interaction",,10.4018/978-1-5225-7368-5.ch003,https://doi.org/10.4018/978-1-5225-7368-5.ch003,https://semanticscholar.org/paper/05d6c6e9549ecd4f481366dca81f279635f3c055,,"In this chapter, the authors present a profound literature review of artificial intelligence (AI). After defining it, they briefly cover its history and enumerate its principal fields of application. They name, for example, information system, commerce, image processing, human-computer interaction, data compression, robotics, route planning, etc. Moreover, the test that defines an artificially intelligent system, called the Turing test, is also defined and detailed. Afterwards, the authors describe some AI tools such as fuzzy logic, genetic algorithms, and swarm intelligence. Special attention will be given to neural networks and fuzzy logic. The authors also present the future research directions and ethics.",,Review
