Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Principles of Artificial Intelligence,"The book ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing.",Search,1981,3812,Nils J. Nilsson,IEEE Transactions on Pattern Analysis and Machine Intelligence,,10.1109/tpami.1981.4767059,https://doi.org/10.1109/tpami.1981.4767059,https://semanticscholar.org/paper/affcf19551b01c4c8009d061750700d91c2f79e9,,"A classic introduction to artificial intelligence intended to bridge the gap between theory and practice, ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing, automatic programming, robotics, machine vision, automatic theorem proving, and intelligent data retrieval. Rather than focusing on the subject matter of the applications, the book is organized around general computational concepts involving the kinds of data structures used, the types of operations performed on the data structures, and the properties of the control strategies used. ""Principles of Artificial Intelligence""evolved from the author's courses and seminars at Stanford University and University of Massachusetts, Amherst, and is suitable for text use in a senior or graduate AI course, or for individual study.",,
Artificial Intelligence: Principles and Applications,Artificial intelligence needs an empirical foundation.,Search,1986,57,Masoud  Yazdani,,,,,https://semanticscholar.org/paper/44668989c7401715fdf7ba49ed0d60023341a76b,,"Part 1. Principles of artificial intelligence, John Campbell. Part 2 Tools and techniques: artificial intelligence programming environments and the POPLOG system, John Gibson LISP, lists and pattern-matching, Tony Hasemer. Part 3 Applications: computer processing of natural languages, Alan Ramsay levels of representation in computer speech synthesis and recognition, Stephen Isard computer vision, David Hogg artificial intelligence and robotics, Michael Brady the anatomy of expert systems, Richard Forsyth. Part 4 Frontiers: machine learning, Richard Forsyth memory models of man and machine, Ajit Narayanan. Part 5 Implications: why artificial intelligence needs an empirical foundation, Noel E Sharkey and Gordan D A Brown breaking out of the chinese room, Steve Torrance social implications of artificial intelligence, Derek Partridge.",,
Seven Principles of Synthetic Intelligence,The lessons from the past five decades of AI may prove crucial to achieving synthetic intelligence.,Search,2008,18,Joscha  Bach,AGI,,,,https://semanticscholar.org/paper/b62330f87d966756e9d6a0678914a8caccb9bd18,,"Understanding why the original project of Artificial Intelligence is widely regarded as a failure and has been abandoned even by most of contemporary AI research itself may prove crucial to achieving synthetic intelligence. Here, we take a brief look at some principles that we might consider to be lessons from the past five decades of AI. The author's own AI architecture --MicroPsi --attempts to contribute to that discussion.",,
"Review of ""Principles of Artificial Intelligence by Nils J. Nilsson"", Tioga Publishing Co.","Nils Nilsson's book, ""Principles of Artificial Intelligence"", discusses basic ideas underlying different applications of AI.",Search,1980,3,Elaine  Kant,SGAR,,10.1145/1056447.1056452,https://doi.org/10.1145/1056447.1056452,https://semanticscholar.org/paper/4dc1b87fd521864e675dc0aae403edd0a56e11c9,,"Nils Nilsson's new book, (Principles of Artificial Intelligence) (Tioga Publishing Co., 1980) discusses some basic ideas underlying different applications of AI. The book, designed as a text for a senior or first-year graduate course, aims to fill a gap between theory and practice. It succeeds in building a good solid arch outward from the shore of theory, but only a few support beams anchor the bridge to the shore of practice.",,Review
Universal Artificial Intelligence,Universal Artificial Intelligence (UAI) makes it possible to establish formal results on the motivations of AI systems.,Search,2005,233,Dr. Marcus Hutter,Texts in Theoretical Computer Science An EATCS Series,,10.1007/b138233,https://doi.org/10.1007/b138233,https://semanticscholar.org/paper/30a64bdf778b8f561af9ae589e822c2c800920b1,,"Foundational theories have contributed greatly to scientific progress in many fields. Examples include Zermelo-Fraenkel set theory in mathematics, and universal Turing machines in computer science. Universal Artificial Intelligence (UAI) is an increasingly well-studied foundational theory for artificial intelligence, based on ancient principles in the philosophy of science and modern developments in information and probability theory. Importantly, it refrains from making unrealistic Markov, ergodicity, or stationarity assumptions on the environment. UAI provides a theoretically optimal agent AIXI and principled ideas for constructing practical autonomous agents. The theory also makes it possible to establish formal results on the motivations of AI systems. Such results may greatly enhance the trustability of autonomous agents, and guide design choices towards more robust agent architectures and incentive schemes. Finally, UAI offers a deeper appreciation of fundamental problems such as the induction problem and the exploration-exploitation dilemma .",,
Analytic formulation of the principle of increasing precision with decreasing intelligence for intelligent machines,"A three-level structure representing the organization, coordination and execution is required to implement anthropomorphic tasks on intelligent machines.",Search,1989,192,George N. Saridis,Autom.,,10.1016/0005-1098(89)90016-2,https://doi.org/10.1016/0005-1098(89)90016-2,https://semanticscholar.org/paper/8e29ae4eb775af3886d5dae0090d099eabd28c33,,"Abstract Intelligent machines, like intelligent robots are capable of performing autonomously in uncertain environments, and have imposed new design requirements for modern engineers. New concepts, drawn from areas like artificial intelligence, operations research and control theory, are required in order to implement anthropomorphic tasks with minimum intervention of an operator. This work deals with the analytic formulation of the principle of increasing precision with decreasing intelligence; the fundamental principle of hierarchically intelligent control. A three-level structure representing the organization, coordination and execution has been developed as a probabilistic model of such a system and the approaches necessary to implement each one of them on an intelligent machine are discussed. The principle is derived also from a probabilistic model and can be expressed in terms of entropies. It is compatible with the current formulation of the hierarchically intelligent control problem, the mathematical programming solution of which minimizes the total entropy. The derivation and design of parallel architectures for artificial intelligence, like the Boltzmann machine is obtained from such formulation.",,
"Fundamentals of the New Artificial Intelligence: Neural, Evolutionary, Fuzzy and More (Texts in Computer Science)","Artificial intelligence, broadly defined as the study of making computers perform tasks that require human intelligence, has grown rapidly.",Search,2008,76,Toshinori  Munakata,,,,,https://semanticscholar.org/paper/c2989eb527e9d068e48710ab464bd8f20ac7d3ce,,"Artificial intelligencebroadly defined as the study of making computers perform tasks that require human intelligencehas grown rapidly as a field of research and industrial application in recent years. Whereas traditionally, AI used techniques drawn from symbolic models such as knowledge-based and logic programming systems, interest has grown in newer paradigms, notably neural networks, genetic algorithms, and fuzzy logic. The significantly updated second edition of Fundamentals of the New Artificial Intelligence thoroughly covers the most essential and widely employed material pertaining to neural networks, genetic algorithms, fuzzy systems, rough sets, and chaos. In particular, this unique textbook explores the importance of this content for real-world applications. The exposition reveals the core principles, concepts, and technologies in a concise and accessible, easy-to-understand manner, and as a result, prerequisites are minimal: A basic understanding of computer programming and mathematics makes the book suitable for readers coming to this subject for the first time. Topics and features: Retains the well-received features of the first edition, yet clarifies and expands on the topic Features completely new material on simulated annealing, Boltzmann machines, and extended fuzzy if-then rules tables [NEW] Emphasizes the real-world applications derived from this important area of computer science Provides easy-to-comprehend descriptions and algorithms Updates all references, for maximum usefulness to professors, students, and other readers [NEW] Integrates all material, yet allows each chapter to be used or studied independently This invaluable text and reference is an authoritative introduction to the subject and is therefore ideal for upper-level undergraduates and graduates studying intelligent computing, soft computing, neural networks, evolutionary computing, and fuzzy systems. In addition, the material is self-contained and therefore valuable to researchers in many related disciplines. Professor Munakata is a leading figure in this field and has given courses on this topic extensively.",,
Fundamentals of artificial intelligence,Artificial intelligence is a field of computer science that studies the theory and practice of intelligent agents.,Search,1986,39,"Wolfgang  Bibel, Philippe  Jorrand",,,10.1007/978-3-662-40145-3,https://doi.org/10.1007/978-3-662-40145-3,https://semanticscholar.org/paper/f5596bad0b73f3905c0b40d08c11aeff6986aebf,,This book covers the following topics: knowledge representation; features of knowledge; knowledge processing; deduction and computation; an introduction to automated deduction; fundamental mechanisms in machine learning and inductive inference; methods of automated reasoning; knowledge programming; term rewriting as a basis for the design of a functional and parallel programming language; a case study: the language FP2; and concurrent PROLOG: a progress report.,,
A Framework for Searching for General Artificial Intelligence,"A framework for searching for general artificial intelligence is needed to connect researchers, highlight open problems, and unify research efforts.",Search,2016,13,"Marek  Rosa, Jan  Feyereisl",ArXiv,,,,https://semanticscholar.org/paper/9dd15909f11aabfd2dc197cedc28920ddf477b2d,,"There is a significant lack of unified approaches to building generally intelligent machines. The majority of current artificial intelligence research operates within a very narrow field of focus, frequently without considering the importance of the 'big picture'. In this document, we seek to describe and unify principles that guide the basis of our development of general artificial intelligence. These principles revolve around the idea that intelligence is a tool for searching for general solutions to problems. We define intelligence as the ability to acquire skills that narrow this search, diversify it and help steer it to more promising areas. We also provide suggestions for studying, measuring, and testing the various skills and abilities that a human-level intelligent machine needs to acquire. The document aims to be both implementation agnostic, and to provide an analytic, systematic, and scalable way to generate hypotheses that we believe are needed to meet the necessary conditions in the search for general artificial intelligence. We believe that such a framework is an important stepping stone for bringing together definitions, highlighting open problems, connecting researchers willing to collaborate, and for unifying the arguably most significant search of this century.",,
Artificial intelligence: concepts and applications in engineering,The first part of the book describes work in five areas of AI research that is currently at the stage where it can be implemented in practical programs.,Search,1990,15,A. R. Mirzai,,,10.5860/choice.28-6282,https://doi.org/10.5860/choice.28-6282,https://semanticscholar.org/paper/66953cbffeacfc0dded5b7468bee2778066f00a8,,"These original contributions provide a unique opportunity for researchers and computing professionals, engineers, and managers to explore both the principles underlying basic AI research and their application in practice.The first part of the book describes work in five areas of AI research that is currently at the stage where it can be implemented in practical programs. These areas include blackboard architectures and systems, learning algorithms and strategies, neural networks, adaptive learning using pattern recognition, and signal processing.The second part describes six systems, designed for a wide variety of applications, that are now either in operation or at an advanced stage of development; intelligent techniques for spectral estimation, expert systems applied to antenatal assessment of fetal well-being, AI in the processing of underwater acoustic data, automatic speech recognition using neural networks, fault diagnosis of microwave digital radio, and waveguide filter alignment using adaptive learning techniques.A. R. Mirzai is a Research Fellow in the Department of Electrical Engineering at the University of Edinburgh. ""Artificial Intelligence: Concepts and Applications"" is included in the Artificial Intelligence series, edited by Michael Brady, Daniel Bobrow, and Randall Davis.",,
