Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Principles of Artificial Intelligence,"The book ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing.",Search,1981,3812,Nils J. Nilsson,IEEE Transactions on Pattern Analysis and Machine Intelligence,,10.1109/tpami.1981.4767059,https://doi.org/10.1109/tpami.1981.4767059,https://semanticscholar.org/paper/affcf19551b01c4c8009d061750700d91c2f79e9,,"A classic introduction to artificial intelligence intended to bridge the gap between theory and practice, ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing, automatic programming, robotics, machine vision, automatic theorem proving, and intelligent data retrieval. Rather than focusing on the subject matter of the applications, the book is organized around general computational concepts involving the kinds of data structures used, the types of operations performed on the data structures, and the properties of the control strategies used. ""Principles of Artificial Intelligence""evolved from the author's courses and seminars at Stanford University and University of Massachusetts, Amherst, and is suitable for text use in a senior or graduate AI course, or for individual study.",,
Artificial Intelligence in Learning Skills Assessment: A Pedagogical Innovation,The intelligent system used detects the level of the class in the different skills and offers educational situations to remedy shortcomings that are encountered.,Search,2020,2,"Okacha  Diyer, Naceur  Achtaich, Khalid  Najib",NISS,,10.1145/3386723.3387901,https://doi.org/10.1145/3386723.3387901,https://semanticscholar.org/paper/e314a810fd70edb39997d0b773e6203ca4471a99,,"Competency-based learning assessment has recently undergone an important development in the field of education. Its objective lies on offering learners the necessary skills to follow the enormous development of their environment, and to acquire the essentials capacities for various forms of interaction. This type of assessment is characterized by a diagnosis, remediation and improvement of the learners' skills without being limited to the assessment of knowledge. In this work, we propose an evaluation approach which is based on skills assessment strategy with interesting precision. Thus, the intelligent system detects the degree of learning skills C1 (Appropriate), C2 (Analyze and Reason), C3 (Realize), C4 (Validate) and C5 (communicate). In fact, the system used detects the level of the class in the different skills mentioned above, and offers educational situations to remedy the shortcomings that are encountered. Likewise, it offers the necessary support for each student by offering pedagogical situations whose objective is to increase the level of each learner skills (individualized assessment). The system also helps the teacher to make decisions to provide adequate supports. This device allows complete training for students, and it contributes to the development of a balanced (harmonized) personality in learning skills. This artificial intelligence that is involved allows performance while permanently monitoring each student. In fact, it allows a judicious evaluation which follows the enormous progress by adopting an automated method which takes into account the competence level of each pupil.",,
Artificial Intelligence: Principles and Applications,Artificial intelligence needs an empirical foundation.,Search,1986,57,Masoud  Yazdani,,,,,https://semanticscholar.org/paper/44668989c7401715fdf7ba49ed0d60023341a76b,,"Part 1. Principles of artificial intelligence, John Campbell. Part 2 Tools and techniques: artificial intelligence programming environments and the POPLOG system, John Gibson LISP, lists and pattern-matching, Tony Hasemer. Part 3 Applications: computer processing of natural languages, Alan Ramsay levels of representation in computer speech synthesis and recognition, Stephen Isard computer vision, David Hogg artificial intelligence and robotics, Michael Brady the anatomy of expert systems, Richard Forsyth. Part 4 Frontiers: machine learning, Richard Forsyth memory models of man and machine, Ajit Narayanan. Part 5 Implications: why artificial intelligence needs an empirical foundation, Noel E Sharkey and Gordan D A Brown breaking out of the chinese room, Steve Torrance social implications of artificial intelligence, Derek Partridge.",,
"Review of ""Principles of Artificial Intelligence by Nils J. Nilsson"", Tioga Publishing Co.","Nils Nilsson's book, ""Principles of Artificial Intelligence"", discusses basic ideas underlying different applications of AI.",Search,1980,3,Elaine  Kant,SGAR,,10.1145/1056447.1056452,https://doi.org/10.1145/1056447.1056452,https://semanticscholar.org/paper/4dc1b87fd521864e675dc0aae403edd0a56e11c9,,"Nils Nilsson's new book, (Principles of Artificial Intelligence) (Tioga Publishing Co., 1980) discusses some basic ideas underlying different applications of AI. The book, designed as a text for a senior or first-year graduate course, aims to fill a gap between theory and practice. It succeeds in building a good solid arch outward from the shore of theory, but only a few support beams anchor the bridge to the shore of practice.",,Review
An Integrative Framework for Artificial Intelligence Education,Modern introductory courses on AI do not train students to create intelligent systems or provide broad coverage of the field.,Search,2019,8,Pat  Langley,AAAI,,10.1609/aaai.v33i01.33019670,https://doi.org/10.1609/aaai.v33i01.33019670,https://semanticscholar.org/paper/8650302e526be08ccb064ded25d9e7a4f5d1f04a,https://ojs.aaai.org/index.php/AAAI/article/download/5032/4905,"Modern introductory courses on AI do not train students to create intelligent systems or provide broad coverage of this complex field. In this paper, we identify problems with common approaches to teaching artificial intelligence and suggest alternative principles that courses should adopt instead. We illustrate these principles in a proposed course that teaches students not only about component methods, such as pattern matching and decision making, but also about their combination into higher-level abilities for reasoning, sequential control, plan generation, and integrated intelligent agents. We also present a curriculum that instantiates this organization, including sample programming exercises and a project that requires system integration. Participants also gain experience building knowledge-based agents that use their software to produce intelligent behavior.",,
Analysis about Intelligence Evaluation Based on Computational Semiotics Theory,The process of evaluating the intelligence of intelligent systems by computational semiotics concepts.,Search,2010,1,Sun  Zhao-gang,"2010 3rd International Conference on Information Management, Innovation Management and Industrial Engineering",,10.1109/ICIII.2010.183,https://doi.org/10.1109/ICIII.2010.183,https://semanticscholar.org/paper/94e2fcbd8a2bf1e63ba0b15345ca715b591e664f,,"The paper discussed methods for evaluating the intelligence of intelligent systems by means of computational semiotics concepts. Instead of looking at the system as a black box and testing its behavior, the process described in this paper focus on architectural details of structures, organizations, processes and algorithms used in the construction of the intelligent system, evaluating the impact of using these elements in the overall intelligent behavior exhibited by the system. It proposes then an ""insider"" type of metrics that, coupled to ""outsider"" metrics, we hope will be important for the determination of general metrics of intelligence in intelligent systems.",,
An integrated architecture for intelligence evaluation of automated vehicles.,A proposed framework can effectively quantify intelligence and evaluate the performance of automated vehicles.,Search,2020,3,"Heye  Huang, Xunjia  Zheng, Yibin  Yang, Jinxin  Liu, Wenjun  Liu, Jianqiang  Wang",Accident; analysis and prevention,,10.1016/j.aap.2020.105681,https://doi.org/10.1016/j.aap.2020.105681,https://semanticscholar.org/paper/ede68d72439db3b2af8ecbad10e0a3d208fc6550,,"Increasing automation calls for evaluating the effectiveness and intelligence of automated vehicles. This paper proposes a framework for quantitatively evaluating the intelligence of automated vehicles. Firstly, we establish the evaluation environment for automated vehicles including test field, test task, and evaluation index. The test tasks include the single vehicle decision-making (turning, lane-changing, overtaking, etc.) and the maneuver execution of multi-vehicle interaction (obstacle avoidance, trajectory optimization, etc.). The intelligence evaluation index is the action amount of driving process considering the safety, efficiency, rationality and comfort. Then, we calculate the actual action amount of the automated vehicle in different scenarios in the test field. Finally, the least action calculated theoretically corresponds to the highest intelligence degree of the automated vehicle, and is employed as a standard to quantify the performance of other tested automated vehicles. The effectiveness of this framework is verified with two naturalistic driving datasets that contain the normal driving scenarios and high-risk scenarios. Specifically, the naturalistic lane-changing data filters 40,416 frames and 179 similar lane-changing trajectories. Compared with the lane-changing behavior of a large number of drivers, experimental results verify that the proposed algorithm can achieve the intelligence degree of drivers in the lane change scenario. Meanwhile, in 253 reconstructed high-risk scenarios, the intelligent risk avoidance ability of the proposed intelligence degree evaluation algorithm can be verified by comparing with the driver behavior and TTC algorithm. These experimental results show that the proposed framework can effectively quantify intelligence and evaluate the performance of automated vehicles under various scenarios.",,
"TOWARD INTELLIGENT ASSESSMENT: AN INTEGRATION OF CONSTRUCTED RESPONSE TESTING, ARTIFICIAL INTELLIGENCE, AND MODEL‐BASED MEASUREMENT","Progress toward intelligent assessment involves combining constructed-response testing, artificial intelligence, and model-based measurement.",Search,1990,34,Randy Elliot Bennett,,,10.1002/J.2333-8504.1990.TB01342.X,https://doi.org/10.1002/J.2333-8504.1990.TB01342.X,https://semanticscholar.org/paper/3367ada7f4e481077262d3c4937be8e670dbc40d,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/j.2333-8504.1990.tb01342.x,"A new assessment conception is described that integrates constructed-response testing, artificial intelligence, and model-based measurement. The conception incorporates complex constructed-response items for their potential to increase the validity, instructional utility, and credibility of standardized tests. Artificial intelligence methods are invoked to produce item-level partial-credit scores and diagnostic analyses similar to those of a human expert. Finally, cognitively-grounded measurement models provide diagnostic statements based on commonalities in performance across items. Progress toward achieving this conception is examined, with emphasis on two automated scoring programs. Potential applications of intelligent assessment are discussed.",,
An architecture for the evaluation of intelligent systems,The interpreter must be able to randomly generate environments that are useful to measure agents' intelligence.,Search,2011,,"Javier  Insa-Cabrera, José  Hernández-Orallo",ArXiv,,,,https://semanticscholar.org/paper/fa0f9f8f624bf431b5c1e67af310211b31813c5d,,"One of the main research areas in Artificial Intelligence is the coding of agents (programs) which are able to learn by themselves in any situation. This means that agents must be useful for purposes other than those they were created for, as, for example, playing chess. In this way we try to get closer to the pristine goal of Artificial Intelligence. One of the problems to decide whether an agent is really intelligent or not is the measurement of its intelligence, since there is currently no way to measure it in a reliable way. The purpose of this project is to create an interpreter that allows for the execution of several environments, including those which are generated randomly, so that an agent (a person or a program) can interact with them. Once the interaction between the agent and the environment is over, the interpreter will measure the intelligence of the agent according to the actions, states and rewards the agent has undergone inside the environment during the test. As a result we will be able to measure agents' intelligence in any possible environment, and to make comparisons between several agents, in order to determine which of them is the most intelligent. In order to perform the tests, the interpreter must be able to randomly generate environments that are really useful to measure agents' intelligence, since not any randomly generated environment will serve that purpose.",,
Seven Principles of Synthetic Intelligence,The lessons from the past five decades of AI may prove crucial to achieving synthetic intelligence.,Search,2008,18,Joscha  Bach,AGI,,,,https://semanticscholar.org/paper/b62330f87d966756e9d6a0678914a8caccb9bd18,,"Understanding why the original project of Artificial Intelligence is widely regarded as a failure and has been abandoned even by most of contemporary AI research itself may prove crucial to achieving synthetic intelligence. Here, we take a brief look at some principles that we might consider to be lessons from the past five decades of AI. The author's own AI architecture --MicroPsi --attempts to contribute to that discussion.",,
