Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Principles of Artificial Intelligence,"""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing, automatic programming, robotics, machine vision, automatic theorem proving, and intelligent data retrieval.",Search,1981,3812,Nils J. Nilsson,IEEE Transactions on Pattern Analysis and Machine Intelligence,,10.1109/tpami.1981.4767059,https://doi.org/10.1109/tpami.1981.4767059,https://semanticscholar.org/paper/affcf19551b01c4c8009d061750700d91c2f79e9,,"A classic introduction to artificial intelligence intended to bridge the gap between theory and practice, ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing, automatic programming, robotics, machine vision, automatic theorem proving, and intelligent data retrieval. Rather than focusing on the subject matter of the applications, the book is organized around general computational concepts involving the kinds of data structures used, the types of operations performed on the data structures, and the properties of the control strategies used. ""Principles of Artificial Intelligence""evolved from the author's courses and seminars at Stanford University and University of Massachusetts, Amherst, and is suitable for text use in a senior or graduate AI course, or for individual study.",,
"Review of ""Principles of Artificial Intelligence by Nils J. Nilsson"", Tioga Publishing Co.","Nils Nilsson's book, ""Principles of Artificial Intelligence"", is a text for a senior or first-year graduate course.",Search,1980,3,Elaine  Kant,SGAR,,10.1145/1056447.1056452,https://doi.org/10.1145/1056447.1056452,https://semanticscholar.org/paper/4dc1b87fd521864e675dc0aae403edd0a56e11c9,,"Nils Nilsson's new book, (Principles of Artificial Intelligence) (Tioga Publishing Co., 1980) discusses some basic ideas underlying different applications of AI. The book, designed as a text for a senior or first-year graduate course, aims to fill a gap between theory and practice. It succeeds in building a good solid arch outward from the shore of theory, but only a few support beams anchor the bridge to the shore of practice.",,Review
Artificial Intelligence: Principles and Applications,Artificial intelligence needs an empirical foundation.,Search,1986,57,Masoud  Yazdani,,,,,https://semanticscholar.org/paper/44668989c7401715fdf7ba49ed0d60023341a76b,,"Part 1. Principles of artificial intelligence, John Campbell. Part 2 Tools and techniques: artificial intelligence programming environments and the POPLOG system, John Gibson LISP, lists and pattern-matching, Tony Hasemer. Part 3 Applications: computer processing of natural languages, Alan Ramsay levels of representation in computer speech synthesis and recognition, Stephen Isard computer vision, David Hogg artificial intelligence and robotics, Michael Brady the anatomy of expert systems, Richard Forsyth. Part 4 Frontiers: machine learning, Richard Forsyth memory models of man and machine, Ajit Narayanan. Part 5 Implications: why artificial intelligence needs an empirical foundation, Noel E Sharkey and Gordan D A Brown breaking out of the chinese room, Steve Torrance social implications of artificial intelligence, Derek Partridge.",,
Seven Principles of Synthetic Intelligence,The lessons from the past five decades of AI may prove crucial to achieving synthetic intelligence.,Search,2008,18,Joscha  Bach,AGI,,,,https://semanticscholar.org/paper/b62330f87d966756e9d6a0678914a8caccb9bd18,,"Understanding why the original project of Artificial Intelligence is widely regarded as a failure and has been abandoned even by most of contemporary AI research itself may prove crucial to achieving synthetic intelligence. Here, we take a brief look at some principles that we might consider to be lessons from the past five decades of AI. The author's own AI architecture --MicroPsi --attempts to contribute to that discussion.",,
Universal Artificial Intelligence,Universal Artificial Intelligence (UAI) makes it possible to establish formal results on the motivations of AI systems.,Search,2005,233,Dr. Marcus Hutter,Texts in Theoretical Computer Science An EATCS Series,,10.1007/b138233,https://doi.org/10.1007/b138233,https://semanticscholar.org/paper/30a64bdf778b8f561af9ae589e822c2c800920b1,,"Foundational theories have contributed greatly to scientific progress in many fields. Examples include Zermelo-Fraenkel set theory in mathematics, and universal Turing machines in computer science. Universal Artificial Intelligence (UAI) is an increasingly well-studied foundational theory for artificial intelligence, based on ancient principles in the philosophy of science and modern developments in information and probability theory. Importantly, it refrains from making unrealistic Markov, ergodicity, or stationarity assumptions on the environment. UAI provides a theoretically optimal agent AIXI and principled ideas for constructing practical autonomous agents. The theory also makes it possible to establish formal results on the motivations of AI systems. Such results may greatly enhance the trustability of autonomous agents, and guide design choices towards more robust agent architectures and incentive schemes. Finally, UAI offers a deeper appreciation of fundamental problems such as the induction problem and the exploration-exploitation dilemma .",,
Artificial Intelligence: A Guide to Intelligent Systems,The methods used in the book have been extensively tested through several courses given by the author.,Search,2001,2205,Michael  Negnevitsky,,,,,https://semanticscholar.org/paper/7c4a9643c701c0c91ea50fd587038f79187a0a5e,,"From the Publisher:

Virtually all the literature on artificial intelligence is expressed in the jargon of commuter science, crowded with complex matrix algebra and differential equations. Unlike many other books on computer intelligence, this one demonstrates that most ideas behind intelligent systems are simple and straightforward. The book has evolved from lectures given to students with little knowledge of calculus, and the reader needs no prerequisites associated with knowledge of any programming language. The methods used in the book have been extensively tested through several courses given by the author.

The book provides an introduction to the field of computer intelligence, covering

rule-based expert systems,

fuzzy expert systems,

frame-based expert systems,

artificail neural networks,

evolutionary computation,

hybrid intelligent systems,

knowledge engineering,

data mining.

In a university setting the book can be used as an introductory course within computer science, information systems or engineering departments. The book is also suitable as a self-study guide for non-computer science professionals, giving access to the state of the art in knowledge-based systems and computational intelligence. Everyone who faces challenging problems and cannot solve them using traditional approaches can benefit",,
Artificial intelligence: concepts and applications in engineering,The first part of the book describes work in five areas of AI research that is currently at the stage where it can be implemented in practical programs.,Search,1990,15,A. R. Mirzai,,,10.5860/choice.28-6282,https://doi.org/10.5860/choice.28-6282,https://semanticscholar.org/paper/66953cbffeacfc0dded5b7468bee2778066f00a8,,"These original contributions provide a unique opportunity for researchers and computing professionals, engineers, and managers to explore both the principles underlying basic AI research and their application in practice.The first part of the book describes work in five areas of AI research that is currently at the stage where it can be implemented in practical programs. These areas include blackboard architectures and systems, learning algorithms and strategies, neural networks, adaptive learning using pattern recognition, and signal processing.The second part describes six systems, designed for a wide variety of applications, that are now either in operation or at an advanced stage of development; intelligent techniques for spectral estimation, expert systems applied to antenatal assessment of fetal well-being, AI in the processing of underwater acoustic data, automatic speech recognition using neural networks, fault diagnosis of microwave digital radio, and waveguide filter alignment using adaptive learning techniques.A. R. Mirzai is a Research Fellow in the Department of Electrical Engineering at the University of Edinburgh. ""Artificial Intelligence: Concepts and Applications"" is included in the Artificial Intelligence series, edited by Michael Brady, Daniel Bobrow, and Randall Davis.",,
Fundamentals of artificial intelligence - an advanced course,The first part of the book by Delgrande and Mylopoulos discusses the concept of knowledge and its representation.,Search,1987,12,Wolfgang  Bibel,Springer study edition,,,,https://semanticscholar.org/paper/63275acd4b6025e1b7ae790380f13891b8c57edb,,"This volume contains the elaborated and harmonized versions of seven lectures given at the first Advanced Course in Artificial Intelligence, held in Vignieu, France, in July 1985. Most of them were written in tutorial form; the book thus provides an extremely valuable guide to the fundamental aspects of AI. In the first part, Delgrande and Mylopoulos discuss the concept of knowledge and its representation. The second part is devoted to the processing of knowledge. The contribution by Huet shows that both computation and inference or deduction are just different aspects of the same phenomenon. The chapter written by Stickel gives a thorough and knowledgeable introduction to the most important aspects of deduction by some form of resolution. The kind of reasoning that is involved in inductive inference problem solving (or programming) from examples, and in learning, is covered by Biermann. The tutorial by Bibel covers the more important forms of knowledge processing that might play a significant role in common sense reasoning. The third part of the book focuses on logic programming and functional programming. Jorrand presents the language FP2, where term rewriting forms the basis for the semantics of both functional and parallel programming. In the last chapter, Shapiro gives an overview of the current state of concurrent PROLOG.",,Review
Analytic formulation of the principle of increasing precision with decreasing intelligence for intelligent machines,"A three-level structure representing the organization, coordination and execution is necessary to implement hierarchically intelligent control on an intelligent machine.",Search,1989,192,George N. Saridis,Autom.,,10.1016/0005-1098(89)90016-2,https://doi.org/10.1016/0005-1098(89)90016-2,https://semanticscholar.org/paper/8e29ae4eb775af3886d5dae0090d099eabd28c33,,"Abstract Intelligent machines, like intelligent robots are capable of performing autonomously in uncertain environments, and have imposed new design requirements for modern engineers. New concepts, drawn from areas like artificial intelligence, operations research and control theory, are required in order to implement anthropomorphic tasks with minimum intervention of an operator. This work deals with the analytic formulation of the principle of increasing precision with decreasing intelligence; the fundamental principle of hierarchically intelligent control. A three-level structure representing the organization, coordination and execution has been developed as a probabilistic model of such a system and the approaches necessary to implement each one of them on an intelligent machine are discussed. The principle is derived also from a probabilistic model and can be expressed in terms of entropies. It is compatible with the current formulation of the hierarchically intelligent control problem, the mathematical programming solution of which minimizes the total entropy. The derivation and design of parallel architectures for artificial intelligence, like the Boltzmann machine is obtained from such formulation.",,
Artificial intelligence - a modern approach: the intelligent agent book,A Modern Approach has become a classic in the AI literature.,Search,1995,71,"Stuart J. Russell, Peter  Norvig",Prentice Hall series in artificial intelligence,,,,https://semanticscholar.org/paper/4182e91594e927da074663508d06e0200606c7bb,,"The first edition of Artificial Intelligence: A Modern Approach has become a classic in the AI literature. It has been adopted by over 600 universities in 60 countries, and has been praised as the definitive synthesis of the field. In the second edition, every chapter has been extensively rewritten. Significant new material has been introduced to cover areas such as constraint satisfaction, fast propositional inference, planning graphs, internet agents, exact probabilistic inference, Markov Chain Monte Carlo techniques, Kalman filters, ensemble learning methods, statistical learning, probabilistic natural language models, probabilistic robotics, and ethical aspects of AI. The book is supported by a suite of online resources including source code, figures, lecture slides, a directory of over 800 links to ""AI on the Web,"" and an online discussion group. All of this is available at: aima.cs.berkeley.edu.",,
Artificial Intelligence: An Engineering Approach,A text for an advanced undergraduate or postgraduate course in artificial intelligence does not assume previous experience in the area.,Search,1990,106,Robert J. Schalkoff,,,10.5860/choice.28-0343,https://doi.org/10.5860/choice.28-0343,https://semanticscholar.org/paper/384a21590d209d774c578d8fc351534c063f225b,,"This textbook is for an advanced undergraduate or postgraduate course in artificial intelligence. No previous experience in this area is assumed. The text emphasizes the conceptual approach, while underlying mathematical and conceptual fundamentals are stressed to prepare students to participate in ""hands-on"" development of AI systems. Current topics of interest to the engineering community are discussed, including parallel decomposition of AI algorithms, corresponding parallel dedicated processing hardware, temporal reasoning, constant satisfaction and rule based implementations.",,
Artificial Intelligence: Structures and Strategies for Complex Problem Solving (5th Edition),understanding the patterns of intelligence.,Search,1989,844,George  Luger,,,,,https://semanticscholar.org/paper/396aa4db3e6c7a97f9962ed5834c0c0e196f77f1,,"From the Publisher:

Combines the theoretical foundations of intelligent problem-solving with he data structures and algorithms needed for its implementation. The book presents logic, rule, object and agent-based architectures, along with example programs written in LISP and PROLOG.

The practical applications of AI have been kept within the context of its broader goal: understanding the patterns of intelligence as it operates in this world of uncertainty, complexity and change.

The introductory and concluding chapters take a new look at the potentials and challenges facing artificial intelligence and cognitive science. An extended treatment of knowledge-based problem-solving is given including model-based and case-based reasoning.

Includes new material on:

Fundamentals of search, inference and knowledge representation

AI algorithms and data structures in LISP and PROLOG Production systems, blackboards, and meta-interpreters including planers, rule-based reasoners, and inheritance systems.

Machine-learning including ID3 with bagging and boosting, explanation based learning, PAC learning, and other forms of induction

Neural networks, including perceptrons, back propogation, Kohonen networks, Hopfield networks, Grossberg learning, and counterpropagation. Emergent and social methods of learning and adaptation, including genetic algorithms, genetic programming and artificial life.

Object and agent-based problem solving and other forms of advanced knowledge representation",,
Artificial intelligence - theory and practice,The field of artificial intelligence is characterized by rapid progress in basic research.,Search,1995,125,"Thomas L. Dean, James F. Allen, Yiannis  Aloimonos",,,10.1007/978-0-387-34747-9,https://doi.org/10.1007/978-0-387-34747-9,https://semanticscholar.org/paper/fadb22adc05284166438e310cb7deca59b34822a,,1. Introduction. 2. Symbolic Reasoning. 3. Representation and Logic. 4. Search. 5. Learning. 6. Advanced Representation. 7. Planning. 8. Uncertainty. 9. Image Understanding. 10. Natural Language Processing. 0805325476T04062001,,
Guide to some computerized artificial intelligence methods,Artificial intelligence programs can grasp ideas and concepts.,Search,1996,23,Saul B. Saila,,,10.1007/978-94-015-8598-9_2,https://doi.org/10.1007/978-94-015-8598-9_2,https://semanticscholar.org/paper/e9d0ed59c9ec4f0f907f71f7bdbeb1a49537f873,,"Artificial intelligence is not a new concept, because since the late 1940s exciting developments have been taking place in making computers act in a way that one would consider intelligent. Artificial intelligence (AI) has been defined as a subfield of computer science which deals with machines and software that appear to think and solve problems. The overall goal of much of the work in artificial intelligence is to develop systems that perform like human beings. Whether or not these systems are really ‘intelligent’ is a philosophical question. For our purposes, the fact that these systems mimic human intelligence to some extent at least is sufficient. AI programs are programs that exhibit behavior normally identified with human intelligence, and until recently, not with computers. In particular, AI programs seem to grasp ideas and concepts. For example, some can understand natural languages, some can see or perform difficult assembly tasks, and others can infer new information from facts provided to the system. However, software that makes computers seem intelligent is not that different from any other kind of software.",,
