Paper title,Takeaway from abstract,Source,Year,Citations,Authors,Journal,Influential citations,DOI,DOI URL,Semantic Scholar URL,PDF,Abstract,Takeaway suggests yes/no,Study type
Artificial Intelligence: Principles and Applications,Artificial intelligence needs an empirical foundation.,Search,1986,57,Masoud  Yazdani,,,,,https://semanticscholar.org/paper/44668989c7401715fdf7ba49ed0d60023341a76b,,"Part 1. Principles of artificial intelligence, John Campbell. Part 2 Tools and techniques: artificial intelligence programming environments and the POPLOG system, John Gibson LISP, lists and pattern-matching, Tony Hasemer. Part 3 Applications: computer processing of natural languages, Alan Ramsay levels of representation in computer speech synthesis and recognition, Stephen Isard computer vision, David Hogg artificial intelligence and robotics, Michael Brady the anatomy of expert systems, Richard Forsyth. Part 4 Frontiers: machine learning, Richard Forsyth memory models of man and machine, Ajit Narayanan. Part 5 Implications: why artificial intelligence needs an empirical foundation, Noel E Sharkey and Gordan D A Brown breaking out of the chinese room, Steve Torrance social implications of artificial intelligence, Derek Partridge.",,
Principles of Artificial Intelligence,"The book ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing.",Search,1981,3812,Nils J. Nilsson,IEEE Transactions on Pattern Analysis and Machine Intelligence,,10.1109/tpami.1981.4767059,https://doi.org/10.1109/tpami.1981.4767059,https://semanticscholar.org/paper/affcf19551b01c4c8009d061750700d91c2f79e9,,"A classic introduction to artificial intelligence intended to bridge the gap between theory and practice, ""Principles of Artificial Intelligence"" describes fundamental AI ideas that underlie applications such as natural language processing, automatic programming, robotics, machine vision, automatic theorem proving, and intelligent data retrieval. Rather than focusing on the subject matter of the applications, the book is organized around general computational concepts involving the kinds of data structures used, the types of operations performed on the data structures, and the properties of the control strategies used. ""Principles of Artificial Intelligence""evolved from the author's courses and seminars at Stanford University and University of Massachusetts, Amherst, and is suitable for text use in a senior or graduate AI course, or for individual study.",,
"Review of ""Principles of Artificial Intelligence by Nils J. Nilsson"", Tioga Publishing Co.","Nils Nilsson's new book, designed as a text for a senior or first-year graduate course, aims to fill a gap between theory and practice.",Search,1980,3,Elaine  Kant,SGAR,,10.1145/1056447.1056452,https://doi.org/10.1145/1056447.1056452,https://semanticscholar.org/paper/4dc1b87fd521864e675dc0aae403edd0a56e11c9,,"Nils Nilsson's new book, (Principles of Artificial Intelligence) (Tioga Publishing Co., 1980) discusses some basic ideas underlying different applications of AI. The book, designed as a text for a senior or first-year graduate course, aims to fill a gap between theory and practice. It succeeds in building a good solid arch outward from the shore of theory, but only a few support beams anchor the bridge to the shore of practice.",,Review
Seven Principles of Synthetic Intelligence,The lessons from the past five decades of AI may prove crucial to achieving synthetic intelligence.,Search,2008,18,Joscha  Bach,AGI,,,,https://semanticscholar.org/paper/b62330f87d966756e9d6a0678914a8caccb9bd18,,"Understanding why the original project of Artificial Intelligence is widely regarded as a failure and has been abandoned even by most of contemporary AI research itself may prove crucial to achieving synthetic intelligence. Here, we take a brief look at some principles that we might consider to be lessons from the past five decades of AI. The author's own AI architecture --MicroPsi --attempts to contribute to that discussion.",,
Universal Artificial Intelligence,Universal Artificial Intelligence (UAI) provides a theoretically optimal agent AIXI and principled ideas for constructing practical autonomous agents.,Search,2005,233,Dr. Marcus Hutter,Texts in Theoretical Computer Science An EATCS Series,,10.1007/b138233,https://doi.org/10.1007/b138233,https://semanticscholar.org/paper/30a64bdf778b8f561af9ae589e822c2c800920b1,,"Foundational theories have contributed greatly to scientific progress in many fields. Examples include Zermelo-Fraenkel set theory in mathematics, and universal Turing machines in computer science. Universal Artificial Intelligence (UAI) is an increasingly well-studied foundational theory for artificial intelligence, based on ancient principles in the philosophy of science and modern developments in information and probability theory. Importantly, it refrains from making unrealistic Markov, ergodicity, or stationarity assumptions on the environment. UAI provides a theoretically optimal agent AIXI and principled ideas for constructing practical autonomous agents. The theory also makes it possible to establish formal results on the motivations of AI systems. Such results may greatly enhance the trustability of autonomous agents, and guide design choices towards more robust agent architectures and incentive schemes. Finally, UAI offers a deeper appreciation of fundamental problems such as the induction problem and the exploration-exploitation dilemma .",,
Artificial intelligence: concepts and applications in engineering,The first part of the book describes work in five areas of AI research that is currently at the stage where it can be implemented in practical programs.,Search,1990,15,A. R. Mirzai,,,10.5860/choice.28-6282,https://doi.org/10.5860/choice.28-6282,https://semanticscholar.org/paper/66953cbffeacfc0dded5b7468bee2778066f00a8,,"These original contributions provide a unique opportunity for researchers and computing professionals, engineers, and managers to explore both the principles underlying basic AI research and their application in practice.The first part of the book describes work in five areas of AI research that is currently at the stage where it can be implemented in practical programs. These areas include blackboard architectures and systems, learning algorithms and strategies, neural networks, adaptive learning using pattern recognition, and signal processing.The second part describes six systems, designed for a wide variety of applications, that are now either in operation or at an advanced stage of development; intelligent techniques for spectral estimation, expert systems applied to antenatal assessment of fetal well-being, AI in the processing of underwater acoustic data, automatic speech recognition using neural networks, fault diagnosis of microwave digital radio, and waveguide filter alignment using adaptive learning techniques.A. R. Mirzai is a Research Fellow in the Department of Electrical Engineering at the University of Edinburgh. ""Artificial Intelligence: Concepts and Applications"" is included in the Artificial Intelligence series, edited by Michael Brady, Daniel Bobrow, and Randall Davis.",,
Analytic formulation of the principle of increasing precision with decreasing intelligence for intelligent machines,"A three-level structure representing the organization, coordination and execution is required to implement anthropomorphic tasks on intelligent machines.",Search,1989,192,George N. Saridis,Autom.,,10.1016/0005-1098(89)90016-2,https://doi.org/10.1016/0005-1098(89)90016-2,https://semanticscholar.org/paper/8e29ae4eb775af3886d5dae0090d099eabd28c33,,"Abstract Intelligent machines, like intelligent robots are capable of performing autonomously in uncertain environments, and have imposed new design requirements for modern engineers. New concepts, drawn from areas like artificial intelligence, operations research and control theory, are required in order to implement anthropomorphic tasks with minimum intervention of an operator. This work deals with the analytic formulation of the principle of increasing precision with decreasing intelligence; the fundamental principle of hierarchically intelligent control. A three-level structure representing the organization, coordination and execution has been developed as a probabilistic model of such a system and the approaches necessary to implement each one of them on an intelligent machine are discussed. The principle is derived also from a probabilistic model and can be expressed in terms of entropies. It is compatible with the current formulation of the hierarchically intelligent control problem, the mathematical programming solution of which minimizes the total entropy. The derivation and design of parallel architectures for artificial intelligence, like the Boltzmann machine is obtained from such formulation.",,
Introduction: Tools and Techniques of Artificial Intelligence,Several papers apply AI techniques to problems not thought of as AI problems at first glance.,Search,2003,2,"Ingrid  Russell, Susan M. Haller",Int. J. Pattern Recognit. Artif. Intell.,,10.1142/S0218001403002770,https://doi.org/10.1142/S0218001403002770,https://semanticscholar.org/paper/855f7252e247b036909531ac2942ebba944ba54d,,"This special issue of the International Journal of Pattern Recognition and Artificial Intelligence comprises articles that expand upon papers published in the proceedings of the Florida Artificial Intelligence Research Society Conference (FLAIRS) in May 2001 and May 2002. Of the 125 papers published in 2001 and 104 papers in 2002, twenty contributors were invited to submit expanded versions of their work. Of these, ten were selected for this special issue of IJPRAI. Several papers present a novel application of an AI technique to a problem typically considered to be in the AI domain. For example, natural language resources are used to improve information retrieval, user modeling techniques are used to develop strategies for game playing, and agent oriented methodologies are used in robotics. In contrast, some papers apply AI techniques to problems not thought of as AI problems at first glance: machine learning is used in bioinformatics and decision support techniques are applied to water resource management. Finally, some of the papers present extensions and improvements to AI methodologies: representing constraint satisfaction problems and combining supervised and unsupervised learning in a single mechanism. An important constraint in information retrieval is time — answers must be returned in time. Several researchers have considered using WordNet, a natural language resource, to improve the quality of information retrieval. However, the fine granularity of word sense representation in WordNet makes it difficult to apply to the problem of information retrieval to get results in time. In the first paper, Mihalcea proposes a solution to this problem, a set of methods that automatically transforms WordNet into a coarse grained dictionary appropriate for information retrieval.",,
Artificial Intelligence: Foundations of Computational Agents,Foundations of Computational Agents is a textbook aimed at junior to senior undergraduate students and first-year graduate students.,Search,2010,305,"L Poole David, K Mackworth Alan",,,,,https://semanticscholar.org/paper/cd18415b5168ac1c564626b87f81ee12b2213b2f,,"Recent decades have witnessed the emergence of artificial intelligence as a serious science and engineering discipline. Artificial Intelligence: Foundations of Computational Agents is a textbook aimed at junior to senior undergraduate students and first-year graduate students. It presents artificial intelligence (AI) using a coherent framework to study the design of intelligent computational agents. By showing how basic approaches fit into a multidimensional design space, readers can learn the fundamentals without losing sight of the bigger picture. The book balances theory and experiment, showing how to link them intimately together, and develops the science of AI together with its engineering applications. Although structured as a textbook, the book's straightforward, self-contained style will also appeal to a wide audience of professionals, researchers, and independent learners. AI is a rapidly developing field: this book encapsulates the latest results without being exhaustive and encyclopedic. It teaches the main principles and tools that will allow readers to explore and learn on their own. The text is supported by an online learning environment, AIspace, http://aispace.org, so that students can experiment with the main AI algorithms plus problems, animations, lecture slides, and a knowledge representation system, AIlog, for experimentation and problem solving.",,
Artificial Intelligence Methods and Applications,"Artificial intelligence can be used to solve problems in many fields including computer vision, speech recognition, and natural language processing.",Search,1992,17,Nikolaos G. Bourbakis,,,10.1142/1734,https://doi.org/10.1142/1734,https://semanticscholar.org/paper/22cbf30dcd56f475865bb36a0d1eef87a09e82e9,,"An introduction to artificial intelligence, N.G. Bourbakis fundamental methods for horn logic and AI applications, E. Kounalis and P. Marquis applications of genetic algorithms to permutation problems, F. Petry and B. Buckles extracting procedural knowledge from software systems using inductive learning in the PM system, R. Reynolds and E. Zannoni resource oriented parallel planning, S. Lee and K. Chung advanced parsing technology for knowledge based shells, J. Kipps analysis and synthesis of intelligent systems, W. Arden document analysis and recognition, S.N. Srihari et al signal understanding - an AI approach to modulation and classification, J.E. Whelchel et al and others.",,
